activity,H,B,S_eff,V,R_resp,R_rob,R_sig
0.000000000000000000e+00,6.505711685894547402e-01,7.503950356032971225e-01,1.699279365552658610e-03,3.996834427935231915e-01,5.800075420024465300e-01,1.349402239500542278e-01,4.202499352240304104e-02
3.147353361945636960e-03,6.505950228569379323e-01,7.504118172808621479e-01,1.768772665788828418e-03,4.017892833061351143e-01,5.810358331623971528e-01,1.364803702611638858e-01,4.283157182310130817e-02
6.294706723891273920e-03,6.506197811007292664e-01,7.504292395492692114e-01,1.840875337365935381e-03,4.039171522174895279e-01,5.820716340891297635e-01,1.380347463239140204e-01,4.365138323121121877e-02
9.442060085836910879e-03,6.506454738585308872e-01,7.504473241197443523e-01,1.915675158793714869e-03,4.060670665751081598e-01,5.831148901616066693e-01,1.396034225050804267e-01,4.448459210950008597e-02
1.258941344778254784e-02,6.506721325496649388e-01,7.504660933312282678e-01,1.993262437977431217e-03,4.082390369706154210e-01,5.841655444908827599e-01,1.411864680387935056e-01,4.533136357999568294e-02
1.573676680972818653e-02,6.506997894946747740e-01,7.504855701643378119e-01,2.073730068431508481e-03,4.104330674004645352e-01,5.852235379354679967e-01,1.427839509890491965e-01,4.619186349289404470e-02
1.888412017167382176e-02,6.507284779351411030e-01,7.505057782554787060e-01,2.157173586107266530e-03,4.126491551284979797e-01,5.862888091189493167e-01,1.443959382123274071e-01,4.706625839456096694e-02
2.203147353361945698e-02,6.507582320537039777e-01,7.505267419111062432e-01,2.243691226815716731e-03,4.148872905505447406e-01,5.873612944498955990e-01,1.460224953203584364e-01,4.795471549463125455e-02
2.517882689556509568e-02,6.507890869942846157e-01,7.505484861221266568e-01,2.333383984225027505e-03,4.171474570612676014e-01,5.884409281440696748e-01,1.476636866430781070e-01,4.885740263221062529e-02
2.832618025751073437e-02,6.508210788824990711e-01,7.505710365784356020e-01,2.426355668410963128e-03,4.194296309234706865e-01,5.895276422489688084e-01,1.493195751918135750e-01,4.977448824118616694e-02
3.147353361945637307e-02,6.508542448462566465e-01,7.505944196835862003e-01,2.522712964937130070e-03,4.217337811400845848e-01,5.906213666707115229e-01,1.509902226227406441e-01,5.070614131465173147e-02
3.462088698140200482e-02,6.508886230365323877e-01,7.506186625695826509e-01,2.622565494440671878e-03,4.240598693290460464e-01,5.917220292032863149e-01,1.526756892006573829e-01,5.165253136845725235e-02
3.776824034334764352e-02,6.509242526483067781e-01,7.506437931117904139e-01,2.726025872697350125e-03,4.264078496012951858e-01,5.928295555601755806e-01,1.543760337631153168e-01,5.261382840388990900e-02
4.091559370529328221e-02,6.509611739416613085e-01,7.506698399439586389e-01,2.833209771138721182e-03,4.287776684421114037e-01,5.939438694083635228e-01,1.560913136849533811e-01,5.359020286949792850e-02
4.406294706723891397e-02,6.509994282630204854e-01,7.506968324733446218e-01,2.944235977792464092e-03,4.311692645960135684e-01,5.950648924047348132e-01,1.578215848432775181e-01,5.458182562206752991e-02
