activity,H,B,S_eff,V,R_resp,R_rob,R_sig
1.702703306823119433e+00,3.543563496441945460e-01,4.197601952831627736e-01,5.553725617497903833e-02,8.054210059045684433e-01,4.929711169805232607e-01,2.856026356970083335e-01,1.845503188947112683e-01
9.655325674545152115e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.609051453758592487e-01,9.867947712941910199e-01,9.867947712941910199e-01,9.927154060716207873e-01
1.888915423805041627e+00,2.917923419279485620e-01,3.443452800603232222e-01,9.999999999999999547e-07,8.232374534947076716e-01,4.357101879672571343e-01,1.695892369774124747e-02,1.263451988319144043e-03
1.534209663930600653e+00,4.683581671719755368e-01,5.552703607403425279e-01,1.802846895863188525e-01,9.229399542245176891e-01,6.214678679982887921e-01,4.560933298221657162e-01,3.560916207910498343e-01
2.071901653528289977e-01,6.462080646241781245e-01,7.905647638642265829e-01,4.232982469487134303e-02,5.918782748055283482e-01,6.711929850576734413e-01,3.363544471236211142e-01,1.935338723344339762e-01
2.146369173600862990e+00,3.253730926372886412e-01,2.710915454462879959e-01,1.321967252711008650e-02,7.807009364084488423e-01,4.098838148996484243e-01,1.737003731881144319e-01,8.740026249903398714e-02
1.674507344378776574e+00,4.249460321407413921e-01,4.434480826557177235e-01,2.976896921487560965e-02,8.402038034625683993e-01,5.409872972557472348e-01,2.620180740238343686e-01,1.467055675554025940e-01
1.729341471609298519e+00,4.458142613926674436e-01,3.855228757513255444e-01,7.002419483111622933e-03,8.735168327183320258e-01,5.314859595827945427e-01,1.800656520636202684e-01,7.574991390832387650e-02
2.818499918862009679e-01,6.691157048613990410e-01,7.753095250137100880e-01,3.971527761854989208e-02,6.664523121194940725e-01,7.018567385591847341e-01,3.423148629376942531e-01,1.927381037591004154e-01
9.908490633702478068e-01,1.000000000000000000e+00,9.725468524636282641e-01,1.000000000000000000e+00,9.510297298574363900e-01,9.743198308108641514e-01,9.743198308108641514e-01,9.857932682337537944e-01
8.157556533116787634e-01,9.342588352640579519e-01,1.000000000000000000e+00,7.913529589755667892e-01,9.342853694267738707e-01,9.556867992726127969e-01,9.116523337427537843e-01,8.778901510135922459e-01
2.038882975466924208e+00,2.882378596793741532e-01,3.624542357119198699e-01,3.331583636967748452e-02,8.428380976625101662e-01,4.448867321079704729e-01,2.327286072725039401e-01,1.385894029605563571e-01
1.416503264177462196e+00,6.059537505833969551e-01,7.179711775446825373e-01,3.207467593528512961e-01,9.071723349331510811e-01,7.335202288130497905e-01,5.964851564298478959e-01,5.055331938421481208e-01
1.810075549195826028e+00,3.766885759849693538e-01,4.066873390867820626e-01,9.999999999999999547e-07,8.256195661121550344e-01,5.019660665996490412e-01,1.885844022544054532e-02,1.365749020361423137e-03
9.755112374201285741e-01,9.708893652666755747e-01,9.322887065759770664e-01,9.905812775470734799e-01,1.000000000000000000e+00,9.673271763444010185e-01,9.673271763444010185e-01,9.777231896976096293e-01
4.999251879265091958e-01,6.978452261129790557e-01,7.503091083096524727e-01,2.149427752550623905e-01,8.689713579258087073e-01,7.691332693809989074e-01,5.592189903975594012e-01,4.333573451648793928e-01
1.220086531434836585e+00,9.089450141558061969e-01,8.681381509018890608e-01,7.427912266736196312e-01,9.453321490624473356e-01,9.069227449620289594e-01,8.627687608019874999e-01,8.289984262283451866e-01
1.403979634291857292e-01,6.936249837595716006e-01,7.536170989965649269e-01,1.733810698083644922e-02,4.786664144033211943e-01,6.301386853519062026e-01,2.566418791211429462e-01,1.250951965036998792e-01
1.820788578383680800e+00,3.734609161629238727e-01,3.410859408800286929e-01,5.096562390587033864e-02,8.795475360065816428e-01,4.820840517395059699e-01,2.748915623393499708e-01,1.753849509866447776e-01
1.389661678068542683e+00,6.681825336146451910e-01,6.585607409233804610e-01,3.518418359286864527e-01,9.032300325848541256e-01,7.352410985504498342e-01,6.115179380578112944e-01,5.277068620681228950e-01
1.667793028187822602e+00,4.116391285604338313e-01,4.802934846708944994e-01,4.759663054193234016e-02,8.316369118119699699e-01,5.478382703591891945e-01,2.974290116411990592e-01,1.824601788767272192e-01
7.799571298857104207e-01,9.018586193837960785e-01,1.000000000000000000e+00,7.729585394214335548e-01,9.738226781259738951e-01,9.576484604225162789e-01,9.077027181886060392e-01,8.696282770131760209e-01
2.135535653668787504e+00,3.070188185333685982e-01,3.269481029240748904e-01,9.999999999999999547e-07,7.778439205154955571e-01,4.274107356540465252e-01,1.671606571880777936e-02,1.250158230940586444e-03
1.964866466908835152e+00,3.517448634230896376e-01,3.420590742131118245e-01,1.296807124828559896e-03,8.153507969382507437e-01,4.612019413290390779e-01,1.062030995828117108e-01,3.280454694783544595e-02
1.712443693562276215e+00,3.976930965357717840e-01,4.153892749504827786e-01,7.000097962188880918e-02,7.869506124593753649e-01,5.065826012326962724e-01,3.088614683030804220e-01,2.079000057413765146e-01
4.282051572743286738e-01,7.622804175610103927e-01,7.511352116701485171e-01,1.546406080535428773e-01,7.892982799779449943e-01,7.674050985886695653e-01,5.141613147094415970e-01,3.732150694214313447e-01
1.026786208199475192e+00,1.000000000000000000e+00,9.838234623358642628e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.945784810286619759e-01,9.945784810286619759e-01,9.970145176352244176e-01
9.636828473190331423e-02,6.436551565772814509e-01,8.250099002056070496e-01,2.261082898347530415e-02,4.978486195159239069e-01,6.418052127118861749e-01,2.780555393346577642e-01,1.424013807771669082e-01
3.394368825486052677e-01,7.004609394201453121e-01,7.528982272447850566e-01,3.583923081870019067e-02,6.961754813050308188e-01,7.160548766990975089e-01,3.386876808095417579e-01,1.860723638403928015e-01
1.502707697133400355e+00,6.174266747075444206e-01,5.791766012679473441e-01,2.338769243507700379e-01,8.697348168438170379e-01,6.775287845667674613e-01,5.193290977350507598e-01,4.198117417104854088e-01
1.638476742997197810e+00,5.047063043964393758e-01,5.026104984720615176e-01,4.428503854463759770e-02,8.675300367583432815e-01,6.037422959344855844e-01,3.141976686397112140e-01,1.863305402810896960e-01
2.128521411355262405e+00,3.215980762695856421e-01,3.237254067903451160e-01,9.999999999999999547e-07,7.398087589198610869e-01,4.254709360734826862e-01,1.665913409840310069e-02,1.247034430072729979e-03
7.168157879039342983e-01,8.587007836908611136e-01,8.676176706171038200e-01,6.093302299757327178e-01,9.916415716794040325e-01,9.040136560043982028e-01,8.191141426293945260e-01,7.569722714147905096e-01
8.150113532767115920e-01,9.199853009910360369e-01,9.370233220031229937e-01,7.916031776973756484e-01,9.722281751647424697e-01,9.428295027401741857e-01,9.025094440182437339e-01,8.714984682755629875e-01
1.033022784806777450e+00,1.000000000000000000e+00,9.624550249379245637e-01,9.982367988447686802e-01,9.577733566367172546e-01,9.732275595512869248e-01,9.732275595512869248e-01,9.844032260136199586e-01
4.168369899854285632e-01,7.482775034508601930e-01,7.806129576888031218e-01,1.250756832234667659e-01,7.502773114479878158e-01,7.595798220829360625e-01,4.838639712134600868e-01,3.373208440860888668e-01
2.858273117380376593e-01,6.785739582453387264e-01,7.981175611028191730e-01,8.311765045895594395e-02,6.399864765326919169e-01,7.024438547610177830e-01,4.119855915854981898e-01,2.688427665042991688e-01
1.046550837697054259e+00,9.954385603425891516e-01,9.486387640229209106e-01,9.971181441916697752e-01,9.274709903529271271e-01,9.567648696389416951e-01,9.567648696389416951e-01,9.747176940315732674e-01
4.992005679119451145e-01,7.219654673763900021e-01,8.379645308879974941e-01,1.865361034022341991e-01,8.668331773160796727e-01,8.064161106662991463e-01,5.592553170472917001e-01,4.173023810866233752e-01
1.473590788301522903e+00,5.767725971553742115e-01,6.296025839284937753e-01,2.561231058671165073e-01,8.869121178535130934e-01,6.854628195011048808e-01,5.359201880341375457e-01,4.401422796555409245e-01
9.617342215191276855e-01,9.816926284936112745e-01,1.000000000000000000e+00,9.699111575845724698e-01,9.945233189828905918e-01,9.920422458292452728e-01,9.864625763604204511e-01,9.820214446326080981e-01
1.831892031327242432e+00,3.346726734760758215e-01,3.545368217500503571e-01,3.494101432179842759e-02,8.309648253650088190e-01,4.619781267894298438e-01,2.422701661919129112e-01,1.445582080831244731e-01
1.540583224404948215e+00,5.800065800200836508e-01,5.524423102458845269e-01,1.567113637879409549e-01,9.265309437782254243e-01,6.671035634417149529e-01,4.644297888484176240e-01,3.476174055074499614e-01
6.872066110404904116e-01,8.274216750077744154e-01,9.018927668792653396e-01,5.458224986857181937e-01,9.471335214232051714e-01,8.907674420602136323e-01,7.881086778780613811e-01,7.145679434106398942e-01
1.830971563069442531e+00,3.320897694946957635e-01,3.319534289764604074e-01,9.999999999999999547e-07,8.516920645914870525e-01,4.545047421917484676e-01,1.750466541996364631e-02,1.293141740938172617e-03
1.770481586492964166e+00,3.241570342028235463e-01,3.094749147764651598e-01,9.999999999999999547e-07,8.726736122682217101e-01,4.440285707513369484e-01,1.720117786383430422e-02,1.276662210889644095e-03
