z,E_H_over_H0,Omega_m_z,Omega_L_z,D_growth_norm,sigma8_z,Gamma_inst,Gamma_prod,Gamma_coh,U_struct,CCI_cos_v02,CCI_cos_v02_normalized
0.000000000000000000e+00,1.000000000000000000e+00,3.150000000000000022e-01,6.850000000000000533e-01,1.000000000000000000e+00,8.110000000000000542e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.999999997499999793e-01,1.000000000000000000e+00
1.112347052280311492e-02,1.005300472269368806e+00,3.222043171168066378e-01,6.777956828831934732e-01,9.942851183116490077e-01,8.063652309507474136e-01,1.005300472269368806e+00,1.011123470522803158e+00,9.942851183116490077e-01,5.508818429227757031e-03,5.125057156009633630e-01,1.025011431714432542e+00
2.224694104560622984e-02,1.010690127121647297e+00,3.294139343582964674e-01,6.705860656417035326e-01,9.885840809268046092e-01,8.017416896316386099e-01,1.010690127121647297e+00,1.022246941045606317e+00,9.885840809268046092e-01,1.105703564563261486e-02,5.252977492300182627e-01,1.050595498985334331e+00
3.337041156840934303e-02,1.016168825443033219e+00,3.366254027609464905e-01,6.633745972390537871e-01,9.828985319795796594e-01,7.971307094354391776e-01,1.016168825443033219e+00,1.033370411568409253e+00,9.828985319795796594e-01,1.664290766555553275e-02,5.383811345268931792e-01,1.076762269592167476e+00
4.449388209121245968e-02,1.021736407799062274e+00,3.438353441357334672e-01,6.561646558642665328e-01,9.772300237419326852e-01,7.925335492547074256e-01,1.021736407799062274e+00,1.044493882091212411e+00,9.772300237419326852e-01,2.226469806226565734e-02,5.517609190081929071e-01,1.103521838568146674e+00
5.561735261401557634e-02,1.027392695114459631e+00,3.510404550328927176e-01,6.489595449671070604e-01,9.715800207423463952e-01,7.879513968220429598e-01,1.027392695114459631e+00,1.055617352614015569e+00,9.715800207423463952e-01,2.792067840719374139e-02,5.654421617596072647e-01,1.130884324084656667e+00
6.674082313681868606e-02,1.033137489356254601e+00,3.582375103654364956e-01,6.417624896345631713e-01,9.659499036814972461e-01,7.833853718856943482e-01,1.033137489356254601e+00,1.066740823136818728e+00,9.659499036814972461e-01,3.360912878303535384e-02,5.794299313934209161e-01,1.158859863366271892e+00
7.786429365962180271e-02,1.038970574218690768e+00,3.654233666929695978e-01,6.345766333070304022e-01,9.603409731580385689e-01,7.788365292311693056e-01,1.038970574218690768e+00,1.077864293659621886e+00,9.603409731580385689e-01,3.932833835951816959e-02,5.937293040244183695e-01,1.187458608642566027e+00
8.898776418242491937e-02,1.044891715808520249e+00,3.725949651688733599e-01,6.274050348311266401e-01,9.547544532165291864e-01,7.743058615586052573e-01,1.044891715808520249e+00,1.088987764182424822e+00,9.547544532165291864e-01,4.507660602318554893e-02,6.083453612672184985e-01,1.216690723142782371e+00
1.001112347052280360e-01,1.050900663329330076e+00,3.797493341553710433e-01,6.202506658446290677e-01,9.491914947286004267e-01,7.697943022248949774e-01,1.050900663329330076e+00,1.100111234705227981e+00,9.491914947286004267e-01,5.085224105305026499e-02,6.232831882579620286e-01,1.246566377139207260e+00
1.112347052280311527e-01,1.056997149763603261e+00,3.868835915123047253e-01,6.131164084876953302e-01,9.436531786175443859e-01,7.653027278588285798e-01,1.056997149763603261e+00,1.111234705228031139e+00,9.436531786175443859e-01,5.665356383447529842e-02,6.385478717031776164e-01,1.277095744044903114e+00
1.223581757508342693e-01,1.063180892551285117e+00,3.939949465666823247e-01,6.060050534333174532e-01,9.381405189357032715e-01,7.608319608568554493e-01,1.063180892551285117e+00,1.122358175750834297e+00,9.381405189357032715e-01,6.247890660411089397e-02,6.541444979585521180e-01,1.308288996571248752e+00
1.334816462736373721e-01,1.069451594263682193e+00,4.010807017711478517e-01,5.989192982288520373e-01,9.326544658033255608e-01,7.563827717664970418e-01,1.069451594263682193e+00,1.133481646273637455e+00,9.326544658033255608e-01,6.832661421915460498e-02,6.700781511401854296e-01,1.340156302950449074e+00
1.446051167964405026e-01,1.075808943271593154e+00,4.081382540605215659e-01,5.918617459394784897e-01,9.271959082168494959e-01,7.519558815638649474e-01,1.075808943271593154e+00,1.144605116796440392e+00,9.271959082168494959e-01,7.419504494465579969e-02,6.863539112708113565e-01,1.372707823227976576e+00
1.557285873192436054e-01,1.082252614406630675e+00,4.151650959164359111e-01,5.848349040835640889e-01,9.217656767339892365e-01,7.475519638312653203e-01,1.082252614406630675e+00,1.155728587319243550e+00,9.217656767339892365e-01,8.008257125298745560e-02,7.029768524633119853e-01,1.405953705629600980e+00
1.668520578420467360e-01,1.088782269614763099e+00,4.221588161508522674e-01,5.778411838491477326e-01,9.163645460424241218e-01,7.431716468404060416e-01,1.088782269614763099e+00,1.166852057842046708e+00,9.163645460424241218e-01,8.598758063002058527e-02,7.199520411437244638e-01,1.439904083007401026e+00
1.779755283648498387e-01,1.095397558601173937e+00,4.291171004199035854e-01,5.708828995800963035e-01,9.109932374183857817e-01,7.388155155463108636e-01,1.095397558601173937e+00,1.177975528364849866e+00,9.109932374183857817e-01,9.190847638292394539e-02,7.372845343158020981e-01,1.474569069368888874e+00
1.890989988876529415e-01,1.102098119465598103e+00,4.360377314800534254e-01,5.639622685199464636e-01,9.056524210809691056e-01,7.344841134966659801e-01,1.102098119465598103e+00,1.189098998887653025e+00,9.056524210809691056e-01,9.784367844488646437e-02,7.549793778690306878e-01,1.509958756493040788e+00
2.002224694104560720e-01,1.108883579327365254e+00,4.429185891990051194e-01,5.570814108009947141e-01,9.003427184475706335e-01,7.301779446609798496e-01,1.108883579327365254e+00,1.200222469410455961e+00,9.003427184475706335e-01,1.037916241724220062e-01,7.730416049318701299e-01,1.546083210636781891e+00
