z,E_LCDM,D_growth,fsigma8_ref,U_struct,d_H,d_S,d_V,d_R,Gamma_H,Gamma_V,Gamma_R,CCI_v02_norm,CCI_v03_norm,F_struct_v03,curvature_log_CCI_v03
0.05,1.024525195,0.9744308714,0.4418044945,0.02506024235,0.1799659352,0.02506024235,0.266538943,0.2232524391,0.8474820926,0.7895532984,0.8174927497,1,1,0.9314915712,-0.3477508119
0.05434298441,1.026740186,0.972226334,0.4427642818,0.02727101783,0.1814318234,0.02727101783,0.266538105,0.2239849642,0.8464305601,0.7895538208,0.8170035002,1.009604683,1.00923636,0.9393543043,-0.5248431085
0.05868596882,1.028968672,0.9700248053,0.4437086964,0.02948677289,0.1828511768,0.02948677289,0.2665371115,0.2246941441,0.8454148921,0.7895544402,0.8165304005,1.019292873,1.018544669,0.9471144954,-0.7083351048
0.06302895323,1.031210642,0.9678263648,0.4446378063,0.03170740545,0.1842220951,0.03170740545,0.2665359653,0.2253790302,0.844436195,0.7895551547,0.8160740272,1.02906511,1.027925095,0.9547673737,-0.7210555971
0.06737193764,1.033466082,0.9656310899,0.4455516807,0.03393281368,0.1855427213,0.03393281368,0.266534666,0.2260386936,0.8434955418,0.7895559647,0.815634943,1.038921935,1.037377802,0.9623082675,-0.7335969066
0.07171492205,1.035734979,0.9634390564,0.4464503903,0.03616289595,0.1868112493,0.03616289595,0.2665332099,0.2266722296,0.8425939681,0.7895568724,0.8152136943,1.048863889,1.046902948,0.9697326231,-0.7459164004
0.07605790646,1.03801732,0.9612503382,0.447334007,0.03839755086,0.188025932,0.03839755086,0.2665315908,0.2272787614,0.8417324682,0.7895578817,0.8148108086,1.058891514,1.056500689,0.9770360244,-0.7579714193
0.08040089087,1.04031309,0.9590650075,0.448202604,0.04063667726,0.1891850888,0.04063667726,0.2665298006,0.2278574447,0.8409119904,0.7895589978,0.8144267922,1.069005352,1.066171174,0.984214213,-0.7697188689
0.08474387528,1.042622275,0.9568831348,0.4490562557,0.0428801742,0.1902871149,0.0428801742,0.2665278287,0.2284074718,0.8401334329,0.789560227,0.8140621275,1.079205943,1.075914555,0.9912631093,-0.7811149198
0.08908685969,1.04494486,0.9547047889,0.4498950378,0.04512794103,0.1913304899,0.04512794103,0.2665256628,0.2289280763,0.8393976386,0.7895615773,0.8137172706,1.089493831,1.085730979,0.9981788341,-0.7921147957
0.0934298441,1.047280831,0.9525300369,0.4507190271,0.04737987729,0.1923137866,0.04737987729,0.2665232887,0.2294185377,0.8387053905,0.7895630573,0.8133926481,1.099869556,1.095620595,1.004957731,-0.8026726341
0.09777282851,1.04963017,0.9503589445,0.4515283015,0.04963588283,0.1932356815,0.04963588283,0.2665206903,0.2298781859,0.838057406,0.7895646772,0.813088655,1.110333662,1.105583551,1.011596389,-0.8127414112
0.1021158129,1.051992863,0.9481915754,0.45232294,0.05189585774,0.1940949639,0.05189585774,0.2665178495,0.2303064067,0.8374543317,0.7895664482,0.8128056511,1.12088669,1.11562,1.018091667,-0.8222729242
0.1064587973,1.054368892,0.9460279921,0.4531030227,0.05415970237,0.1948905462,0.05415970237,0.2665147465,0.2307026464,0.8368967376,0.7895683827,0.8125439585,1.131529182,1.125730097,1.024440718,-0.8312178274
0.1108017817,1.056758242,0.9438682554,0.4538686308,0.05642731739,0.1956214746,0.05642731739,0.2665113594,0.231066417,0.8363851112,0.7895704943,0.812303858,1.142261681,1.135914003,1.030641013,-0.8395257233
0.1151447661,1.059160895,0.9417124246,0.4546198462,0.05869860371,0.1962869393,0.05869860371,0.2665076642,0.2313973017,0.835919851,0.7895727979,0.8120855865,1.153084728,1.146171884,1.036690368,-0.8471453063
0.1194877506,1.061576833,0.9395605575,0.4553567521,0.06097346255,0.1968862853,0.06097346255,0.2665036348,0.23169496,0.8355012605,0.78957531,0.8118893334,1.163998866,1.156503915,1.042586968,-0.8540245637
0.123830735,1.06400604,0.9374127105,0.4560794325,0.06325179545,0.1974190237,0.06325179545,0.2664992426,0.2319591331,0.8351295413,0.7895780482,0.8117152372,1.175004636,1.166910282,1.048329395,-0.8601110345
0.1281737194,1.066448497,0.9352689385,0.4567879721,0.06553350422,0.1978848418,0.06553350422,0.2664944567,0.2321896493,0.8348047868,0.7895810319,0.8115633828,1.186102579,1.177391181,1.053916652,-0.8653521292
0.1325167038,1.068904185,0.933129295,0.4574824567,0.06781849101,0.1982836146,0.06781849101,0.2664892436,0.2323864291,0.834526975,0.789584282,0.8114337974,1.197293238,1.187946822,1.059348189,-0.869695514
0.1368596882,1.071373085,0.9309938321,0.4581629729,0.07010665829,0.1986154148,0.07010665829,0.2664835669,0.2325494908,0.8342959615,0.7895878211,0.8113264477,1.208577154,1.198577431,1.064623929,-0.8730895615
0.1412026726,1.07385518,0.9288626006,0.4588296079,0.07239790884,0.1988805238,0.07239790884,0.2664773873,0.2326789555,0.8341114733,0.7895916738,0.8112412364,1.219954867,1.20928325,1.069744291,-0.8754838681
0.145545657,1.076350449,0.9267356499,0.4594824499,0.07469214579,0.1990794412,0.07469214579,0.2664706624,0.2327750518,0.8339731011,0.7895958665,0.8111779992,1.231426918,1.220064542,1.074710219,-0.8768298419
0.1498886414,1.078858872,0.9246130281,0.4601215877,0.07698927262,0.1992128947,0.07698927262,0.2664633464,0.2328381205,0.833880293,0.7896004277,0.8111365015,1.242993848,1.23092159,1.079523198,-0.877081356
0.1542316258,1.081380431,0.922494782,0.4607471107,0.07928919314,0.1992818484,0.07928919314,0.2664553902,0.2328686193,0.8338323484,0.7896053882,0.8111164356,1.254656197,1.2418547,1.084185277,-0.8761954684
0.1585746102,1.083915104,0.9203809572,0.4613591092,0.08159181153,0.1992875115,0.08159181153,0.2664467408,0.2328671261,0.833828411,0.7896107809,0.8111174179,1.266414505,1.252864207,1.08869909,-0.8741332001
0.1629175947,1.086462871,0.9182715979,0.4619576739,0.08389703234,0.1992313448,0.08389703234,0.2664373414,0.2328343431,0.8338674638,0.7896166414,0.8111389869,1.278269311,1.263950471,1.093067873,-0.8708603649
0.1672605791,1.089023711,0.9161667473,0.4625428963,0.08620476049,0.1991150667,0.08620476049,0.266427131,0.2327710989,0.8339483239,0.7896230075,0.8111806003,1.290221154,1.275113881,1.097295474,-0.86634844
0.1716035635,1.091597603,0.9140664471,0.4631148683,0.08851490127,0.1989406581,0.08851490127,0.2664160447,0.2326783514,0.8340696374,0.78962992,0.811241634,1.302270573,1.286354861,1.101386366,-0.8605754621
0.1759465479,1.094184525,0.9119707381,0.4636736826,0.09082736036,0.198710365,0.09082736036,0.2664040128,0.2325571889,0.8342298767,0.7896374221,0.8113213804,1.314418105,1.297673866,1.105345656,-0.8535269305
0.1802895323,1.096784457,0.9098796598,0.4642194321,0.09314204385,0.1984266999,0.09314204385,0.2663909615,0.2324088307,0.8344273371,0.78964556,0.8114190479,1.326664289,1.309071388,1.109179084,-0.8451966957
0.1846325167,1.099397376,0.9077932505,0.4647522103,0.09545885821,0.1980924415,0.09545885821,0.2663768121,0.2322346268,0.8346601359,0.7896543829,0.8115337601,1.339009661,1.320547955,1.112893024,-0.8355878059
0.1889755011,1.10202326,0.9057115475,0.4652721113,0.09777771033,0.1977106315,0.09777771033,0.2663614813,0.2320360564,0.8349262114,0.7896639426,0.8116645571,1.351454758,1.332104133,1.116494479,-0.8247132812
0.1933184855,1.104662087,0.903634587,0.4657792295,0.1000985075,0.1972845704,0.1000985075,0.2663448812,0.2318147258,0.8352233251,0.789674294,0.8118103957,1.364000115,1.34374053,1.119991063,-0.8125967809
0.1976614699,1.107313833,0.9015624039,0.4662736597,0.1024211575,0.1968178096,0.1024211575,0.2663269195,0.2315723646,0.8355490635,0.7896854948,0.8119701519,1.376646269,1.355457792,1.123390992,-0.7992731259
0.2020044543,1.109978477,0.8994950323,0.4667554972,0.1047455684,0.1963141418,0.1047455684,0.2663074994,0.2313108206,0.8359008433,0.7896976054,0.8121426234,1.389393754,1.367256607,1.126703055,-0.784788635
0.2063474388,1.112655995,0.8974325051,0.4672248374,0.1070716489,0.1957775887,0.1070716489,0.2662865199,0.2310320543,0.8362759174,0.7897106889,0.8123265324,1.402243104,1.379137706,1.129936585,-0.7692012321
0.2106904232,1.115346364,0.8953748543,0.4676817763,0.1093993079,0.195212386,0.1093993079,0.2662638764,0.2307381312,0.8366713831,0.7897248106,0.8125205311,1.415194853,1.391101859,1.133101425,-0.7525802803
0.2150334076,1.11804956,0.8933221108,0.46812641,0.111728455,0.1946229651,0.111728455,0.2662394616,0.2304312133,0.8370841924,0.7897400376,0.8127232056,1.428249533,1.403149878,1.136207889,-0.7350060985
0.219376392,1.12076556,0.8912743044,0.468558835,0.1140590002,0.1940139335,0.1140590002,0.2662131655,0.2301135495,0.8375111646,0.7897564385,0.8129330828,1.441407675,1.415282615,1.139266706,-0.7165691186
0.2237193764,1.123494339,0.8892314642,0.468979148,0.1163908537,0.1933900515,0.1163908537,0.2661848772,0.2297874643,0.8379489998,0.7897740828,0.8131486367,1.454669812,1.427500963,1.142288977,-0.6973686421
0.2280623608,1.126235873,0.887193618,0.4693874459,0.1187239266,0.1927562066,0.1187239266,0.266154486,0.2294553463,0.8383942959,0.7897930395,0.813368296,1.468036475,1.439805851,1.145286108,-0.677511163
0.2324053452,1.128990139,0.8851607931,0.4697838259,0.1210581301,0.1921173863,0.1210581301,0.2661218831,0.2291196347,0.8388435665,0.7898133769,0.8135904527,1.481508191,1.452198245,1.14826975,-0.657108226
0.2367483296,1.131757111,0.8831330154,0.4701683853,0.1233933762,0.1914786487,0.1233933762,0.2660869638,0.2287828062,0.8392932606,0.7898351603,0.8138134705,1.495085491,1.464679143,1.151251733,-0.6362737993
