dataset,model,target,spearman,pearson,r2,rmse,auroc_top_hard,hard_threshold,null_id
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,-0.006748286138647319,0.03166774473866075,-0.03442883126009333,0.18121227637338974,0.5181391378574478,0.0,0
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,-0.04668726026351613,-0.04815751478051091,-0.03990920668515052,0.18169167107895284,0.45641682261400573,0.0,1
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,-0.06854909471859873,-0.07898870699139782,-0.042397450419013216,0.1819089126639049,0.45262483994878366,0.0,2
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,-0.042482596623431707,0.06714442418609172,-0.01928253003483027,0.17988071205317366,0.49637217242851045,0.0,3
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,-0.0002950229677145101,0.0063190300693575525,-0.022508384205643495,0.1801651329768735,0.4976525821596244,0.0,4
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,-0.016182055976425636,-0.010683991182634512,-0.03847754323928232,0.18156655875547043,0.46017597426048124,0.0,5
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,0.004367349155164763,0.01748462947587126,-0.03692514681667736,0.18143079814385815,0.5141337535703733,0.0,6
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,0.03145423866143206,0.021684731546738955,-0.029670660084580858,0.1807950254113543,0.4917101677665058,0.0,7
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,-0.10607372766947043,-0.11948825310403877,-0.06620778256636695,0.183974754394175,0.4427755343248301,0.0,8
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,-0.01150177352161091,-0.02612607026853487,-0.043172529861733366,0.18197652970344072,0.4694014905282511,0.0,9
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,-0.02117221560282197,-0.07977543027213162,-0.049582354433848286,0.18253475534393906,0.5005581273186908,0.0,10
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,0.05906926974155782,0.007106326820354765,-0.04160225575107179,0.18183951466457798,0.5130010834236187,0.0,11
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,-0.032013936534414894,-0.06360668342088813,-0.05219618994487951,0.1827619024303656,0.4823697429331232,0.0,12
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,-0.06432836863796902,-0.0715460156532091,-0.06395015033006946,0.18377987331918497,0.4990807314750977,0.0,13
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,-0.10656277923315234,-0.05429618633575868,-0.04177672907837171,0.18185474351826192,0.4909386388259628,0.0,14
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,-0.0036576167158496355,-0.011908718255452873,-0.0483995339391865,0.18243187313014989,0.4899208772448208,0.0,15
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,0.006077785855000322,0.03473151530194493,-0.029940557348231644,0.18081871885399745,0.49670048261597555,0.0,16
breast_cancer,MAAT_v14_field_shuffled_null,misclassification_rate,-0.023647110756219867,-0.03826780110788962,-0.03618209548683282,0.1813657806465743,0.4850290554515907,0.0,17
