dataset,model,target,spearman,pearson,r2,rmse,auroc_top_hard,hard_threshold
breast_cancer,MAAT_supports,misclassification_rate,0.3290340484052194,0.5932149621265179,0.35150894064241145,0.1434793181562696,0.6267277323615352,0.0
breast_cancer,MAAT_supports,hybrid_hardness,0.57147154502261,0.7039548819701443,0.4953970993283787,0.13210986734699512,0.8821694737187696,0.08851106587245093
breast_cancer,MAAT_defects,misclassification_rate,0.36721617532726114,0.5174342484349387,0.2650474505653321,0.15274498425763222,0.6224596999244886,0.0
breast_cancer,MAAT_defects,hybrid_hardness,0.5615728502920213,0.6389230535071105,0.40652846287845534,0.14327167314033298,0.8848452017466103,0.08851106587245093
breast_cancer,MAAT_v14_field,misclassification_rate,0.33934741454471645,0.5456475036013716,0.29021862860579084,0.15010653712073574,0.6434879674316294,0.0
breast_cancer,MAAT_v14_field,hybrid_hardness,0.6056095708465947,0.6783289790941245,0.4567033742924276,0.13708151293983878,0.8991923569388358,0.08851106587245093
breast_cancer,external_geometry,misclassification_rate,0.4188159837787867,0.4569043173232388,0.2085575628540277,0.15850646278525204,0.6380216028103352,0.0
breast_cancer,external_geometry,hybrid_hardness,0.8576780170431525,0.6593993046591599,0.43480290009944644,0.13981711850990663,0.946616763518172,0.08851106587245093
breast_cancer,label_geometry,misclassification_rate,0.320060474596338,0.5945675572408075,0.3530266890122483,0.14331131810161912,0.6406316688006829,0.0
breast_cancer,label_geometry,hybrid_hardness,0.4888694483057815,0.7064468049190922,0.4989170880935667,0.13164827758469633,0.8493877015003776,0.08851106587245093
breast_cancer,combined_geometry,misclassification_rate,0.39326206232615324,0.5986845664778957,0.35738911630214054,0.14282733936479566,0.6390557799008503,0.0
breast_cancer,combined_geometry,hybrid_hardness,0.8617161576432976,0.7336029960007897,0.537916967659186,0.12642134191987497,0.9554154765422371,0.08851106587245093
