dataset,model,target,spearman,pearson,r2,rmse,auroc_top_hard,hard_threshold
breast_cancer,MAAT_supports,misclassification_rate,0.3290340484052194,0.5932149621265179,0.35150894064241145,0.1434793181562696,0.6267277323615352,0.0
breast_cancer,MAAT_supports,hybrid_hardness,0.57147154502261,0.7039548819701443,0.4953970993283787,0.13210986734699512,0.8821694737187696,0.08851106587245093
breast_cancer,MAAT_defects,misclassification_rate,0.36721617532726114,0.5174342484349387,0.2650474505653321,0.15274498425763222,0.6224596999244886,0.0
breast_cancer,MAAT_defects,hybrid_hardness,0.5615728502920213,0.6389230535071105,0.40652846287845534,0.14327167314033298,0.8848452017466103,0.08851106587245093
breast_cancer,MAAT_v14_field,misclassification_rate,0.33934741454471645,0.5456475036013716,0.29021862860579084,0.15010653712073574,0.6434879674316294,0.0
breast_cancer,MAAT_v14_field,hybrid_hardness,0.6056095708465947,0.6783289790941245,0.4567033742924276,0.13708151293983878,0.8991923569388358,0.08851106587245093
breast_cancer,external_geometry,misclassification_rate,0.4188159837787867,0.4569043173232388,0.2085575628540277,0.15850646278525204,0.6380216028103352,0.0
breast_cancer,external_geometry,hybrid_hardness,0.8576780170431525,0.6593993046591599,0.43480290009944644,0.13981711850990663,0.946616763518172,0.08851106587245093
breast_cancer,label_geometry,misclassification_rate,0.320060474596338,0.5945675572408075,0.3530266890122483,0.14331131810161912,0.6406316688006829,0.0
breast_cancer,label_geometry,hybrid_hardness,0.4888694483057815,0.7064468049190922,0.4989170880935667,0.13164827758469633,0.8493877015003776,0.08851106587245093
breast_cancer,combined_geometry,misclassification_rate,0.39326206232615324,0.5986845664778957,0.35738911630214054,0.14282733936479566,0.6390557799008503,0.0
breast_cancer,combined_geometry,hybrid_hardness,0.8617161576432976,0.7336029960007897,0.537916967659186,0.12642134191987497,0.9554154765422371,0.08851106587245093
wine,MAAT_supports,misclassification_rate,0.2556279516887271,0.41296738378311487,0.12133782955527472,0.1092968988732559,0.6015037593984963,0.0
wine,MAAT_supports,hybrid_hardness,0.5045413004599284,0.6248973832913038,0.38098635864608443,0.10333822597096885,0.7979949874686717,0.14525103437225298
wine,MAAT_defects,misclassification_rate,-0.03488907210591865,0.23847583635305664,-0.14376868751659777,0.12469986310335764,0.422890559732665,0.0
wine,MAAT_defects,hybrid_hardness,0.5861091635644821,0.326886548673492,-0.45281133988672884,0.15831260759348725,0.7722639933166249,0.14525103437225298
wine,MAAT_v14_field,misclassification_rate,0.092507017298848,0.1665285131697381,-1.813709581198622,0.19558543486144112,0.5181286549707602,0.0
wine,MAAT_v14_field,hybrid_hardness,0.542527148327161,0.288031055337716,-0.8550014219400159,0.17888874414311493,0.7652464494569758,0.14525103437225298
wine,external_geometry,misclassification_rate,0.26735248186635313,0.20322367449102158,-0.004684517383293452,0.11687233746761154,0.6215538847117794,0.0
wine,external_geometry,hybrid_hardness,0.6386812195389227,0.549136570026008,0.2979201231237618,0.11005357490874518,0.8506265664160402,0.14525103437225298
wine,label_geometry,misclassification_rate,0.2557168636971519,0.5930156092069476,0.34780562993649966,0.09416410827518353,0.6172096908939014,0.0
wine,label_geometry,hybrid_hardness,0.3417907097238196,0.6645298904111854,0.4399308692092816,0.09829506404186888,0.6700083542188806,0.14525103437225298
wine,combined_geometry,misclassification_rate,0.27521230341111164,0.630526243786623,0.3895582164978705,0.09110013101280673,0.6177109440267335,0.0
wine,combined_geometry,hybrid_hardness,0.5981951828276392,0.7489738062831442,0.5600260262493056,0.08712130762740379,0.8379281537176274,0.14525103437225298
digits,MAAT_supports,misclassification_rate,0.3877058104684601,0.5211219163357049,0.271464956195399,0.17990140608064956,0.6897071681926916,0.0
digits,MAAT_supports,hybrid_hardness,0.6594452974382831,0.621419182235686,0.3861075142559067,0.14369261834835392,0.8404371855151365,0.23202049822877502
digits,MAAT_defects,misclassification_rate,0.39800683030266065,0.5278813716867061,0.2781317117720795,0.17907638390531938,0.698556462921719,0.0
digits,MAAT_defects,hybrid_hardness,0.6717869933500835,0.5917601066582511,0.3464842483073729,0.14825738295940294,0.8465214880805081,0.23202049822877502
digits,MAAT_v14_field,misclassification_rate,0.40671236238856956,0.5128007183795997,0.2519903969911731,0.1822900319162496,0.6956330941186175,0.0
digits,MAAT_v14_field,hybrid_hardness,0.7158019786254054,0.6038143973392509,0.354540143366219,0.14734076430380552,0.8553559349995875,0.23202049822877502
digits,external_geometry,misclassification_rate,0.4803889275781598,0.46028202287633596,0.2118112798299998,0.18712182390067736,0.7458962303060298,0.0
digits,external_geometry,hybrid_hardness,0.8501527950542938,0.6656194316501962,0.4430433112347565,0.1368670831123233,0.9316852264291016,0.23202049822877502
digits,label_geometry,misclassification_rate,0.35630716716051575,0.5405034730427227,0.2919588860814849,0.17735301366280082,0.6734950094861009,0.0
digits,label_geometry,hybrid_hardness,0.4801524936732627,0.6142257705558997,0.37719584700813347,0.14473182876851817,0.7872952239544668,0.23202049822877502
digits,combined_geometry,misclassification_rate,0.47860587545672834,0.5760425731981049,0.3315380904032895,0.17232475388412913,0.7430784459292253,0.0
digits,combined_geometry,hybrid_hardness,0.8536687271735248,0.7165056571523291,0.513341828286495,0.12793822170059055,0.9320201270312628,0.23202049822877502
