case,t,energy,enstrophy,palinstrophy,equation_residual_defect,enstrophy_balance_defect,activity_pressure,low_mode_fraction,high_mode_fraction,H,B,S_eff,V,R_resp,R_rob,MAAT_warning
2d_navier_stokes_regular_control,0.04,0.1245509726721756,0.4992860633163884,4.791341176915138,0.049674935362885336,0.068714995605173,0.9975152010235276,0.9988890399783803,0.0011109600216197002,0.9526758868966304,0.9357031613781538,0.9999961792648995,0.9988890399783803,0.962055601487833,0.962055601487833,0.037939329393999945
2d_navier_stokes_regular_control,0.08,0.12447487385813845,0.4985736789056822,4.782492550584866,0.0495454967904456,0.0690204909181684,0.9956729946460837,0.9988714867780516,0.0011285132219484018,0.9527933787130164,0.9354357643239489,0.9999883924671497,0.9988714867780516,0.9619978592489258,0.9619978592489258,0.03796262691965827
2d_navier_stokes_regular_control,0.12,0.12439887910893363,0.497862367992582,4.77667314681523,0.049429169640930797,0.06929089132719125,0.9944614458319283,0.9988075967717811,0.0011924032282188968,0.9528989939760838,0.9351992129651565,0.9999809592259771,0.9988075967717811,0.9619317938831671,0.9619317938831671,0.03800790510231318
2d_navier_stokes_regular_control,0.16,0.12432298746228079,0.49715166030128644,4.773828570046206,0.04932618533650891,0.06952606164246977,0.9938692299026491,0.9986972416654938,0.0013027583345062155,0.9529925146005095,0.9349935788047103,0.9999766557802141,0.9986972416654938,0.961857323553656,0.961857323553656,0.038075112833704954
2d_navier_stokes_regular_control,0.2,0.1242471980473355,0.4964410936545198,4.773906927203047,0.049236839236354024,0.06972598962865312,0.9938855431753159,0.9985400147876423,0.001459985212357684,0.9530736651677336,0.9348188318273375,0.9999767802267788,0.9985400147876423,0.9617742199486425,0.9617742199486425,0.03816437411175411
2d_navier_stokes_regular_control,0.24,0.12417151008624108,0.49573021365010383,4.776858417839659,0.04916148167577159,0.06989078616510869,0.9945000176339255,0.9983353507564177,0.001664649243582339,0.953142121080114,0.9346748405829127,0.9999812242364899,0.9983353507564177,0.9616821494019681,0.9616821494019681,0.03827594168729837
2d_navier_stokes_regular_control,0.28,0.12409592289555038,0.49501857339871025,4.782634941747705,0.04910051187685017,0.07002068412060675,0.9957026392370613,0.9980827323378845,0.0019172676621155293,0.9531975141361728,0.9345613732895705,0.9999885513099406,0.9980827323378845,0.9615807414973067,0.9615807414973067,0.038410120476785665
2d_navier_stokes_regular_control,0.32,0.12402043588748843,0.49430573332010475,4.7911897215469565,0.049054375844080046,0.07011603584267213,0.9974836693445136,0.997781962101127,0.002218037898872982,0.9532394345101413,0.9344781000431801,0.9999960815570547,0.997781962101127,0.9614696777193856,0.9614696777193856,0.038567168352639694
2d_navier_stokes_regular_control,0.36,0.12394504857102911,0.49359126099559325,4.802476937223846,0.0490235696517392,0.07017730921249965,0.9998335686314137,0.9974334555404183,0.00256654445958171,0.9532674278538715,0.9344245961782348,0.9999999828987587,0.9974334555404183,0.961348785903048,0.961348785903048,0.038747189379936445
2d_navier_stokes_regular_control,0.4,0.1238697605527618,0.4928747310748718,4.816451369143252,0.04900865021860997,0.07020508226925123,1.0027429227664184,0.9970384983531518,0.0029615016468481636,0.9532809856158986,0.934400346781769,0.9999953685043438,0.9970384983531518,0.9612181215051931,0.9612181215051931,0.03895003992599182
