source_domain,fit_rule,dominant_sector,v_weight,lambda_H,lambda_B,lambda_S,lambda_V,lambda_R_rob
SAT,equal,H,0.2,0.2,0.2,0.2,0.2,0.2
SAT,nnls,V,1.0,0.0,0.0,0.0,1.0,0.0
SAT,ridge_pos,V,0.8394408736949722,0.0,0.0,0.0,0.8394408736949722,0.1605591263050278
SAT,v_only,V,1.0,0.0,0.0,0.0,1.0,0.0
Quantum,equal,H,0.2,0.2,0.2,0.2,0.2,0.2
Quantum,nnls,H,0.21834073386365818,0.483894927840362,0.0,0.29776433829597987,0.21834073386365818,0.0
Quantum,ridge_pos,S,0.0,0.0,0.0,0.7852172465231922,0.0,0.2147827534768077
Quantum,v_only,V,1.0,0.0,0.0,0.0,1.0,0.0
Fluid,equal,H,0.2,0.2,0.2,0.2,0.2,0.2
Fluid,nnls,S,0.41993014178552085,0.0,0.10488144751113268,0.47518841070334644,0.41993014178552085,0.0
Fluid,ridge_pos,R_rob,0.35308160182534837,0.0,0.0,0.2241200671069612,0.35308160182534837,0.4227983310676903
Fluid,v_only,V,1.0,0.0,0.0,0.0,1.0,0.0
