dataset_id,family,source_name,source_url,license_or_terms,download_tls_mode,archive_sha256,local_path,sha256,n_vars,n_clauses
aim_aim-100-1_6-no-1,satlib_dimacs_aim,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/DIMACS/AIM/aim.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,7e4e0076fdd840ed7bcc80c475509ed7726608b010cd3f181d503fe337473c85,data_external/satlib/aim/aim-100-1_6-no-1.cnf,42058adae7534bb0613399393b369724c172055a0056a433ddc82cd6512545e2,100,160
aim_aim-100-1_6-no-2,satlib_dimacs_aim,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/DIMACS/AIM/aim.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,7e4e0076fdd840ed7bcc80c475509ed7726608b010cd3f181d503fe337473c85,data_external/satlib/aim/aim-100-1_6-no-2.cnf,c7a787035bfb27d7b15dbb05ad2fbd558fb1fb58a6106980c16719c3d925dac9,100,160
aim_aim-100-1_6-no-3,satlib_dimacs_aim,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/DIMACS/AIM/aim.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,7e4e0076fdd840ed7bcc80c475509ed7726608b010cd3f181d503fe337473c85,data_external/satlib/aim/aim-100-1_6-no-3.cnf,6b68655073b4516a75f8ac0158955bc5e83d177f67707b9186eb677b16145c83,100,157
aim_aim-100-1_6-no-4,satlib_dimacs_aim,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/DIMACS/AIM/aim.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,7e4e0076fdd840ed7bcc80c475509ed7726608b010cd3f181d503fe337473c85,data_external/satlib/aim/aim-100-1_6-no-4.cnf,3d4f79f02573f3122d3114d2a2d0a557667e01c0942eb2e8103790c1a0790079,100,160
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/DIMACS/AIM/aim.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,7e4e0076fdd840ed7bcc80c475509ed7726608b010cd3f181d503fe337473c85,data_external/satlib/aim/aim-100-1_6-yes1-1.cnf,74560a84735393495e1665fb2999f6b7948fb7f12b11c23e530aedccbf8cbbec,100,160
dubois_dubois100,satlib_dimacs_dubois,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/DIMACS/DUBOIS/dubois.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,c0ffe431d4b3fc69226f5f5e0444068d5619642f18f8e4f8c8023c24c9ef263c,data_external/satlib/dubois/dubois100.cnf,c3c45967ab3a1ee3cc8cd09454bcbc95e33539ad6af29f3c08c4fcefd13d0964,300,396
dubois_dubois20,satlib_dimacs_dubois,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/DIMACS/DUBOIS/dubois.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,c0ffe431d4b3fc69226f5f5e0444068d5619642f18f8e4f8c8023c24c9ef263c,data_external/satlib/dubois/dubois20.cnf,82059aba0e5773644b386eb6bcbe53680655390cb041873a3cb3e93f7bd896a7,60,160
dubois_dubois21,satlib_dimacs_dubois,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/DIMACS/DUBOIS/dubois.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,c0ffe431d4b3fc69226f5f5e0444068d5619642f18f8e4f8c8023c24c9ef263c,data_external/satlib/dubois/dubois21.cnf,6989eedd78392551b0a2b4fe97de968bdb190c3806b32cbc9171f0747eb0f3d3,63,168
dubois_dubois22,satlib_dimacs_dubois,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/DIMACS/DUBOIS/dubois.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,c0ffe431d4b3fc69226f5f5e0444068d5619642f18f8e4f8c8023c24c9ef263c,data_external/satlib/dubois/dubois22.cnf,ced29f39ae3ceb0d56bbe5d6f68a1d0b58560a171677234bd5f9a04a2444aee9,66,176
dubois_dubois23,satlib_dimacs_dubois,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/DIMACS/DUBOIS/dubois.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,c0ffe431d4b3fc69226f5f5e0444068d5619642f18f8e4f8c8023c24c9ef263c,data_external/satlib/dubois/dubois23.cnf,8e40b75d1c8e4ec86aa6538d871cbfe6435c6b50f8128f9e7cb9b727a2b905cb,69,184
