dataset_id,family,split,gate_shuffled_R,gate_v17,jeroslow_wang,moms,progress_only,score_with_R,vsids,alpha,H,B,S,V,R_rob,G_gate,degree_cv,literal_imbalance,clustering_mean,largest_component_frac,delta_gate_vs_score_with_R,regret_gate_to_score_with_R,delta_gate_vs_moms,regret_gate_to_moms,delta_gate_vs_jeroslow_wang,regret_gate_to_jeroslow_wang,delta_gate_vs_vsids,regret_gate_to_vsids,delta_gate_vs_progress_only,regret_gate_to_progress_only,delta_gate_vs_gate_shuffled_R,regret_gate_to_gate_shuffled_R,delta_moms_vs_score_with_R
aim_aim-100-1_6-no-1,satlib_dimacs_aim,test,58.016,55.016,28.896,29.068,44.56399999999999,54.352,52.804,1.6,0.9061097687421702,0.8429293832650114,0.1039139631112823,0.7399170940129377,0.4922743911105495,4.107761841814248e-05,0.1863389980861618,0.1036190475996798,0.2569059828941076,1.0,-0.6640000000000015,0.6640000000000015,-25.947999999999997,25.947999999999997,-26.119999999999997,26.119999999999997,-2.211999999999996,2.211999999999996,-10.452000000000005,10.452000000000005,3.0,-3.0,25.283999999999995
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,72.576,81.848,59.46,47.808,76.08,95.948,89.444,1.6,0.9008107296734088,0.8319997142669946,0.1039139631112823,0.7356477272682016,0.4892435777276955,3.722191691291002e-05,0.2019234896985708,0.110111111090509,0.2447077921948617,1.0,14.099999999999994,-14.099999999999994,-34.04,34.04,-22.387999999999998,22.387999999999998,7.596000000000004,-7.596000000000004,-5.768000000000001,5.768000000000001,-9.272000000000006,9.272000000000006,48.13999999999999
aim_aim-100-1_6-no-3,satlib_dimacs_aim,test,85.192,79.30000000000001,55.392,50.111999999999995,65.42,77.79599999999999,86.27199999999999,1.57,0.8924397603353574,0.8461759475792279,0.0987116801130197,0.7420462121168514,0.4849643012809433,3.238612151511056e-05,0.181787313691482,0.1205238094997291,0.2629891774767181,1.0,-1.504000000000019,1.504000000000019,-29.188000000000017,29.188000000000017,-23.90800000000001,23.90800000000001,6.97199999999998,-6.97199999999998,-13.88000000000001,13.88000000000001,5.891999999999982,-5.891999999999982,27.683999999999997
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,72.86399999999999,52.7,38.396,31.82,54.644,66.332,58.74399999999999,1.6,0.9152719665417378,0.8397867712553891,0.1039139631112823,0.73178243977875,0.4916927113209335,4.0307861328311855e-05,0.1907784621387994,0.0925714285540707,0.2336641136535715,1.0,13.63199999999999,-13.63199999999999,-20.880000000000003,20.880000000000003,-14.304000000000002,14.304000000000002,6.04399999999999,-6.04399999999999,1.9439999999999955,-1.9439999999999955,20.163999999999987,-20.163999999999987,34.51199999999999
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,test,44.744,61.004,45.848,30.88,33.208,30.02,55.02,1.6,0.9189969804521566,0.8342349411237375,0.1039139631112823,0.7552652486340592,0.495272218681956,4.528409810057287e-05,0.1987030879490284,0.0881428571266784,0.3007578532401689,1.0,-30.983999999999998,30.983999999999998,-30.124,30.124,-15.155999999999999,15.155999999999999,-5.983999999999995,5.983999999999995,-27.796,27.796,-16.259999999999998,16.259999999999998,-0.8599999999999994
dubois_dubois100,satlib_dimacs_dubois,test,30.696,30.696,30.396,30.396,30.396,30.396,30.396,1.32,1.0,0.548661452572583,0.0629161746301274,0.5871111109869259,0.3773086522949174,9.76807816930188e-07,0.8226175637292635,0.0,0.4455555552007407,0.6633333333333333,-0.3000000000000007,0.3000000000000007,-0.3000000000000007,0.3000000000000007,-0.3000000000000007,0.3000000000000007,-0.3000000000000007,0.3000000000000007,-0.3000000000000007,0.3000000000000007,0.0,0.0,0.0
dubois_dubois20,satlib_dimacs_dubois,test,348.336,372.388,366.52,69.01599999999999,295.428,372.304,309.144,2.6666666666666665,1.0,1.0,0.4437972098062565,0.7744444444211112,0.7656736633022754,0.2299862853747679,0.0,0.0,0.3555555554888889,1.0,-0.08400000000000318,0.08400000000000318,-303.37199999999996,303.37199999999996,-5.867999999999995,5.867999999999995,-63.24399999999997,63.24399999999997,-76.95999999999998,76.95999999999998,-24.051999999999964,24.051999999999964,303.288
dubois_dubois21,satlib_dimacs_dubois,test,280.56399999999996,280.66,396.3200000000001,72.412,323.70799999999997,429.824,345.108,2.6666666666666665,1.0,1.0,0.4437972098062565,0.774074074050926,0.7655821029224094,0.2294593685946946,0.0,0.0,0.354497354431217,1.0,149.164,-149.164,-208.24800000000002,208.24800000000002,115.66000000000008,-115.66000000000008,64.44799999999998,-64.44799999999998,43.047999999999945,-43.047999999999945,-0.09600000000006048,0.09600000000006048,357.41200000000003
dubois_dubois22,satlib_dimacs_dubois,test,372.528,324.9,426.496,75.83200000000001,361.456,371.448,357.756,2.6666666666666665,1.0,1.0,0.4437972098062565,0.773737373714394,0.7654988376971243,0.2289809257190513,0.0,0.0,0.3535353534696969,1.0,46.548,-46.548,-249.06799999999998,249.06799999999998,101.596,-101.596,32.855999999999995,-32.855999999999995,36.55600000000004,-36.55600000000004,47.62800000000004,-47.62800000000004,295.616
dubois_dubois23,satlib_dimacs_dubois,test,354.472,308.328,457.16,79.276,371.148,427.624,406.924,2.6666666666666665,1.0,1.0,0.4437972098062565,0.7734299516679952,0.7654227891893935,0.2285445633357869,0.0,0.0,0.3526570047657005,1.0,119.29600000000005,-119.29600000000005,-229.05199999999996,229.05199999999996,148.83200000000005,-148.83200000000005,98.596,-98.596,62.82000000000005,-62.82000000000005,46.144000000000005,-46.144000000000005,348.348
