dataset_id,family,source_name,source_url,license_or_terms,local_path,sha256,download_tls_mode,archive_sha256,notes
uf20-91_uf20-01,satlib_random_3sat_uf20,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/RND3SAT/uf20-91.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,data_external/satlib/uf20-91/uf20-01.cnf,bbb43578ee4f0634de44a7632b6df4ee6b9204f1c82e77660616b0891b00eb24,tls_verification_disabled_opt_in,be2835295e8500bb28f0314eba70bd0deaff1250b187260f7b6d0772bdf111a5,"Uniform random 3-SAT, 20 variables, 91 clauses; SATLIB lists 1000 satisfiable instances. Expected status: sat."
uf20-91_uf20-010,satlib_random_3sat_uf20,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/RND3SAT/uf20-91.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,data_external/satlib/uf20-91/uf20-010.cnf,63eaf772326a657b653d9c80e8df3715a298d621392cff0dfff281cc5486e35a,tls_verification_disabled_opt_in,be2835295e8500bb28f0314eba70bd0deaff1250b187260f7b6d0772bdf111a5,"Uniform random 3-SAT, 20 variables, 91 clauses; SATLIB lists 1000 satisfiable instances. Expected status: sat."
uf20-91_uf20-0100,satlib_random_3sat_uf20,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/RND3SAT/uf20-91.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,data_external/satlib/uf20-91/uf20-0100.cnf,a41cdfef7f617306139249d0dd80e3dd42f8d71ff635b8d139f425999884a4d3,tls_verification_disabled_opt_in,be2835295e8500bb28f0314eba70bd0deaff1250b187260f7b6d0772bdf111a5,"Uniform random 3-SAT, 20 variables, 91 clauses; SATLIB lists 1000 satisfiable instances. Expected status: sat."
uf20-91_uf20-01000,satlib_random_3sat_uf20,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/RND3SAT/uf20-91.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,data_external/satlib/uf20-91/uf20-01000.cnf,10fde5a52f77b0ef88d6381a6ea99399da1f59cf8e9249b5ed9f921b0db5096d,tls_verification_disabled_opt_in,be2835295e8500bb28f0314eba70bd0deaff1250b187260f7b6d0772bdf111a5,"Uniform random 3-SAT, 20 variables, 91 clauses; SATLIB lists 1000 satisfiable instances. Expected status: sat."
uf20-91_uf20-0101,satlib_random_3sat_uf20,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/RND3SAT/uf20-91.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,data_external/satlib/uf20-91/uf20-0101.cnf,bbe6caaab1c55a06baad6572beea01d508351f125a0b063364d761e4597f24f4,tls_verification_disabled_opt_in,be2835295e8500bb28f0314eba70bd0deaff1250b187260f7b6d0772bdf111a5,"Uniform random 3-SAT, 20 variables, 91 clauses; SATLIB lists 1000 satisfiable instances. Expected status: sat."
uf20-91_uf20-0102,satlib_random_3sat_uf20,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/RND3SAT/uf20-91.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,data_external/satlib/uf20-91/uf20-0102.cnf,7ab7912ddef3b044318081513ab41853d6771be29df3367e16983d6e216aafcd,tls_verification_disabled_opt_in,be2835295e8500bb28f0314eba70bd0deaff1250b187260f7b6d0772bdf111a5,"Uniform random 3-SAT, 20 variables, 91 clauses; SATLIB lists 1000 satisfiable instances. Expected status: sat."
uf20-91_uf20-0103,satlib_random_3sat_uf20,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/RND3SAT/uf20-91.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,data_external/satlib/uf20-91/uf20-0103.cnf,2a3799c78e80ca53b40032b5bd1decb871ac56ac8ba61ab0a9dbb9ef14ef9975,tls_verification_disabled_opt_in,be2835295e8500bb28f0314eba70bd0deaff1250b187260f7b6d0772bdf111a5,"Uniform random 3-SAT, 20 variables, 91 clauses; SATLIB lists 1000 satisfiable instances. Expected status: sat."
uf20-91_uf20-0104,satlib_random_3sat_uf20,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/RND3SAT/uf20-91.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,data_external/satlib/uf20-91/uf20-0104.cnf,5b2d871945a5fc53a50d1285490ca87366f5e0ad9de311b314a2afe5fa24ad16,tls_verification_disabled_opt_in,be2835295e8500bb28f0314eba70bd0deaff1250b187260f7b6d0772bdf111a5,"Uniform random 3-SAT, 20 variables, 91 clauses; SATLIB lists 1000 satisfiable instances. Expected status: sat."
uf20-91_uf20-0105,satlib_random_3sat_uf20,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/RND3SAT/uf20-91.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,data_external/satlib/uf20-91/uf20-0105.cnf,a2b31bd39bb420d3530fe68508732ffc0c17c637016e7a67b80a65f64137bbdc,tls_verification_disabled_opt_in,be2835295e8500bb28f0314eba70bd0deaff1250b187260f7b6d0772bdf111a5,"Uniform random 3-SAT, 20 variables, 91 clauses; SATLIB lists 1000 satisfiable instances. Expected status: sat."
uf20-91_uf20-0106,satlib_random_3sat_uf20,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/RND3SAT/uf20-91.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,data_external/satlib/uf20-91/uf20-0106.cnf,f86bb1fde01686641183f66c12f02fab6d72552da97e2a16f41b433bb8f2c3bc,tls_verification_disabled_opt_in,be2835295e8500bb28f0314eba70bd0deaff1250b187260f7b6d0772bdf111a5,"Uniform random 3-SAT, 20 variables, 91 clauses; SATLIB lists 1000 satisfiable instances. Expected status: sat."
