comparison,family,n_pairs,delta_utility_mean,wins,losses,ties
gate_plus_L_vs_frozen_gate_v17,satlib_dimacs_aim,8,0.6875000000000009,4,4,0
gate_plus_L_vs_frozen_gate_v17,satlib_dimacs_dubois,8,-6.496499999999983,3,4,1
gate_plus_L_vs_frozen_gate_v17,satlib_dimacs_pigeonhole,4,-126.9320000000003,1,3,0
gate_plus_L_vs_frozen_gate_v17,satlib_graph_coloring_flat30,8,-1.7645000000000004,4,4,0
gate_plus_L_vs_frozen_gate_v17,satlib_random_3sat_uf20,8,0.07200000000000012,4,3,1
gate_plus_L_vs_frozen_gate_v17,satlib_random_3sat_uuf50,8,-1.8424999999999985,4,4,0
gate_plus_L_vs_score_with_R,satlib_dimacs_aim,8,3.269499999999998,4,4,0
gate_plus_L_vs_score_with_R,satlib_dimacs_dubois,8,50.32600000000003,5,2,1
gate_plus_L_vs_score_with_R,satlib_dimacs_pigeonhole,4,-29.62300000000016,1,3,0
gate_plus_L_vs_score_with_R,satlib_graph_coloring_flat30,8,-1.6880000000000002,4,4,0
gate_plus_L_vs_score_with_R,satlib_random_3sat_uf20,8,0.9075000000000002,4,3,1
gate_plus_L_vs_score_with_R,satlib_random_3sat_uuf50,8,-3.137999999999998,4,4,0
gate_plus_L_vs_moms,satlib_dimacs_aim,8,-24.1665,0,8,0
gate_plus_L_vs_moms,satlib_dimacs_dubois,8,-299.6305,0,7,1
gate_plus_L_vs_moms,satlib_dimacs_pigeonhole,4,-214.8450000000001,1,3,0
gate_plus_L_vs_moms,satlib_graph_coloring_flat30,8,-3.1425,2,6,0
gate_plus_L_vs_moms,satlib_random_3sat_uf20,8,-1.3164999999999996,2,5,1
gate_plus_L_vs_moms,satlib_random_3sat_uuf50,8,-31.563000000000002,0,8,0
gate_plus_L_vs_jeroslow_wang,satlib_dimacs_aim,8,-17.998,0,8,0
gate_plus_L_vs_jeroslow_wang,satlib_dimacs_dubois,8,77.52300000000002,7,0,1
gate_plus_L_vs_jeroslow_wang,satlib_dimacs_pigeonhole,4,-1234.5709999999997,2,2,0
gate_plus_L_vs_jeroslow_wang,satlib_graph_coloring_flat30,8,-1.3435000000000001,3,4,1
gate_plus_L_vs_jeroslow_wang,satlib_random_3sat_uf20,8,-1.0949999999999998,3,5,0
gate_plus_L_vs_jeroslow_wang,satlib_random_3sat_uuf50,8,-27.577499999999997,0,8,0
gate_plus_L_vs_vsids,satlib_dimacs_aim,8,12.292000000000002,7,1,0
gate_plus_L_vs_vsids,satlib_dimacs_dubois,8,17.625,5,2,1
gate_plus_L_vs_vsids,satlib_dimacs_pigeonhole,4,-4244.818000000001,1,3,0
gate_plus_L_vs_vsids,satlib_graph_coloring_flat30,8,-4.986000000000001,0,8,0
gate_plus_L_vs_vsids,satlib_random_3sat_uf20,8,0.8230000000000004,3,5,0
gate_plus_L_vs_vsids,satlib_random_3sat_uuf50,8,-19.6165,2,6,0
gate_plus_L_vs_gate_shuffled_L,satlib_dimacs_aim,8,-4.077000000000003,4,4,0
gate_plus_L_vs_gate_shuffled_L,satlib_dimacs_dubois,8,0.4215,5,3,0
gate_plus_L_vs_gate_shuffled_L,satlib_dimacs_pigeonhole,4,-55.78600000000063,1,3,0
gate_plus_L_vs_gate_shuffled_L,satlib_graph_coloring_flat30,8,-2.4475000000000002,3,5,0
gate_plus_L_vs_gate_shuffled_L,satlib_random_3sat_uf20,8,-0.34399999999999986,5,3,0
gate_plus_L_vs_gate_shuffled_L,satlib_random_3sat_uuf50,8,-3.1489999999999974,3,5,0
