dataset_id,family,split,policy,n_vars,n_clauses,alpha,solved,sat,timeout,runtime_budget_exceeded,decisions,propagations,conflicts,learned_clauses,max_level,gate_value,runtime_s,compute_cost
aim_aim-100-1_6-no-1,satlib_dimacs_aim,test,vsids,100,160,1.6,1,0,0,0,79,276,28,27,27,0.012855279806752431,0.04173183301463723,52.804
aim_aim-100-1_6-no-1,satlib_dimacs_aim,test,moms,100,160,1.6,1,0,0,0,42,117,16,15,24,0.012855279806752431,0.023207457968965173,29.068
aim_aim-100-1_6-no-1,satlib_dimacs_aim,test,jeroslow_wang,100,160,1.6,1,0,0,0,45,99,15,14,19,0.012855279806752431,0.023425167019013315,28.896
aim_aim-100-1_6-no-1,satlib_dimacs_aim,test,score_with_R,100,160,1.6,1,0,0,0,113,149,18,17,34,0.012855279806752431,0.05165137496078387,52.495999999999995
aim_aim-100-1_6-no-1,satlib_dimacs_aim,test,frozen_gate_v17,100,160,1.6,1,0,0,0,111,215,25,24,36,0.012855279806752431,0.0527177500189282,59.16
aim_aim-100-1_6-no-1,satlib_dimacs_aim,test,gate_plus_L,100,160,1.6,1,0,0,0,78,130,18,17,31,0.012855279802995095,0.036103707971051335,41.92
aim_aim-100-1_6-no-1,satlib_dimacs_aim,test,gate_shuffled_L,100,160,1.6,1,0,0,0,109,148,19,18,33,0.012855279802995095,0.048731459013652056,52.291999999999994
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,vsids,100,160,1.6,1,0,0,0,193,386,30,29,35,0.01225869169872339,0.08539500000188127,89.444
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,moms,100,160,1.6,1,0,0,0,73,227,25,24,30,0.01225869169872339,0.033807249972596765,47.808
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,jeroslow_wang,100,160,1.6,1,0,0,0,74,315,36,35,26,0.01225869169872339,0.04248512501362711,59.46
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,score_with_R,100,160,1.6,1,0,0,0,205,377,31,30,38,0.01225869169872339,0.088416957994923,94.008
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,frozen_gate_v17,100,160,1.6,1,0,0,0,158,334,35,34,36,0.01225869169872339,0.07098312501329929,83.736
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,gate_plus_L,100,160,1.6,1,0,0,0,142,185,26,25,28,0.012258691691945331,0.07174049998866394,69.33999999999999
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,gate_shuffled_L,100,160,1.6,1,0,0,0,153,195,20,19,36,0.012258691691810632,0.07379362499341369,66.68
aim_aim-100-1_6-no-3,satlib_dimacs_aim,calibration,vsids,100,157,1.57,1,0,0,0,124,518,47,46,27,0.011462651006492956,0.06691895803669468,86.27199999999999
aim_aim-100-1_6-no-3,satlib_dimacs_aim,calibration,moms,100,157,1.57,1,0,0,0,81,203,25,24,28,0.011462651006492956,0.039859166950918734,50.111999999999995
aim_aim-100-1_6-no-3,satlib_dimacs_aim,calibration,jeroslow_wang,100,157,1.57,1,0,0,0,95,223,26,25,23,0.011462651006492956,0.04704087501158938,55.392
aim_aim-100-1_6-no-3,satlib_dimacs_aim,calibration,score_with_R,100,157,1.57,1,0,0,0,132,385,44,43,32,0.011462651006492956,0.06631862500216812,85.14
aim_aim-100-1_6-no-3,satlib_dimacs_aim,calibration,frozen_gate_v17,100,157,1.57,1,0,0,0,130,472,45,44,33,0.011462651006492956,0.07058470899937674,85.888
aim_aim-100-1_6-no-3,satlib_dimacs_aim,calibration,gate_plus_L,100,157,1.57,1,0,0,0,207,224,23,22,38,0.011462651006458555,0.0933533749775961,85.996
aim_aim-100-1_6-no-3,satlib_dimacs_aim,calibration,gate_shuffled_L,100,157,1.57,1,0,0,0,168,228,27,26,34,0.011462651001134656,0.07934433297486976,78.31200000000001
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,vsids,100,160,1.6,1,0,0,0,102,286,27,26,22,0.01273860091851245,0.04992491699522361,58.74399999999999
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,moms,100,160,1.6,1,0,0,0,48,105,17,16,21,0.01273860091851245,0.026485375012271106,31.82
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,jeroslow_wang,100,160,1.6,1,0,0,0,70,99,17,16,26,0.01273860091851245,0.03556254197610542,38.396
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,score_with_R,100,160,1.6,1,0,0,0,107,176,22,21,30,0.01273860091851245,0.05190995801240206,54.804
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,frozen_gate_v17,100,160,1.6,1,0,0,0,89,259,28,27,28,0.01273860091851245,0.04573108401382342,55.736000000000004
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,gate_plus_L,100,160,1.6,1,0,0,0,125,156,19,18,35,0.012738600912565384,0.057594167010392994,57.124
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,gate_shuffled_L,100,160,1.6,1,0,0,0,124,165,22,21,31,0.01273860090406893,0.06183058297028765,59.85999999999999
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,test,vsids,100,160,1.6,1,1,0,0,84,455,28,28,17,0.013473542054126686,0.03865041700191796,55.02
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,test,moms,100,160,1.6,1,1,0,0,43,245,17,17,20,0.013473542054126686,0.022393207997083664,30.88
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,test,jeroslow_wang,100,160,1.6,1,1,0,0,60,462,26,26,17,0.013473542054126686,0.03218333300901577,45.848
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,test,score_with_R,100,160,1.6,1,1,0,0,106,466,31,31,20,0.013473542054126686,0.04862104100175202,64.664
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,test,frozen_gate_v17,100,160,1.6,1,1,0,0,73,258,16,16,29,0.013473542054126686,0.03284174995496869,38.932
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,test,gate_plus_L,100,160,1.6,1,1,0,0,100,203,17,17,28,0.01347354203886123,0.04580779204843566,47.812
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,test,gate_shuffled_L,100,160,1.6,1,1,0,0,49,164,8,8,16,0.01347354205914668,0.0255278330296278,23.355999999999998
aim_aim-100-1_6-yes1-2,satlib_dimacs_aim,test,vsids,100,160,1.6,1,1,0,0,153,827,44,44,22,0.013517459124507743,0.07780999998794869,93.20800000000001
aim_aim-100-1_6-yes1-2,satlib_dimacs_aim,test,moms,100,160,1.6,1,1,0,0,34,232,11,11,15,0.013517459124507743,0.018327833036892116,22.128
aim_aim-100-1_6-yes1-2,satlib_dimacs_aim,test,jeroslow_wang,100,160,1.6,1,1,0,0,20,144,10,10,11,0.013517459124507743,0.010866250027902424,16.576
aim_aim-100-1_6-yes1-2,satlib_dimacs_aim,test,score_with_R,100,160,1.6,1,1,0,0,120,410,27,27,30,0.013517459124507743,0.053203541960101575,64.64
aim_aim-100-1_6-yes1-2,satlib_dimacs_aim,test,frozen_gate_v17,100,160,1.6,1,1,0,0,119,291,20,20,36,0.013517459124507743,0.04656037496170029,56.864
aim_aim-100-1_6-yes1-2,satlib_dimacs_aim,test,gate_plus_L,100,160,1.6,1,1,0,0,84,260,16,16,31,0.013517459120831457,0.03749254101421684,42.24
aim_aim-100-1_6-yes1-2,satlib_dimacs_aim,test,gate_shuffled_L,100,160,1.6,1,1,0,0,57,198,14,14,23,0.013517459114538397,0.027575624990276992,31.892
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,vsids,100,160,1.6,1,1,0,0,116,531,23,23,22,0.013209298858445092,0.05696279200492427,59.924
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,moms,100,160,1.6,1,1,0,0,19,150,9,9,10,0.013209298858445092,0.010382583015598357,15.299999999999999
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,jeroslow_wang,100,160,1.6,1,1,0,0,59,330,24,24,21,0.013209298858445092,0.027976833982393146,43.02
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,score_with_R,100,160,1.6,1,1,0,0,83,228,20,20,21,0.013209298858445092,0.03718174999812618,45.812
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,frozen_gate_v17,100,160,1.6,1,1,0,0,120,480,33,33,31,0.013209298858445092,0.05700737499864772,70.92
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,gate_plus_L,100,160,1.6,1,1,0,0,109,291,19,19,36,0.013209298851003451,0.04395075002685189,52.864
