step,t,loss,lambda_norm,lambda_star_norm,tracking_error,mean_defect_norm,target_defect_norm,stability,cov_trace,cov_log_kappa,lambda_H,lambda_star_H,mean_d_H,target_d_H,lambda_B,lambda_star_B,mean_d_B,target_d_B,lambda_S,lambda_star_S,mean_d_S,target_d_S,lambda_V,lambda_star_V,mean_d_V,target_d_V,lambda_R,lambda_star_R,mean_d_R,target_d_R
0,0.0,0.029760084720514005,0.068345626393573,3.41728131967865,3.3489356932850773,0.5009423362335974,0.2570992026436488,0.8129572331190842,0.15458158814943954,0.9961894304647732,0.04508169033211004,2.254084516605502,0.23438940404814734,0.12,0.019121710801972086,0.9560855400986042,0.19821532077787934,0.1,0.03997650048009169,1.9988250240045844,0.26709930909692214,0.14,0.014126545224906984,0.7063272612453492,0.22160694936784894,0.11,0.021804727682528585,1.0902363841264293,0.1904306623993986,0.1
1,0.08,0.027456105533648013,0.1336236352192254,3.332256242446234,3.1986328202842857,0.49130534721132674,0.2570992026436488,0.8159099169090658,0.15250999855182315,0.993449889800492,0.08800123502002118,2.1910589247276664,0.2298753274764308,0.12,0.037517190929490685,0.9388957171779021,0.19433167683264618,0.1,0.0781665370212474,1.949478327537877,0.262080754538271,0.14,0.027703288064236338,0.6929636871913747,0.21718885856085343,0.11,0.04273218025619173,1.0681773563656858,0.18685865035673913,0.1
2,0.16,0.025373928734756645,0.19597877542966327,3.2514090664292623,3.0554315090648068,0.482237874948282,0.2570992026436488,0.8187077775256131,0.1505060514333124,0.9907010458513323,0.12887210575680838,2.1315447718593807,0.22562804055138888,0.12,0.05522284295406423,0.922799792158168,0.19067770955813448,0.1,0.11464942532692006,1.9023109523048802,0.2573585101656761,0.14,0.040757415408537175,0.6804096552792781,0.21303211302360264,0.11,0.06280478289278657,1.0463623120859336,0.18349736372831615,0.1
3,0.24,0.023489965797118026,0.2555458628577586,3.174386244331274,2.918843875268013,0.47370306743996704,0.2570992026436488,0.821358881284609,0.14857205160196527,0.9879616839403033,0.16779936643114757,2.075235139473768,0.2216303679206087,0.12,0.07227049904634096,0.9076056475679004,0.1872384735262348,0.1,0.14949966352724986,1.8571613353434104,0.25291346009162696,0.14,0.05331310414145052,0.6685418520542041,0.20911974466948813,0.11,0.08204632318791985,1.0248817976494504,0.18033314793133343,0.1
4,0.32,0.021783329443757,0.3124510461928638,3.1008878593136706,2.7884442521831523,0.4656666607532743,0.2570992026436488,0.8238709249396258,0.14670927776092305,0.9852472713234856,0.20488069162682454,2.0218656262149968,0.21786632037340836,0.12,0.08868828633252385,0.893159863355485,0.18400007851870712,0.1,0.18278754302156663,1.8138936382430892,0.2487278319404073,0.14,0.06539204800314237,0.6572602972260433,0.2054359817139245,0.11,0.10048154311625127,1.0038073196044908,0.17735331833553786,0.1
5,0.4,0.0202355084870289,0.36681285380735207,3.030657827723868,2.663858353800881,0.45809679765638883,0.2570992026436488,0.8262512391523856,0.14491817994762402,0.9825704367798639,0.24020722294454655,1.9712072575129254,0.2143210155921815,0.12,0.10450133262326818,0.8793406008697401,0.18094961650937505,0.1,0.2145796455340354,1.7723926686450062,0.244785101208494,0.14,0.0770138893608356,0.6464841158878037,0.20196616467985581,0.11,0.11813580241200601,0.9831945079039883,0.1745460888548958,0.1
6,0.48,0.018830082563735924,0.41874306284489105,2.9634760088406478,2.544754517117866,0.45096385511493586,0.2570992026436488,0.8285067953656973,0.14319854405109594,0.9799413856509361,0.2738642916616013,1.9230606587972836,0.2109806019400035,0.12,0.11973234073021402,0.8660517379705605,0.178075091729239,0.1,0.24493924895596586,1.7325598166305574,0.24106990068713885,0.14,0.08819657299695675,0.6361480711668931,0.19869666649735643,0.11,0.13503480236277443,0.9630857999504273,0.17190050504961613,0.1
7,0.56,0.017552472046070827,0.46834742353522374,2.8991518164441277,2.430836589726184,0.4442402814759916,0.2570992026436488,0.8306442151857886,0.1415496284972552,0.9773682583905473,0.3059320308374198,1.8772512504525267,0.2078321858754163,0.12,0.13440205453515763,0.8532180309773949,0.17536535431789957,0.1,0.2739266598720703,1.6943097947611885,0.2375679352801297,0.14,0.09895663579390544,0.6261997128443911,0.19561481707958694,0.11,0.15120436045361332,0.9435127069047188,0.16940638172963857,0.1
8,0.64,0.016389718873699617,0.5157262651548116,2.8375190225884084,2.32183812873478,0.4379004437184061,0.2570992026436488,0.8326697815586201,0.13997027749373767,0.9748574398384973,0.3364858956939881,1.8336252736658358,0.2048637633420132,0.12,0.14852963589885607,0.8407811227200789,0.17281003784152105,0.1,0.3015994870437472,1.6575680184559154,0.23426590233416206,0.14,0.10930944363130601,0.6165970276639341,0.192708832553204,0.11,0.16667022762707712,0.924497719126803,0.1670542449591707,0.1
9,0.72,0.015330294505055318,0.5609750049378409,2.778431514976916,2.2175176519387527,0.4319204848251199,0.2570992026436488,0.8345894511715936,0.1384590145945056,0.9724138256250288,0.3655971076877924,1.792046495384203,0.20206415529903654,0.12,0.1621329681792857,0.8286962499203389,0.17039950079281097,0.1,0.3280128672889509,1.622268499303932,0.23115141744481374,0.14,0.11926938476325313,0.6073065002286618,0.18996774917214515,0.11,0.1814579411207519,0.9060559023108158,0.1648352782996915,0.1
10,0.8,0.01436393161345529,0.6041845772124341,2.7217598224618187,2.1176547385872024,0.42627819110357856,0.2570992026436488,0.8364088676325273,0.13701411978455375,0.9700410513637817,0.3933330349497593,1.752393470786138,0.19942294742636224,0.12,0.17522889941436387,0.816929529933193,0.1681247720692966,0.1,0.35321965296476976,1.5883521510798944,0.22821294559346542,0.14,0.1288500272949199,0.5983015113465913,0.187381361837299,0.11,0.19559270690431166,0.8881962302987404,0.16274127308867195,0.1
11,0.88,0.01348147654882149,0.6454417968373882,2.6673882632106496,2.0220468199581796,0.4209528691222687,0.2570992026436488,0.8381333750758955,0.1356336927953428,0.9677416896054332,0.41975751955500656,1.7145572652121235,0.196930433942151,0.12,0.18783343599096639,0.8054557282444893,0.16597750034213016,0.1,0.3772705684853552,1.5557654289940395,0.2254397373984704,0.14,0.13806424704335976,0.5895610147169129,0.18494016707099054,0.11,0.20909930666699797,0.8709226950386275,0.16076458252757975,0.1
12,0.96,0.012674759945335312,0.6848296684555103,2.6152126004668235,1.9305065327438995,0.4159252318274646,0.2570992026436488,0.8397680319257934,0.13431570493789355,0.9655174189050106,0.44493116028386914,1.6784395559981353,0.19457756540537177,0.12,0.1999618957775696,0.7942564253211271,0.1639499071704539,0.1,0.40021434189020677,1.5244592387279345,0.22282177021848243,0.14,0.14692433098062258,0.5810684439065005,0.18263531024662757,0.11,0.22200202511161846,0.8542352288980224,0.15889807934102887,0.1
13,1.04,0.011936483178695367,0.7224276510183636,2.565138114092576,1.8428595335482758,0.4111772933409063,0.2570992026436488,0.8413176246090909,0.13305804137692664,0.9633691688016476,0.46891155806441115,1.6439510493109695,0.1923559003314091,0.12,0.21162902816932233,0.7833185153652069,0.16203474367943024,0.1,0.42209781633804244,1.4943880642819904,0.22034969382020048,0.14,0.15544206056779641,0.572810810339314,0.18045853684399799,0.11,0.23432459400310246,0.8381304696858188,0.15713511676597114,0.1
