step,t,baseline_energy,maat_energy,baseline_residual_rms,maat_residual_rms,baseline_distance_to_kink,maat_distance_to_kink,baseline_roughness,maat_roughness,mean_lambda_H,mean_lambda_S,mean_lambda_R,max_lambda_H,max_lambda_S,max_lambda_R,maat_stability,mean_defect_H,mean_defect_S,mean_defect_R
0,0.0,10.049208258575444,9.999325939442034,10.543383981134758,10.470792476286872,0.09481469172587863,0.09461956040614343,10.43946310505132,10.367256190864472,0.007273887850824529,0.01309093532886003,0.00988626229139544,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.8998849379408894,0.11630251236833447,0.11654684642870976,0.10098195320123739
20,0.04,1.2950496749781288,1.2664509584240182,0.43046477813013573,0.3933268300525134,0.04787799962321055,0.047141334736255265,0.3877709228719394,0.3516544737575687,0.016886676667175624,0.03745230735606583,0.3071227190642451,0.12221548143195837,0.12885931190169697,0.5669238058312652,0.9587279518676168,9.923806420747423e-05,8.184610870367513e-05,0.04304875856804288
40,0.08,1.1052961617026105,1.0876036183210038,0.19213026941624814,0.17120111433094204,0.04053230900284743,0.03934163590211349,0.16164934149871313,0.14377044511680187,0.015058030756161064,0.033396624283868706,0.49409070379596076,0.10726673636283529,0.11489349091538185,1.0469783919377693,0.9630637795072962,1.7444252008342712e-05,1.2552022852919672e-05,0.03835282904274565
60,0.12,1.0473759061958294,1.0325945383778097,0.12810649275435493,0.11310304441940541,0.03588492499008971,0.0342209080361472,0.11081389210167478,0.10119792063109212,0.01342740757832113,0.029780128176194933,0.5652621459938724,0.09505008853157096,0.1024130835594204,1.4750431326815168,0.9654438108229645,7.4457066222686986e-06,6.0161402097164666e-06,0.03579306096289439
80,0.16,1.017425208245292,1.0040199504127896,0.09798048702130163,0.08556587237416202,0.03235560291055805,0.030266660694337644,0.09316296962155103,0.0877567590482706,0.011973363396178948,0.026555259796690593,0.5870449487844704,0.08426665872588965,0.0912527203335963,1.8567511852006178,0.9670417050532326,4.226594959864739e-06,4.4666375404016875e-06,0.03408156522572425
100,0.2,0.9986922229238979,0.9862433892062568,0.07967521981552879,0.06840300297361862,0.0295053631459853,0.02707534689864178,0.08581999054475489,0.0826149287201303,0.010676776598963026,0.023679610064050245,0.5881941542162243,0.0747250303568748,0.0812743307068917,2.197121427348717,0.9681816204055093,2.690798368653437e-06,3.937863737174929e-06,0.03286406075459683
120,0.24,0.9858475320112724,0.9743328316170704,0.06700070104559634,0.05628013513312729,0.027134894043046576,0.02447349058772038,0.08252878821497774,0.08053395630739688,0.00952059624119846,0.021115362345479633,0.5756096223797507,0.06628859361383564,0.07235849390548561,2.500630868877893,0.9690079224469169,1.8175049743863173e-06,3.7333910189239545e-06,0.03198330667392554
140,0.28,0.9765574520105699,0.966040447435047,0.057538962921550044,0.04715620566426222,0.02513065840398156,0.022351426935731396,0.08103188578520848,0.07973315263445391,0.008489617811870836,0.018828795143792917,0.5518872538945132,0.05882767951597143,0.06439872296107269,2.77119613725301,0.969608226535377,1.274002457139266e-06,3.6557164747274737e-06,0.031344384910201806
160,0.32,0.9696003498556367,0.9601782956839927,0.0501284281691188,0.04009141690630272,0.023419186762674685,0.020640861827010124,0.08037940216569252,0.07949805889970508,0.007570283285384012,0.016789838638161747,0.5067688383250659,0.05222550299620071,0.057298467095653824,2.730485333418614,0.970038378453988,9.195501172572917e-07,3.6324744896588337e-06,0.030887047576162743
180,0.36,0.9642614795945887,0.9559897644754027,0.04412883911599997,0.03454064821500654,0.021948879919675656,0.019276167385375485,0.08013319665384787,0.07951156818616689,0.006750502824853958,0.0149716792467435,0.4603468265308135,0.046379081166894834,0.05096968087629467,2.528285627411023,0.9703417407718726,6.817345968214364e-07,3.632985748946927e-06,0.03056475670575114
