mu,pi0,stable,background_safe,fail_reason,min_P_X,min_D,min_c_s2,max_c_s2,max_omega_maat,final_a,final_lambda,final_X,final_w_maat,final_omega_maat
0.001,0.03,True,True,,1.0000175069248658,1.0000175069248658,1.0,1.0000000449572823,0.00014250988492095382,1001.8616692292056,0.017506942372687524,3.2443088233244665e-25,-0.8988556867248624,2.3250089626490148e-05
0.001,0.14740740740740743,True,True,,1.0000175069603943,1.0000175069603943,1.0,1.0000010631676053,0.00014251105763216817,1001.877108864863,0.01750697790129367,7.832090366618157e-24,-0.8988556867361066,2.3250183991764342e-05
0.001,0.26481481481481484,True,True,,1.0000175070422186,1.0000175070422186,1.0,1.0000032726613077,0.00014251377057917754,1001.9129735459395,0.0175070597256502,2.5271402582668898e-23,-0.8988556867619998,2.3250401320969027e-05
0.001,0.38222222222222224,True,True,,1.0000175071686537,1.0000175071686537,1.0,1.000006343763301,0.00014251799611535786,1001.9692377261413,0.01750718616081394,5.2629451561170395e-23,-0.8988556868020037,2.3250737140499705e-05
0.001,0.49962962962962965,True,True,,1.00001750733721,1.00001750733721,1.0,1.0000098648218434,0.00014252369328262353,1002.0458614569975,0.017507354717185883,8.988603476278065e-23,-0.8988556868553224,2.325118484030813e-05
0.001,0.6170370370370372,True,True,,1.0000175075447686,1.0000175075447686,1.0,1.0000134343929938,0.00014253081057066355,1002.1427905654591,0.01750756227618419,1.3701374702149968e-22,-0.8988556869209596,2.325173614027281e-05
0.001,0.7344444444444446,True,True,,1.0000175077877764,1.0000175077877764,1.0,1.0000167291113853,0.0001425392889652213,1002.2599568675815,0.01750780528432405,1.9397808153416294e-22,-0.8988556869977796,2.3252381605436216e-05
0.001,0.851851851851852,True,True,,1.000017508062433,1.0000171532430837,1.0,1.0000195348469185,0.0001425490648972518,1002.397278407508,0.017508079940966318,2.6073754294823813e-22,-0.8988556870845675,2.3253111144435953e-05
0.001,0.9692592592592594,True,True,,1.000017508364854,1.0000122740446555,1.0,1.0000217454517843,0.00014256007281919218,1002.5546597178375,0.01750838236226334,3.372437708307008e-22,-0.8988556871800826,2.3253914444747977e-05
0.001,1.086666666666667,True,True,,1.0000175086912035,1.0000080961554272,1.0,1.0000233417981075,0.0001425722472674338,1002.7319921024217,0.017508708712279747,4.2344167413885097e-22,-0.8988556872830995,2.3254781320790826e-05
0.001,1.2040740740740743,True,True,,1.0000175090377903,1.0000046231066129,1.0,1.0000243639656703,0.00014258552438260296,1002.9291539446953,0.017509055299438418,5.192695782572261e-22,-0.8988556873924382,2.325570196998072e-05
0.001,1.3214814814814817,True,True,,1.0000175094011319,1.000001807496587,1.0,1.0000248853173903,0.00014259984293437118,1003.1460110443737,0.017509418641234408,6.246593860131348e-22,-0.898855687506987,2.32566671445499e-05
0.001,1.438888888888889,True,True,,1.0000175097779929,0.9999995750313118,1.0,1.000024992531921,0.00014261514493555497,1003.3824169838942,0.017509795502598815,7.395367533970375e-22,-0.8988556876257121,2.3257668253415695e-05
0.001,1.5562962962962965,True,True,,1.0000175101654039,0.9999978415923928,1.0,1.0000247723153575,0.0001426313759404982,1003.6382135246888,0.017510182913958575,8.638212799433384e-22,-0.8988556877476653,2.3258697410150084e-05
0.001,1.673703703703704,True,True,,1.0000175105606641,0.9999965240144818,1.0,1.0000243037815242,0.00014264848511614563,1003.9132310316525,0.017510578174630257,9.974267131022915e-22,-0.8988556878719849,2.3259747442016692e-05
0.001,1.7911111111111113,True,True,,1.0000175109613354,0.9999955460525755,1.0,1.0000236801184104,0.00014266642515971376,1004.207288923653,0.017510978846269676,1.1402611655166711e-21,-0.8988556879978926,2.3260811872609503e-05
0.001,1.9085185185185187,True,True,,1.0000175113652288,0.9999948410639129,1.0,1.0000242775824988,0.0001426851521204217,1004.5201961472749,0.017511382740054295,1.292227343879576e-21,-0.8988556881246899,2.3261884887853906e-05
0.001,2.025925925925926,True,True,,1.000016381641157,0.9999943526510497,1.0,1.0000246810502609,0.00014270462516750496,1004.8517516706895,0.017511787900309893,1.4532227879404215e-21,-0.8988556882517532,2.3262961292567586e-05
0.001,2.1433333333333335,True,True,,1.0000151655328893,0.9999940341632859,1.0,1.0000249118872893,0.00014272480633408056,1005.2017449946246,0.01751219258648345,1.6231401181947641e-21,-0.8988556883785277,2.326403646263e-05
0.001,2.260740740740741,True,True,,1.000014062771188,0.999993847646403,1.0,1.0000249918995499,0.00014274566025662498,1005.5699566772714,0.017512595254741976,1.801867290807154e-21,-0.8988556885045216,2.3265106296157235e-05
0.001,2.3781481481481483,True,True,,1.0000130623028818,0.9999937625996309,1.0,1.0000249423394014,0.00014276715392256263,1005.9561588701805,0.017512994540012677,1.989287858351617e-21,-0.8988556886293008,2.3266167165846663e-05
