step,t,a,phi,pi,lambda,lambda_dot,H,X,U,U_X,U_XX,P_X,P_XX,D,c_s2,rho_phi,p_phi,rho_maat,p_maat,rho_total,omega_maat,w_maat,rho_m,rho_r,rho_lambda_cosmo
0,0.0,0.3,0.0,2.3781481481481483,0.05,0.0,3.581743697294358,2.8277943072702336,1.3422859106265588,0.26124605763716846,-0.06825002512107804,1.363466336983924,-0.09495487455076412,0.826440629579504,1.6498055494653747,2.8277943072702336,2.8277943072702336,0.1884990616829663,1.8671170155320425,38.486663739323575,0.004897776096148553,9.905179361965834,33.333333333333336,0.037037037037037035,2.1
1,0.01,0.31063489666594474,0.021665639279949356,1.9549734130677816,0.051682091639284264,0.3183242418412002,3.3897593105006854,1.9109605229009454,1.068481192361582,0.3435282207301782,-0.1180123254924835,1.494022747013033,-0.16971174332424008,0.8453978634823912,1.7672421608197642,1.9109605229009454,1.9109605229009454,0.4026184211267631,1.5868278357309862,34.47140454937825,0.011679779991268879,3.9412698288620494,30.025605995000618,0.03221961034992795,2.1
2,0.02,0.32106904392214614,0.0391461823558535,1.5473620664724017,0.056020873520300773,0.5331371076160762,3.2213875255599818,1.1971646823788706,0.7871665512725042,0.45513101992766763,-0.20714515556043886,1.7094646436270957,-0.3229007857827889,0.9363338103240152,1.8257000065345725,1.1971646823788706,1.1971646823788706,0.614237984859753,1.368689220151224,31.13201276950039,0.019730108342417025,2.2282718651203774,27.19237902077993,0.02823108148183191,2.1
3,0.03,0.3313285950766802,0.05282324158888972,1.2020404893229426,0.06205063839273696,0.6598555739583493,3.0724007249467515,0.7224506689858696,0.5437473618504499,0.5805671509542091,-0.33705937789938933,2.0024048466782056,-0.5819653307448968,1.1615223616317385,1.7239485978256779,0.7224506689858696,0.7224506689858696,0.7278311977305554,1.1559542849080426,28.31893864395997,0.025701217368391434,1.5882175544445118,24.743763299221122,0.024893478022419212,2.1
4,0.04,0.34143490746440497,0.06348701518646793,0.9450864196665221,0.06900530490494211,0.7223907831736989,2.939268013568408,0.44659417031904275,0.3692114989122079,0.69127788147202,-0.47786649196620695,2.327332061354543,-0.9175579500433402,1.5077799985160487,1.5435488358017047,0.44659417031904275,0.44659417031904275,0.7382739349350056,0.9691320300362982,25.91788936675912,0.028485110206615656,1.3126997773822482,22.610946827663906,0.022074433841166953,2.1
5,0.05,0.351405004748801,0.07197248480055102,0.7623818525781754,0.07636505800996235,0.7443293150732361,2.819190405839036,0.2906130445702654,0.25511704322468265,0.7748245793700234,-0.6003546784430924,2.6464271519435463,-1.2756955183180978,1.9049596348974158,1.3892300411321101,0.2906130445702654,0.2906130445702654,0.6927425156242368,0.8182300282320856,23.843503633124605,0.02905372156220547,1.1811459666146964,20.74047421708779,0.019673855842315,2.1
6,0.06,0.36125257093537033,0.07890252903218378,0.6304728201113079,0.08381340471525707,0.7423164473206054,2.7100839025783823,0.1987479884495528,0.18127747042633538,0.8342026938846718,-0.6958958028878313,2.9454922969794435,-1.6229388060520593,2.300380650820312,1.2804369120080565,0.1987479884495528,0.1987479884495528,0.6271370372354755,0.6972220318647384,22.033664277043428,0.028462675538216357,1.1117538758964216,19.090164461414265,0.01761478994413355,2.1
7,0.07,0.37098898803503894,0.08469282882286502,0.5321473357395404,0.09116641061688699,0.7265765897062021,2.610377495170534,0.1415903934673456,0.13242223058229918,0.8759699311883828,-0.7673250722840426,3.2221250711764173,-1.9465191899354555,2.6709082351870173,1.2063780510043633,0.1415903934673456,0.1415903934673456,0.5585536275344243,0.598623039497715,20.442212001878374,0.027323541477952604,1.0717378063412921,17.62623082542285,0.015837155453751726,2.1
8,0.08,0.38062403712682064,0.08962061545152786,0.4565518794787143,0.09831989884593531,0.7031934070141443,2.518841415639468,0.10421980932777322,0.09913892646886992,0.905615790745675,-0.8201417716774956,3.4775923647953793,-2.2437517237688716,3.0099056111352707,1.1553825315750375,0.10421980932777322,0.10421980932777322,0.4939057696814067,0.5170036056885957,19.033686231421918,0.025949033922080648,1.046765673586053,16.32126722404945,0.014293428363284847,2.1
9,0.09,0.3901663184197089,0.09387660996409397,0.3968893370469426,0.10521716813709368,0.6758009933922968,2.4344810061594986,0.07876057293078081,0.07581268570156142,0.9269887557382542,-0.8593100072406683,3.713972979624398,-2.5158278634293674,3.31767689178656,1.1194498743439822,0.07876057293078081,0.07876057293078081,0.4355769712784404,0.44863814497932664,17.780093308054095,0.024498013802949564,1.0299859142290075,15.152810164793538,0.012945599051337029,2.1
10,0.1,0.3996235131232658,0.09759667446184858,0.3487745598881614,0.11183001703410364,0.6465929948446179,2.3564727415130204,0.06082184681259035,0.05904387407302896,0.9426643523452463,-0.8886179665091871,3.933323217114412,-2.7651450973206417,3.596960754066769,1.0935129644290245,0.06082184681259035,0.06082184681259035,0.3840240594486795,0.39087871225974746,16.65889134448167,0.023052197862848126,1.0178495400025425,14.102282464653573,0.011762973566826181,2.1
