z,a,D_LCDM,f_LCDM,fsigma8_LCDM,C_hat_proj,C_env_void,mu_void,eta_slip_void,Sigma_lens_void,D_void,fsigma8_void,C_env_sheet,mu_sheet,eta_slip_sheet,Sigma_lens_sheet,D_sheet,fsigma8_sheet,C_env_field,mu_field,eta_slip_field,Sigma_lens_field,D_field,fsigma8_field,C_env_filament,mu_filament,eta_slip_filament,Sigma_lens_filament,D_filament,fsigma8_filament,C_env_cluster,mu_cluster,eta_slip_cluster,Sigma_lens_cluster,D_cluster,fsigma8_cluster,C_env_local_dense,mu_local_dense,eta_slip_local_dense,Sigma_lens_local_dense,D_local_dense,fsigma8_local_dense
2.997329158161810891e+00,2.501670391486735534e-01,3.156115463165725110e-01,9.818961035021968042e-01,2.513270732618705372e-01,9.983075324293771979e-01,9.958179874607254733e-01,1.019916359749214463e+00,1.029874539623821805e+00,1.035151125600370259e+00,3.132010629151882330e-01,2.523795936345807345e-01,9.763398850165059262e-01,1.019526797700330167e+00,1.029290196550495251e+00,1.034457867846900081e+00,3.132477787238941436e-01,2.523593639112813314e-01,9.599110888744010195e-01,1.019198221777487978e+00,1.028797332666232078e+00,1.033873316900167261e+00,3.132871944345760884e-01,2.523422902114167421e-01,6.136769010516914813e-01,1.012273538021033925e+00,1.018410307031550666e+00,1.021591671338474505e+00,3.141207141483882137e-01,2.519801224075258750e-01,1.552506291649617953e-01,1.003105012583299205e+00,1.004657518874948918e+00,1.005441002848130649e+00,3.152327460700263817e-01,2.514936435801378711e-01,2.103774862998966004e-04,1.000004207549725965e+00,1.000006311324588948e+00,1.000007363225298151e+00,3.156110322524282030e-01,2.513272996064142562e-01
2.990252558785710502e+00,2.506107032744598895e-01,3.161611060124889239e-01,9.818020442288484251e-01,2.517405799730481064e-01,9.938315728944311367e-01,9.913531899196320607e-01,1.019827063798392608e+00,1.029740595697588912e+00,1.034992195991336184e+00,3.137529297759535374e-01,2.528000343634519975e-01,9.719624184786612719e-01,1.019439248369573114e+00,1.029158872554359894e+00,1.034302097929633568e+00,3.137996012384659528e-01,2.527796696575391189e-01,9.556072816292606742e-01,1.019112145632585120e+00,1.028668218448877791e+00,1.033720210440034926e+00,3.138389795214275857e-01,2.527624820866995470e-01,6.109254513356363603e-01,1.012218509026712621e+00,1.018327763540069153e+00,1.021494359768874149e+00,3.146717053298028755e-01,2.523979102158427912e-01,1.545545555490227541e-01,1.003091091110980493e+00,1.004636636666470739e+00,1.005416575577408045e+00,3.157826708814521766e-01,2.519082357729317545e-01,2.094342487852496586e-04,1.000004188684975759e+00,1.000006283027463638e+00,1.000007330211866385e+00,3.161605924444795823e-01,2.517408077896267637e-01
2.983188487339323292e+00,2.510551542259494284e-01,3.167115697133279228e-01,9.817075089005368183e-01,2.521546003021756799e-01,9.893756352627565143e-01,9.869083643518768989e-01,1.019738167287037589e+00,1.029607250930556273e+00,1.034833989188204129e+00,3.143057157484446251e-01,2.532209494861127896e-01,9.676045332643096186e-01,1.019352090665286203e+00,1.029028135997929194e+00,1.034147036224088989e+00,3.143523425706770125e-01,2.532004505551775364e-01,9.513227262141888962e-01,1.019026454524283753e+00,1.028539681786425630e+00,1.033567799896320194e+00,3.143916831778280074e-01,2.531831497526488284e-01,6.081863094297035310e-01,1.012163726188594071e+00,1.018245589282891217e+00,1.021397488006132948e+00,3.152236098430750144e-01,2.528161873508795732e-01,1.538615956159710141e-01,1.003077231912319345e+00,1.004615847868479239e+00,1.005392257863740646e+00,3.163335020626407146e-01,2.523233354018974417e-01,2.084952305693101200e-04,1.000004169904611384e+00,1.000006254856917076e+00,1.000007297346110935e+00,3.167110566446606490e-01,2.521548295823957120e-01
2.976136921644053412e+00,2.515003933985552886e-01,3.172629385406730562e-01,9.816124952387070834e-01,2.525691337103641576e-01,9.849396260033606021e-01,9.824834174597113501e-01,1.019649668349194238e+00,1.029474502523791246e+00,1.034676501710764640e+00,3.148594218687200685e-01,2.536423386222846355e-01,9.632661379005972302e-01,1.019265322758011960e+00,1.028897984137017829e+00,1.033992679322248698e+00,3.149060037582377958e-01,2.536217062208712125e-01,9.470573326955389337e-01,1.018941146653910668e+00,1.028411719980866224e+00,1.033416081921767482e+00,3.149453064428817117e-01,2.536042928233673832e-01,6.054594178387745496e-01,1.012109188356775435e+00,1.018163782535163264e+00,1.021301053956352067e+00,3.157764287568232131e-01,2.532349533721779400e-01,1.531717348204435225e-01,1.003063434696408907e+00,1.004595152044613249e+00,1.005368049192820079e+00,3.168852407216966593e-01,2.527389419532576897e-01,2.075604119419040619e-04,1.000004151208238934e+00,1.000006226812358179e+00,1.000007264627342352e+00,3.172624259745363551e-01,2.525693644458660292e-01
2.969097839560571828e+00,2.519464221901651091e-01,3.178152136149192675e-01,9.815170009552512953e-01,2.529841796487924399e-01,9.805234519419934180e-01,9.780782563012403452e-01,1.019561565126024805e+00,1.029342347689037318e+00,1.034519730093178325e+00,3.154140491719958361e-01,2.540642013810900934e-01,9.589471412635632852e-01,1.019178942825271328e+00,1.028768414237906992e+00,1.033839023830146031e+00,3.154605858380095107e-01,2.540434362607085772e-01,9.428110114826858679e-01,1.018856220229653609e+00,1.028284330344480635e+00,1.033265053182905957e+00,3.154998503548381295e-01,2.540259109023829120e-01,6.027447192870269976e-01,1.012054894385740589e+00,1.018082341578610883e+00,1.021205055534034623e+00,3.163301631386924440e-01,2.536542078289346636e-01,1.524849586725557093e-01,1.003049699173451215e+00,1.004574548760176711e+00,1.005343949052325936e+00,3.174378879655910812e-01,2.531550549031983954e-01,2.066297732680353271e-04,1.000004132595465389e+00,1.000006198893198084e+00,1.000007232054873185e+00,3.178147015544836584e-01,2.529844118312505885e-01
2.962071218988742149e+00,2.523932420011457123e-01,3.183683960552517456e-01,9.814210237524817471e-01,2.533997375586414247e-01,9.761270202588969713e-01,9.736927882881766250e-01,1.019473855765763437e+00,1.029210783648645267e+00,1.034363670883875486e+00,3.159695986926223110e-01,2.544865373609883630e-01,9.546474525759384155e-01,1.019092949051518815e+00,1.028639423577278222e+00,1.033686066367770939e+00,3.160160898459811740e-01,2.544656402701275244e-01,9.385836733258623443e-01,1.018771673466517313e+00,1.028157510199775970e+00,1.033114710359955390e+00,3.160553159510690602e-01,2.544480035825832376e-01,6.000421567165508119e-01,1.012000843134331030e+00,1.018001264701496433e+00,1.021109490662030161e+00,3.168848140553314208e-01,2.540739502599362321e-01,1.518012527375513787e-01,1.003036025054750979e+00,1.004554037582126469e+00,1.005319956931914005e+00,3.179914449001397525e-01,2.535716737178024816e-01,2.057032949874114294e-04,1.000004114065899730e+00,1.000006171098849705e+00,1.000007199628018650e+00,3.183678845036695404e-01,2.533999711797640941e-01
2.955057037867552694e+00,2.528408542343474896e-01,3.189224869796236650e-01,9.813245613231057485e-01,2.538158068710273940e-01,9.717502384865663867e-01,9.693269211836074151e-01,1.019386538423672217e+00,1.029079807635508326e+00,1.034208320645465751e+00,3.165260714640608652e-01,2.549093461497096147e-01,9.503669814049550135e-01,1.019007339628099196e+00,1.028511009442148572e+00,1.033533803568976728e+00,3.165725168172461856e-01,2.548883178338498534e-01,9.343752293140060727e-01,1.018687504586280212e+00,1.028031256879420097e+00,1.032965050146737118e+00,3.166117042680450244e-01,2.548705704461509680e-01,5.973516732859719403e-01,1.011947033465719459e+00,1.017920550198579077e+00,1.021014357271482265e+00,3.174403825723697281e-01,2.544941801934934578e-01,1.511206026354545706e-01,1.003022412052709145e+00,1.004533618079063606e+00,1.005296072323203393e+00,3.185459126299806654e-01,2.539887978529836166e-01,2.047809576139716003e-04,1.000004095619152267e+00,1.000006143428728400e+00,1.000007167346097070e+00,3.189219759400290788e-01,2.538160419225566344e-01
2.948055274175046314e+00,2.532892602951086758e-01,3.194774875047344254e-01,9.812276113501993136e-01,2.542323870069357339e-01,9.673930145075128051e-01,9.649805630997634331e-01,1.019299611261995198e+00,1.028949416892992907e+00,1.034053675954639706e+00,3.170834685188603230e-01,2.553326273241897648e-01,9.461056376601593154e-01,1.018922112753203102e+00,1.028383169129804875e+00,1.033382232081389462e+00,3.171298677859788473e-01,2.553114685258157657e-01,9.301855908726084365e-01,1.018603711817452240e+00,1.027905567726178360e+00,1.032816069250581670e+00,3.171690163413121155e-01,2.552936110644982159e-01,5.946732123690772198e-01,1.011893464247381580e+00,1.017840196371072370e+00,1.020919653301770591e+00,3.179968697543950062e-01,2.549148971473751968e-01,1.504429940407217003e-01,1.003008859880814452e+00,1.004513289821221678e+00,1.005272294719761872e+00,3.191012922585520495e-01,2.544064267544199898e-01,2.038627417354153782e-04,1.000004077254834645e+00,1.000006115882251967e+00,1.000007135208428766e+00,3.194769769802435766e-01,2.542326234806471241e-01
2.941065905928253343e+00,2.537384615912599006e-01,3.200333987460069474e-01,9.811301715071822915e-01,2.546494773771536546e-01,9.630552565520419384e-01,9.606536224958024395e-01,1.019213072449915991e+00,1.028819608674873987e+00,1.033899733402077192e+00,3.176417908886333685e-01,2.557563804505046390e-01,9.418633315912391391e-01,1.018837266631824834e+00,1.028255899947737140e+00,1.033231348566312269e+00,3.176881437854107149e-01,2.557350919091183061e-01,9.260146697615787570e-01,1.018520293395231535e+00,1.027780440092847414e+00,1.032667764392239285e+00,3.177272532054679077e-01,2.557171249982002625e-01,5.920067175534488024e-01,1.011840134351069009e+00,1.017760201526603403e+00,1.020825376700459142e+00,3.185542766649295809e-01,2.553361006287422907e-01,1.497684126818959738e-01,1.002995368253637887e+00,1.004493052380456941e+00,1.005248623617097437e+00,3.196575848880697235e-01,2.548245598574872539e-01,2.029486280127345578e-04,1.000004058972560284e+00,1.000006088458840425e+00,1.000007103214336723e+00,3.200328887397181354e-01,2.546497152648561912e-01
2.934088911183120985e+00,2.541884595331284080e-01,3.205902218175658014e-01,9.810322394577926097e-01,2.550670773822031889e-01,9.587368731960340673e-01,9.563460081755951192e-01,1.019126920163511807e+00,1.028690380245267821e+00,1.033746489592351825e+00,3.182010396040327871e-01,2.561806050838036919e-01,9.376399737858523986e-01,1.018752799475717064e+00,1.028129199213575484e+00,1.033081149698636958e+00,3.182473458478070061e-01,2.561591875359367498e-01,9.218623780731095563e-01,1.018437247561462256e+00,1.027655871342193272e+00,1.032520132305790872e+00,3.182864158941383081e-01,2.561411117969297768e-01,5.893521326390996906e-01,1.011787042652781965e+00,1.017680563979173058e+00,1.020731525423242303e+00,3.191126043664074263e-01,2.557577901340807314e-01,1.490968443412622746e-01,1.002981936886825354e+00,1.004472905330237920e+00,1.005225058512642100e+00,3.202147916195045019e-01,2.552431965871917452e-01,2.020385971797451947e-04,1.000004040771943492e+00,1.000006061157915349e+00,1.000007071363147038e+00,3.205897123325595066e-01,2.550673166757391197e-01
