Delta,Sigma_env,S_env,max_delta_mu_pct,max_delta_slip_pct,max_delta_Sigma_lens_pct
0.05,0,1,1.996615065,2.994922597,3.523974901
0.05758683333,0,1,1.996615065,2.994922597,3.523974901
0.06632486747,0,1,1.996615065,2.994922597,3.523974901
0.07638878177,0,1,1.996615065,2.994922597,3.523974901
0.08797976089,0,1,1.996615065,2.994922597,3.523974901
0.1013295165,0,1,1.996615065,2.994922597,3.523974901
0.1167049196,0,1,1.996615065,2.994922597,3.523974901
0.1344133351,0,1,1.996615065,2.994922597,3.523974901
0.1548087665,0,1,1.996615065,2.994922597,3.523974901
0.1782989327,0,1,1.996615065,2.994922597,3.523974901
0.2053534184,0,1,1.996615065,2.994922597,3.523974901
0.2365130616,0,1,1.996615065,2.994922597,3.523974901
0.2724007652,0,1,1.996615065,2.994922597,3.523974901
0.3137339493,0,1,1.996615065,2.994922597,3.523974901
0.361338893,0,1,1.996615065,2.994922597,3.523974901
0.4161672521,0,1,1.996615065,2.994922597,3.523974901
0.4793150838,0,1,1.996615065,2.994922597,3.523974901
0.5520447568,0,1,1.996615065,2.994922597,3.523974901
0.6358101881,0,1,1.996615065,2.994922597,3.523974901
0.7322859066,0,1,1.996615065,2.994922597,3.523974901
0.8434005291,0,1,1.996615065,2.994922597,3.523974901
0.9713753141,0,1,1.996615065,2.994922597,3.523974901
1.118768566,0,0.9705467085,1.937808179,2.906712269,3.419327568
1.288526779,0,0.9442411536,1.885286112,2.827929168,3.325907974
1.484043538,0,0.9199232948,1.836732709,2.755099064,3.239584144
1.709227357,0,0.896116871,1.789200444,2.683800667,3.155110065
1.968579819,0,0.8722569555,1.741561378,2.612342067,3.070480182
2.267285559,0,0.8480595309,1.693248435,2.539872653,2.984687939
2.611315912,0,0.8233675383,1.643948031,2.465922046,2.897178293
3.007548284,0,0.7980956402,1.593489778,2.390234668,2.807651185
3.463903635,0,0.7722060248,1.541798182,2.312697273,2.715975381
3.989504826,0,0.7456962946,1.488868456,2.233302683,2.622145267
4.59485899,0,0.7185926555,1.434752922,2.152129382,2.526256482
5.292067577,0,0.6909455523,1.379552299,2.069328448,2.428490257
6.095068271,0,0.6628264002,1.323409176,1.985113764,2.329101647
7.019913613,0,0.6343247268,1.266502306,1.899753458,2.228409245
8.085091905,0,0.6055453673,1.209041003,1.813561504,2.126785106
9.311896801,0,0.5766055369,1.151259301,1.726888952,2.024644262
10.72485298,0,0.5476317239,1.09340975,1.640114625,1.922433649
12.35220642,0,0.5187564175,1.035756878,1.553635317,1.820620479
14.22648905,0,0.490114741,0.9785704755,1.467855713,1.719680333
16.38516908,0,0.4618410909,0.9221188796,1.383178319,1.620085313
18.87140002,0,0.4340659016,0.8666625182,1.299993777,1.522292686
21.73488335,0,0.4069126574,0.8124479419,1.218671913,1.426734436
25.0328621,0,0.3804952615,0.7597025712,1.139553857,1.33380811
28.83126515,0,0.354915853,0.708630339,1.062945508,1.24386927
33.20602522,0,0.3302631351,0.659408351,0.9891125264,1.157225759
38.2445968,0,0.3066112444,0.6121846296,0.9182769444,1.074133877
44.04770444,0,0.2840191623,0.5670769382,0.8506154073,0.9947964637
50.73135628,0,0.2625306387,0.5241726283,0.7862589425,0.9193627766
58.42916318,0,0.2421745752,0.4835294051,0.7252941077,0.8479299641
67.29500963,0,0.2229657973,0.4451768699,0.6677653049,0.7805458907
77.50613008,0,0.2049061372,0.4091186804,0.6136780206,0.7172130265
89.2666519,0,0.1879857402,0.3753351609,0.5630027414,0.6578931052
102.8116761,0,0.1721845166,0.3437861998,0.5156792997,0.6025122668
118.4119771,0,0.1574736617,0.3144142853,0.471621428,0.5509664219
136.3794158,0,0.1438171813,0.2871475507,0.4307213261,0.5031266166
157.0731738,0,0.1311733679,0.2619027225,0.3928540837,0.4588442121
180.9069336,0,0.119496189,0.2385878912,0.3578818368,0.417955741
208.3571487,0,0.1087365565,0.2171050467,0.3256575701,0.3802873413
239.9725679,0,0.09884346055,0.1973523424,0.2960285136,0.3456587088
276.3852054,0,0.08976495916,0.1792260697,0.2688391046,0.3138865369
318.3229752,0,0.08144902076,0.1626223419,0.2439335128,0.2847874435
366.6242424,0,0.07384422587,0.1474384938,0.2211577407,0.2581804
422.2545828,0,0.06690033544,0.1335742176,0.2003613264,0.2338886963
486.3260857,0,0.06056873779,0.1209324543,0.1813986815,0.21174148
560.1195848,0,0.05480278694,0.10942007,0.164130105,0.1915749181
645.1102636,0,0.04955804604,0.09894834131,0.148422512,0.1732330281
742.9971446,0,0.04479244944,0.08943327935,0.134149919,0.1565682262
855.7370546,0,0.04046639633,0.08079581653,0.1211937248,0.1414416387
985.5837428,0,0.03654278793,0.0729618809,0.1094428213,0.1277232173
1135.132935,0,0.03298701919,0.06586237946,0.09879356919,0.115291698
1307.374222,0,0.02976693442,0.05943310969,0.08914966453,0.1040344342
1505.750829,0,0.02685275534,0.05361461584,0.08042192375,0.09384713666
1734.22844,0,0.02421698867,0.0483520044,0.0725280066,0.08463354207
1997.374483,0,0.02183431918,0.04359473061,0.06539209591,0.07630503232
2300.449429,0,0.01968149324,0.0392963659,0.05894454884,0.06878022185
2649.511958,0,0.01773719684,0.03541435442,0.05312153163,0.06198452656
3051.54007,0,0.01598193145,0.03190976509,0.04786464764,0.05584972566
3514.570589,0,0.01439789006,0.02874704421,0.04312056631,0.0503135253
4047.859815,0,0.01296883563,0.02589377259,0.03884065888,0.04531913068
4662.06857,0,0.01167998307,0.02332043016,0.03498064524,0.0408148316
5369.475314,0,0.01051788623,0.02100017009,0.03150025514,0.03675360522
6184.2216,0,0.009470330186,0.01890860392,0.02836290588,0.03309273837
7122.594772,0,0.008526229664,0.01702359859,0.02553539789,0.02979347106
8203.35356,0,0.007675533582,0.01532508598,0.02298762897,0.0268206619
9448.103085,0,0.006909135927,0.01379488488,0.02069232731,0.02414247577
10881.72675,0,0.006218792881,0.01241653555,0.01862480333,0.02173009349
12532.8837,0,0.005597046047,0.01117514646,0.01676271968,0.01955744293
14434.58169,0,0.005037151575,0.01005725272,0.01508587908,0.01760095087
16624.837,0,0.004533014915,0.009050685869,0.0135760288,0.01583931463
19147.43435,0,0.004079130914,0.008144454234,0.01221668135,0.0142532924
22052.80222,0,0.003670528929,0.007328633355,0.01099295003,0.01282551119
25399.02092,0,0.003302722655,0.006594265807,0.009891398711,0.0115402913
29252.98369,0,0.002971664323,0.005933269754,0.008899904631,0.0103834861
33691.73392,0,0.002673702964,0.005338355618,0.008007533427,0.009342336066
38804.00532,0,0.002405546433,0.004802950248,0.007204425372,0.008405335947
44691.99574,0,0.002164226883,0.004321127998,0.006481691997,0.007562114037
51473.4102,0,0.001947069423,0.003887548143,0.005831322214,0.006803322598
59283.81388,0,0.001751663695,0.003497398122,0.005246097184,0.006120538453
68279.34219,0,0.001575838104,0.003146342098,0.004719513146,0.005506172917
78639.82197,0,0.001417636489,0.00283047437,0.004245711556,0.004953390235
90572.36643,0,0.001275297015,0.002546277232,0.003819415848,0.004456033782
104315.5154,0,0.001147233075,0.00229058284,0.003435874261,0.004008559321
120144.004,0,0.001032016036,0.002060538765,0.003090808147,0.003605974682
138374.2547,0,0.0009283596479,0.001853576859,0.002780365288,0.003243785271
159370.7028,0,0.0008351059643,0.001667385149,0.002501077724,0.002917944862
183553.082,0,0.0007512126361,0.001499882466,0.002249823699,0.002624811188
211404.8148,0,0.0006757414447,0.001349195548,0.002023793323,0.002361105862
243482.6768,0,0.0006078479589,0.001213638392,0.001820457588,0.002123878233
280427.9265,0,0.0005467722082,0.001091693628,0.001637540442,0.001910472787
322979.1253,0,0.0004918302734,0.0009819957332,0.0014729936,0.001718499766
371986.9012,0,0.0004424067084,0.0008833158989,0.001324973848,0.001545808675
428430.9536,0,0.00039794771,0.0007945483928,0.001191822589,0.001390464422
493439.6384,0,0.0003579549645,0.0007146982746,0.001072047412,0.001250725811
568312.5243,0,0.0003219801046,0.0006428703274,0.0009643054911,0.001125026173
654546.3724,0,0.000289619717,0.0005782590901,0.0008673886352,0.001011955916
753865.0571,0,0.0002605108463,0.0005201398802,0.0007802098204,0.0009102468195
868254.028,0,0.0002343269459,0.0004678607103,0.0007017910654,0.0008187578847
1000000,0,0.0002107742336,0.0004208350102,0.0006312525153,0.0007364625961
0.05,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
0.05758683333,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
0.06632486747,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
0.07638878177,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
