k_hMpc,t,delta_lambda_a
1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.001001001001000992e-02,1.051845496289940658e-04
1.000000000000000021e-02,2.002002002002001985e-02,2.103743761182861357e-04
1.000000000000000021e-02,3.003003003003002977e-02,3.155800722888182528e-04
1.000000000000000021e-02,4.004004004004003969e-02,4.208122320243528648e-04
1.000000000000000021e-02,5.005005005005004615e-02,5.260814513382705429e-04
1.000000000000000021e-02,6.006006006006005954e-02,6.313983294405285966e-04
1.000000000000000021e-02,7.007007007007007293e-02,7.367734698048876213e-04
1.000000000000000021e-02,8.008008008008007939e-02,8.422174812365131264e-04
1.000000000000000021e-02,9.009009009009008584e-02,9.477409789400608256e-04
1.000000000000000021e-02,1.001001001001000923e-01,1.053354585588351516e-03
1.000000000000000021e-02,1.101101101101101126e-01,1.159068932391744836e-03
1.000000000000000021e-02,1.201201201201201191e-01,1.264894660168318146e-03
1.000000000000000021e-02,1.301301301301301394e-01,1.370842420414959293e-03
1.000000000000000021e-02,1.401401401401401459e-01,1.476922876379480358e-03
1.000000000000000021e-02,1.501501501501501523e-01,1.583146704133861146e-03
1.000000000000000021e-02,1.601601601601601588e-01,1.689524593648728673e-03
1.000000000000000021e-02,1.701701701701701652e-01,1.796067249869183220e-03
1.000000000000000021e-02,1.801801801801801717e-01,1.902785393792077876e-03
1.000000000000000021e-02,1.901901901901901781e-01,2.009689763544859550e-03
1.000000000000000021e-02,2.002002002002001846e-01,2.116791115466080519e-03
1.000000000000000021e-02,2.102102102102102188e-01,2.224100225187689798e-03
1.000000000000000021e-02,2.202202202202202252e-01,2.331627888719213417e-03
1.000000000000000021e-02,2.302302302302302317e-01,2.439384923533930490e-03
1.000000000000000021e-02,2.402402402402402382e-01,2.547382169657156324e-03
1.000000000000000021e-02,2.502502502502502724e-01,2.655630490756742939e-03
1.000000000000000021e-02,2.602602602602602788e-01,2.764140775235903250e-03
1.000000000000000021e-02,2.702702702702702853e-01,2.872923937328472534e-03
1.000000000000000021e-02,2.802802802802802917e-01,2.981990918196715610e-03
1.000000000000000021e-02,2.902902902902902982e-01,3.091352687031789868e-03
1.000000000000000021e-02,3.003003003003003046e-01,3.201020242156975629e-03
1.000000000000000021e-02,3.103103103103103111e-01,3.311004612133783970e-03
1.000000000000000021e-02,3.203203203203203175e-01,3.421316856871055214e-03
1.000000000000000021e-02,3.303303303303303240e-01,3.531968068737156071e-03
