z,a,D_LCDM,D_MAAT,fsigma8_LCDM,fsigma8_MAAT,dD_pct,dfsigma8_pct
9.899999999999994316e+01,1.000000000000000541e-02,4.605596425625996942e-02,4.602759046234600887e-02,3.718087012832664573e-02,3.715796403225932881e-02,-6.160720847377321868e-02,-6.160720819135876575e-02
9.808136566858662775e+01,1.009271514630572138e-02,4.648101445166747531e-02,4.645237879619472376e-02,3.735556393797367231e-02,3.733255021824156278e-02,-6.160720847116592236e-02,-6.160720735021485428e-02
9.717117022752189825e+01,1.018628990244687879e-02,4.690611848840535447e-02,4.687722093821086733e-02,3.736259346050910951e-02,3.733957541103672534e-02,-6.160720845326454059e-02,-6.160720480154410761e-02
9.626933615426166568e+01,1.028073223830866002e-02,4.733132956142267755e-02,4.730217005057892748e-02,3.737426756219505708e-02,3.735124232223711871e-02,-6.160720840497258682e-02,-6.160720051469031205e-02
9.537578663841085813e+01,1.037605019766912016e-02,4.775670014790482643e-02,4.772727857816202318e-02,3.739052382031714944e-02,3.736748856759650878e-02,-6.160720831146878490e-02,-6.160719446279551426e-02
9.449044557518075749e+01,1.047225189888435597e-02,4.818228202379832431e-02,4.815259826501654822e-02,3.741130125469258050e-02,3.738825320451192452e-02,-6.160720815820763113e-02,-6.160718661921713024e-02
9.361323755890767018e+01,1.056934553557988682e-02,4.860812628001948132e-02,4.857818017059085947e-02,3.743654029988063847e-02,3.741347670425227562e-02,-6.160720793085023433e-02,-6.160717695496126939e-02
9.274408787662990505e+01,1.066733937734858258e-02,4.903428333835321146e-02,4.900407468561430308e-02,3.746618277797313795e-02,3.744310092476420271e-02,-6.160720761524832167e-02,-6.160716544228617836e-02
9.188292250172497688e+01,1.076624177045493527e-02,4.946080296704843254e-02,4.943033154768299020e-02,3.750017187195028856e-02,3.747706908404564025e-02,-6.160720719747085627e-02,-6.160715205129217720e-02
9.102966808760409378e+01,1.086606113854598002e-02,4.988773429611598198e-02,4.985699985654834521e-02,3.753845209958915630e-02,3.751532573406911319e-02,-6.160720666368207921e-02,-6.160713675323924859e-02
