mu,phidot0,stable,chi2,chi2_per_point,chi2_reduced_k2,delta_chi2_vs_LCDM,max_Omega_MAAT,max_abs_delta_H,min_P_X,min_cs2,max_cs2
0.01,0.15,True,15.753433916239649,0.5081752876206338,0.5432218591806776,0.8775723259662982,0.0001191626731010105,0.02258578071798522,1.0004813099699426,1.00000000730561,1.0000109957675523
0.01,0.25555555555555554,True,15.753431656369184,0.5081752147215866,0.5432217812541098,0.8775700660958332,0.00011917501634736454,0.02258563992478102,1.000481324507905,1.000000023176507,1.0000306079178722
0.01,0.3611111111111111,True,15.753428253183257,0.5081751049413954,0.543221663902871,0.8775666629099064,0.00011919362020145635,0.022585442171258244,1.0004693946466865,1.0000000462759442,1.0000574394173387
0.01,0.4666666666666667,True,15.753423745391524,0.5081749595287588,0.5432215084617767,0.8775621551181736,0.00011921829257804462,0.022585204671399125,1.0004509013036078,1.0000000772827773,1.0000885217855942
0.01,0.5722222222222222,True,15.753418181585335,0.5081747800511398,0.5432213166063908,0.8775565913119845,0.00011924879410463245,0.02258494626537542,1.0004296564375015,1.0000001161967123,1.000120856223324
0.01,0.6777777777777778,True,15.753411618092542,0.5081745683255658,0.5432210902790532,0.8775500278191917,0.00011928485088354112,0.022584685130837338,1.0004066055940721,1.0000001630175064,1.000151859445475
0.01,0.7833333333333333,True,15.753404117005323,0.5081743263550104,0.5432208316208732,0.8775425267319719,0.00011932616715885176,0.022584437091220388,1.0003826118923909,1.0000002177449663,1.0001796193587085
0.01,0.888888888888889,True,15.753395744538347,0.5081740562754306,0.5432205429151155,0.8775341542649961,0.0001193724368021598,0.022584214661564538,1.0003584065796467,1.000000280378902,1.000202960077309
0.01,0.9944444444444445,True,15.753386569762487,0.5081737603149189,0.5432202265435341,0.8775249794891362,0.00011942335295779596,0.022584026766265194,1.000334568535843,1.0000003509190494,1.0002213672592086
0.01,1.0999999999999999,True,15.753376663675308,0.5081734407637196,0.5432198849543209,0.8775150734019572,0.00011947861558692831,0.022583878949810333,1.0003115259797515,1.000000429364969,1.0002348399644505
0.01,1.2055555555555555,True,15.753366098531277,0.5081730999526218,0.5432195206390096,0.8775045082579265,0.00011953793695262222,0.02258377387651808,1.0002895722015175,1.000000515715941,1.0002437248337683
0.01,1.3111111111111111,True,15.753354947342356,0.5081727402368502,0.5432191361152536,0.8774933570690049,0.00011960104527632195,0.022583711946279995,1.000268888093813,1.0000006099708598,1.0002485678343906
0.01,1.4166666666666665,True,15.753343283476854,0.5081723639831243,0.5432187339129949,0.877481693203503,0.00011966768688477572,0.022583691906365035,1.0002495662244377,1.0000007121281382,1.0002499993573526
0.01,1.5222222222222221,True,15.753331180297575,0.5081719735579863,0.5432183165619854,0.8774695900242246,0.00011973762718315624,0.022583711390988095,1.000231633232736,1.0000008221856294,1.0002499846867312
0.01,1.6277777777777778,True,15.75331871080818,0.5081715713163929,0.5432178865795925,0.8774571205348298,0.0001198106507635475,0.022583767360056635,1.0002150689661111,1.0000009401405567,1.0002499964872493
0.01,1.7333333333333332,True,15.753305947289308,0.5081711595899777,0.543217446458252,0.8774443570159569,0.00011988656091064193,0.022583856434017054,1.0001998218801078,1.0000010659894605,1.0002499835703769
0.01,1.8388888888888888,True,15.753292960921126,0.508170740674875,0.5432169986524527,0.8774313706477752,0.00011996517871351043,0.02258397513554634,1.000185820870606,1.0000011997281553,1.0002499704276604
0.01,1.9444444444444444,True,15.75327982139614,0.5081703168192303,0.5432165455653841,0.8774182311227889,0.00012004634194239409,0.022584120054477293,1.0001729840168194,1.0000013413516984,1.000249973715781
0.01,2.05,True,15.753266596533376,0.5081698902107541,0.5432160895356336,0.8774050062600249,0.00012012990380660974,0.022584287953154602,1.0001612248123757,1.0000014908543629,1.0002499705040648
0.01,2.1555555555555554,True,15.753253351902684,0.5081694629646027,0.5432156328242305,0.8773917616293332,0.0001202157316751639,0.02258447582764564,1.000150456443311,1.0000016482296215,1.0002499624971053
0.01,2.261111111111111,True,15.753240150473621,0.5081690371120523,0.5432151776025387,0.8773785602002704,0.00012030370581500128,0.022584680937616654,1.0001405945991344,1.0000018134701318,1.0002499632122206
0.01,2.3666666666666667,True,15.753227052296417,0.508168614590207,0.5432147259412557,0.8773654620230662,0.00012039371818201958,0.022584900814809343,1.000131559213494,1.0000019865677279,1.0002499688762
0.01,2.4722222222222223,True,15.753214114226287,0.508168197233106,0.5432142798009064,0.8773525239529363,0.00012048567128562937,0.022585133257610697,1.0001232754440712,1.0000021675134148,1.0002499670690501
0.01,2.5777777777777775,True,15.753201389693627,0.5081677867643105,0.5432138410239182,0.8773397994202767,0.00012057947713762218,0.022585376317080002,1.0001156741258448,1.0000023562973617,1.0002499518537902
0.01,2.683333333333333,True,15.75318892852668,0.5081673847911832,0.5432134113285062,0.8773273382533286,0.00012067505628921167,0.022585628278240524,1.0001086918704016,1.0000025529089038,1.000249963952286
0.01,2.7888888888888888,True,15.75317677682556,0.5081669928008246,0.5432129923043296,0.8773151865522095,0.000120772336955655,0.022585887639196684,1.0001022709359693,1.0000027573365393,1.0002499561626108
0.01,2.8944444444444444,True,15.753164976887565,0.5081666121576633,0.543212585409916,0.8773033866142139,0.00012087125422497845,0.022586153089766015,1.000096358956464,1.0000029695679304,1.0002499629170176
0.01,3.0,True,15.753153567181235,0.5081662441026205,0.5432121919717667,0.877291976907884,0.00012097174934572157,0.022586423490696676,1.0000909085909118,1.0000031895899049,1.0002499528182875
0.015848931924611134,0.15,True,15.753433217356474,0.5081752650760153,0.5432218350812577,0.8775716270831229,0.0001191664884356336,0.022585735292588668,1.0007628357520693,1.0000000115757761,1.000017422193248
0.015848931924611134,0.25555555555555554,True,15.753429635635424,0.5081751495366266,0.5432217115736353,0.8775680453620733,0.00011918605178274998,0.02258551215051484,1.0007628793133225,1.0000000367235815,1.0000484974207127
0.015848931924611134,0.3611111111111111,True,15.753424241724474,0.5081749755394992,0.543221525576706,0.8775626514511234,0.00011921553884245055,0.02258519873263333,1.000743940380111,1.0000000733267278,1.0000910134221412
0.015848931924611134,0.4666666666666667,True,15.753417096809871,0.5081747450583829,0.5432212792003404,0.8775555065365204,0.0001192546464522751,0.022584822321399543,1.0007146304065597,1.000000122462596,1.0001402678585345
0.015848931924611134,0.5722222222222222,True,15.75340827766739,0.5081744605699158,0.543220975091979,0.8775466873940392,0.00011930299697692404,0.022584412776581828,1.0006809595628932,1.0000001841332704,1.0001915096309282
0.015848931924611134,0.6777777777777778,True,15.753397873260008,0.5081741249438713,0.5432206163193106,0.8775362829866573,0.00011936015852314876,0.022583998907884876,1.0006444264380616,1.000000258341681,1.0002406451599601
0.015848931924611134,0.7833333333333333,True,15.753385981616322,0.508173741342462,0.5432202062626318,0.8775243913429716,0.00011942566497190737,0.022583605793789662,1.000606398983605,1.0000003450915982,1.0002846437163269
0.015848931924611134,0.888888888888889,True,15.75337270724107,0.5081733131368087,0.5432197485255541,0.8775111169677192,0.00011949903411099582,0.022583253269311536,1.0005680361482154,1.0000004443875177,1.0003216408118918
0.015848931924611134,0.9944444444444445,True,15.753358159123906,0.5081728438427067,0.5432192468663416,0.8774965688505549,0.00011957978283426336,0.022582955478679733,1.0005302553948692,1.0000005562344645,1.0003508202418843
0.015848931924611134,1.0999999999999999,True,15.753342449286604,0.5081723370737614,0.5432187051478139,0.8774808590132537,0.00011966743900696766,0.02258272120937052,1.000493735404583,1.0000006806377402,1.000372179572756
0.015848931924611134,1.2055555555555555,True,15.753325691739601,0.508171796507729,0.5432181273013655,0.8774641014662503,0.00011976155007430647,0.022582554684149245,1.000458941010911,1.0000008176026545,1.0003862674747952
0.015848931924611134,1.3111111111111111,True,15.753308001709785,0.508171225861606,0.5432175173003374,0.8774464114364342,0.00011986168878483651,0.02258245653698615,1.0004261589094183,1.000000967134263,1.0003939487876963
0.015848931924611134,1.4166666666666665,True,15.753289495017508,0.5081706288715325,0.5432168791385348,0.8774279047441578,0.00011996745653702898,0.02258242478268533,1.0003955358101797,1.000001129237128,1.0003962223799403
0.015848931924611134,1.5222222222222221,True,15.753270287516473,0.508170009274725,0.5432162168109129,0.8774086972431228,0.00012007848488089682,0.02258245567205912,1.0003671139337107,1.0000013039151148,1.0003961995946595
0.015848931924611134,1.6277777777777778,True,15.75325049454109,0.508169370791648,0.5432155342945204,0.8773889042677396,0.0001201944356628447,0.022582544387284086,1.000340861340299,1.0000014911712196,1.00039622122207
0.015848931924611134,1.7333333333333332,True,15.753230230335861,0.5081687171076085,0.5432148355288228,0.8773686400625103,0.00012031500022617095,0.022582685572591733,1.0003166963374877,1.0000016910074319,1.0003962050613875
0.015848931924611134,1.8388888888888888,True,15.753209607460263,0.5081680518535568,0.5432141243951815,0.8773480171869128,0.00012043989799562957,0.022582873717315138,1.0002945062328408,1.0000019034246272,1.0003961902482155
0.015848931924611134,1.9444444444444444,True,15.753188736176797,0.5081673785863483,0.5432134046957516,0.8773271459034468,0.00012056887469560859,0.022583103417277324,1.0002741611906616,1.0000021284224816,1.0003962031861737
0.015848931924611134,2.05,True,15.753167723837848,0.5081667007689629,0.5432126801323396,0.8773061335644972,0.00012070170038402505,0.022583369541747958,1.0002555241075899,1.0000023659994082,1.0003962074431785
0.015848931924611134,2.1555555555555554,True,15.753146674289614,0.5081660217512779,0.5432119542858488,0.8772850840162629,0.00012083816742974858,0.022583667330467197,1.0002384573927654,1.0000026161525086,1.0003962057630138
0.015848931924611134,2.261111111111111,True,15.753125687311254,0.508165344751976,0.5432112305969398,0.8772640970379033,0.00012097808851953727,0.02258399244097442,1.000222827423065,1.0000028788775386,1.0003962178851502
0.015848931924611134,2.3666666666666667,True,15.753104858106878,0.5081646728421574,0.543210512348513,0.8772432678335278,0.00012112129474936366,0.02258434096205306,1.0002085073018723,1.00000315416888,1.0003962409125111
0.015848931924611134,2.4722222222222223,True,15.7530842768625,0.5081640089310484,0.5432098026504311,0.8772226865891497,0.0001212676338325798,0.02258470940510521,1.0001953784121063,1.0000034420195238,1.0003962538253603
0.015848931924611134,2.5777777777777775,True,15.753064028378473,0.5081633557541443,0.5432091044268439,0.8772024381051224,0.00012141696844157063,0.022585094682013546,1.0001833311345951,1.000003742421058,1.0003962472138046
0.015848931924611134,2.683333333333333,True,15.753044191782623,0.5081627158639556,0.5432084204062974,0.8771826015092721,0.00012156917468887875,0.022585494075484457,1.0001722650054756,1.0000040553636582,1.0003962824463004
0.015848931924611134,2.7888888888888888,True,15.753024840325514,0.5081620916234036,0.5432077531146728,0.8771632500521633,0.00012172414074667243,0.022585905205941514,1.000162088510204,1.0000043808360843,1.0003962907040527
0.015848931924611134,2.8944444444444444,True,15.753006041257796,0.5081614852018644,0.5432071048709585,0.8771444509844457,0.0001218817655990427,0.022586325997668168,1.0001527186541324,1.000004718825678,1.0003963198360883
0.015848931924611134,3.0,True,15.752987855783738,0.508160898573669,0.5432064777856461,0.8771262655103875,0.00012204195791899592,0.022586754645859717,1.0001440804068724,1.0000050693183626,1.000396327503862
0.025118864315095794,0.15,True,15.753432109684171,0.5081752293446506,0.5432217968856611,0.8775705194108205,0.00011917253551683537,0.02258566329822339,1.0012090404623755,1.0000000183392506,1.0000275999562496
0.025118864315095794,0.25555555555555554,True,15.75342643286892,0.508175046221578,0.543221601133411,0.8775648425955698,0.00011920354288888793,0.022585309642163945,1.0012091610447302,1.0000000581810917,1.0000768309513108
0.025118864315095794,0.3611111111111111,True,15.753417883532178,0.5081747704365218,0.5432213063286958,0.8775562932588272,0.00011925028159353214,0.02258481290912734,1.0011790660440352,1.0000001161755883,1.0001441915284413
0.025118864315095794,0.4666666666666667,True,15.753406558235314,0.508174405104365,0.5432209158012177,0.8775449679619634,0.00011931227434230666,0.022584216339222293,1.0011326128664824,1.0000001940339411,1.000222234969646
0.025118864315095794,0.5722222222222222,True,15.753392578067526,0.5081739541312105,0.5432204337264664,0.8775309877941755,0.00011938892699906439,0.022583567257269878,1.0010792481755706,1.0000002917658275,1.000303435503179
0.025118864315095794,0.6777777777777778,True,15.753376083246225,0.5081734220402008,0.543219864939525,0.8775144929728746,0.00011947956058873613,0.022582911323742638,1.0010213470747258,1.000000409384177,1.0003813068809797
0.025118864315095794,0.7833333333333333,True,15.75335722818224,0.5081728138123304,0.5432192147649049,0.8774956379088898,0.00011958344293662455,0.022582288285430102,1.000961077621031,1.000000546905153,1.0004510450564443
0.025118864315095794,0.888888888888889,True,15.753336177404515,0.5081721347549844,0.5432184888760178,0.8774745871311644,0.00011969981722866014,0.022581729578736384,1.0009002766243784,1.0000007043478694,1.0005096929205135
0.025118864315095794,0.9944444444444445,True,15.753313102446755,0.5081713904015083,0.5432176931878192,0.8774515121734048,0.00011982792588160777,0.022581257620797688,1.000840398165594,1.0000008817338912,1.0005559542964368
0.025118864315095794,1.0999999999999999,True,15.753288179592925,0.5081705864384815,0.5432168337790664,0.8774265893195743,0.00011996702912003081,0.022580886338960122,1.0007825178816008,1.0000010790866076,1.0005898229571808
0.025118864315095794,1.2055555555555555,True,15.75326158827166,0.5081697286539245,0.5432159168369538,0.8773999979983085,0.00012011641840791713,0.022580622426127257,1.0007273724839343,1.0000012964305542,1.0006121666822942
0.025118864315095794,1.3111111111111111,True,15.753233509876395,0.5081688228992386,0.5432149486164274,0.8773719196030445,0.0001202754253401832,0.022580466887518042,1.0006754163544438,1.0000015337907557,1.0006243549942848
0.025118864315095794,1.4166666666666665,True,15.753204126815643,0.5081678750585691,0.5432139354074359,0.877342536542292,0.00012044342680617025,0.022580416577443998,1.0006268820129283,1.0000017911921277,1.0006279704047425
0.025118864315095794,1.5222222222222221,True,15.753173621654026,0.5081668910210976,0.5432128835053113,0.8773120313806757,0.00012061984726772666,0.02258046555466127,1.0005818363743957,1.0000020686589604,1.0006279354582284
0.025118864315095794,1.6277777777777778,True,15.753142176259063,0.5081658766535182,0.543211799181347,0.8772805859857122,0.00012080415892088899,0.02258060618443357,1.0005402288178133,1.0000023662144868,1.0006279770783122
0.025118864315095794,1.7333333333333332,True,15.75310997091055,0.508164837771308,0.543210688652088,0.8772483806371998,0.00012099588038843291,0.02258082997959895,1.0005019298693616,1.0000026838805383,1.000627962290338
0.025118864315095794,1.8388888888888888,True,15.753077183365649,0.5081637801085693,0.5432095580470914,0.8772155930922985,0.00012119457445721267,0.022581128207636636,1.0004667609235665,1.0000030216772675,1.000627953918243
0.025118864315095794,1.9444444444444444,True,15.753043987892767,0.5081627092868635,0.5432084133756127,0.877182397619416,0.00012139984524995775,0.0225814923049311,1.0004345162047166,1.0000033796229348,1.0006279938262066
0.025118864315095794,2.05,True,15.753010554297767,0.508161630783799,0.5432072604930265,0.8771489640244159,0.0001216113351153458,0.02258191414135446,1.0004049784186289,1.0000037577337437,1.0006280240458414
0.025118864315095794,2.1555555555555554,True,15.75297704697463,0.5081605499024074,0.5432061050680906,0.8771154567012793,0.00012182872143519171,0.02258238617402639,1.000377929498486,1.0000041560237185,1.0006280490316262
0.025118864315095794,2.261111111111111,True,15.752943624009326,0.5081594717422363,0.5432049525520457,0.8770820337359755,0.0001220517134823181,0.0225829015223125,1.000353157665909,1.0000045745046082,1.0006280958458247
0.025118864315095794,2.3666666666666667,True,15.752910436364354,0.5081584011730437,0.543203808150495,0.8770488460910038,0.00012228004941413934,0.022583453989116074,1.0003304618033158,1.000005013185819,1.0006281676268391
0.025118864315095794,2.4722222222222223,True,15.752877627166168,0.5081573428118119,0.5432026767988334,0.877016036892817,0.00012251349345204096,0.02258403804720276,1.000309653915301,1.0000054720743636,1.0006282277123895
0.025118864315095794,2.5777777777777775,True,15.752845331110155,0.5081563010035534,0.5432015631417295,0.8769837408368044,0.00012275183327212309,0.02258464880410047,1.000290560267186,1.000005951174826,1.0006282611874304
0.025118864315095794,2.683333333333333,True,15.752813673993545,0.5081552798062434,0.5432004715170188,0.8769520837201945,0.00012299487761619835,0.022585281955088833,1.0002730216344775,1.0000064504893358,1.0006283573621313
0.025118864315095794,2.7888888888888888,True,15.752782772378788,0.5081542829799609,0.5431994059440961,0.8769211821054377,0.00012324245412098943,0.02258593373072802,1.0002568929763986,1.0000069700175516,1.00062842218898
0.025118864315095794,2.8944444444444444,True,15.752752733385869,0.5081533139801893,0.5431983701167541,0.8768911431125179,0.00012349440735660288,0.02258660084317941,1.000242042755296,1.000007509756652,1.0006285146465819
0.025118864315095794,3.0,True,15.752723654607976,0.508152375955096,0.543197367400275,0.8768620643346257,0.00012375059706136115,0.022587280433997416,1.0002283520560191,1.0000080697013307,1.0006285862450586
0.039810717055349734,0.15,True,15.753430354099102,0.5081751727128743,0.5432217363482449,0.8775687638257512,0.00011918211995462322,0.022585549194938232,1.0019162685014547,1.0000000290478865,1.0000437119736905
0.039810717055349734,0.25555555555555554,True,15.75342135652692,0.5081748824686103,0.5432214260871352,0.8775597662535688,0.00011923126723307543,0.02258498868859449,1.001916589073029,1.0000000921559284,1.0001216878543966
0.039810717055349734,0.3611111111111111,True,15.753407805326935,0.508174445333127,0.543220958804377,0.8775462150535844,0.00011930535529266768,0.022584201421869912,1.0018686937466532,1.0000001840268078,1.0002283900921614
0.039810717055349734,0.4666666666666667,True,15.753389852505869,0.5081738662098667,0.5432203397415817,0.8775282622325182,0.00011940363568413364,0.022583255926553296,1.0017950704217817,1.000000307381727,1.0003520314550454
0.039810717055349734,0.5722222222222222,True,15.75336768849313,0.5081731512417139,0.5432195754652803,0.8775060982197793,0.00011952517772947738,0.022582227208119574,1.0017104930864378,1.0000004622519127,1.0004806949747143
0.039810717055349734,0.6777777777777778,True,15.753341533567099,0.5081723075344226,0.5432186735712793,0.8774799432937481,0.00011966891917597463,0.02258118763396811,1.001618726025873,1.000000648678506,1.0006041047609153
0.039810717055349734,0.7833333333333333,True,15.753311630063699,0.5081713429052807,0.5432176424159896,0.8774500397903484,0.00011983371606593013,0.02258020019869975,1.0015232053789986,1.0000008667125106,1.0007146452550508
0.039810717055349734,0.888888888888889,True,15.753278235990198,0.5081702656771031,0.5432164908962137,0.8774166457168473,0.00012001838755613645,0.022579314725713028,1.001426842293309,1.000001116414082,1.000807624504305
0.039810717055349734,0.9944444444444445,True,15.753241620196762,0.5081690845224762,0.543215228282647,0.8773800299234118,0.00012022175320255486,0.022578566743887203,1.0013319413316069,1.000001397851282,1.0008809817345155
0.039810717055349734,1.0999999999999999,True,15.75320205892217,0.5081678083523281,0.5432138641007644,0.8773404686488195,0.00012044266183246684,0.022577978326896533,1.001240207263528,1.0000017110985082,1.0009347011255862
