eta,chi2,max_abs_delta_D_pct,max_abs_delta_fsigma8_pct,max_abs_delta_mu_pct,stable
0,12.2020932,0,0,0,True
0.002,12.23886673,0.0772177924,0.05497413726,0.1996615065,True
0.004,12.2757274,0.1542889893,0.1098211938,0.399323013,True
0.006,12.31267474,0.2312140986,0.1645416197,0.5989845195,True
0.008,12.34970829,0.3079936253,0.2191358624,0.7986460259,True
0.01,12.38682758,0.3846280722,0.2736044951,0.9983075324,True
0.012,12.42403216,0.4611179391,0.3279485603,1.197969039,True
0.014,12.46132157,0.5374637235,0.3821680451,1.397630545,True
0.016,12.49869537,0.6136659204,0.4362633868,1.597292052,True
0.018,12.53615309,0.689725022,0.4902350204,1.796953558,True
0.02,12.5736943,0.7656415181,0.5440833785,1.996615065,True
0.022,12.61131854,0.8414158963,0.5978096249,2.196276571,True
0.024,12.64902539,0.9170486412,0.6514144221,2.395938078,True
0.026,12.6868144,0.9925402353,0.7048974963,2.595599584,True
0.028,12.72468513,1.067891159,0.7582592702,2.795261091,True
0.03,12.76263715,1.143101888,0.8115001645,2.994922597,True
0.032,12.80067004,1.2181729,0.8646205978,3.194584104,True
0.034,12.83878336,1.293104666,0.9176227266,3.39424561,True
0.036,12.87697669,1.367897657,0.9705060006,3.593907117,True
0.038,12.9152496,1.442552341,1.023270317,3.793568623,True
0.04,12.95360169,1.517069183,1.075916086,3.99323013,True
0.042,12.99203252,1.591448647,1.128443714,4.192891636,True
0.044,13.03054168,1.665691193,1.180853616,4.392553143,True
0.046,13.06912877,1.739797281,1.23314922,4.592214649,True
0.048,13.10779337,1.813767366,1.285328147,4.791876156,True
0.05,13.14653508,1.887601903,1.337390796,4.991537662,True
0.052,13.18535349,1.961301344,1.389337562,5.191199169,True
0.054,13.2242482,2.034866138,1.441168838,5.390860675,True
0.056,13.26321881,2.108296732,1.492885802,5.590522182,True
0.058,13.30226491,2.181593572,1.544491085,5.790183688,True
0.06,13.34138613,2.254757101,1.595982297,5.989845195,True
0.062,13.38058206,2.327787759,1.647359826,6.189506701,True
0.064,13.41985231,2.400685985,1.698624053,6.389168208,True
0.066,13.4591965,2.473452216,1.74977536,6.588829714,True
0.068,13.49861424,2.546086886,1.800815849,6.788491221,True
0.07,13.53810515,2.618590426,1.851746999,6.988152727,True
0.072,13.57766884,2.690963268,1.902566606,7.187814233,True
0.074,13.61730494,2.763205838,1.953275043,7.38747574,True
0.076,13.65701308,2.835318563,2.003872679,7.587137246,True
0.078,13.69679286,2.907301867,2.054359885,7.786798753,True
0.08,13.73664394,2.979156172,2.104739772,7.986460259,True
