z,a,D_LCDM,D_MAAT_eta002,f_LCDM,f_MAAT_eta002,fsigma8_LCDM,fsigma8_MAAT_eta002,mu_eta002,C_hat,delta_D_pct,delta_fsigma8_pct
2.997329158161810891e+00,2.501670391486735534e-01,3.156115463165725110e-01,3.131950932819153599e-01,9.818961035021968042e-01,9.936258478758867030e-01,2.513270732618705372e-01,2.523821782314893958e-01,1.019966150648587533e+00,9.983075324293771979e-01,-7.656415181443775309e-01,4.198134947919003879e-01
2.990252558785710502e+00,2.506107032744598895e-01,3.161611060124889239e-01,3.137469658084597324e-01,9.818020442288484251e-01,9.935305132934492134e-01,2.517405799730481064e-01,2.528026362109763725e-01,1.019876631457888649e+00,9.938315728944311367e-01,-7.635791240981516514e-01,4.218851954825766359e-01
2.983188487339323292e+00,2.510551542259494284e-01,3.167115697133279228e-01,3.142997574843138797e-01,9.817075089005368183e-01,9.934344690052111515e-01,2.521546003021756799e-01,2.532235684874506454e-01,1.019787512705255139e+00,9.893756352627565143e-01,-7.615169320139140163e-01,4.239336438811511232e-01
2.976136921644053412e+00,2.515003933985552886e-01,3.172629385406730562e-01,3.148534693453251543e-01,9.816124952387070834e-01,9.933377148346729246e-01,2.525691337103641576e-01,2.536449746810230388e-01,1.019698792520067121e+00,9.849396260033606021e-01,-7.594549828072680864e-01,4.259590057004396524e-01
2.969097839560571828e+00,2.519464221901651091e-01,3.178152136149192675e-01,3.154081024264994704e-01,9.815170009552512953e-01,9.932402505814748039e-01,2.529841796487924399e-01,2.540668544012038566e-01,1.019610469038839895e+00,9.805234519419934180e-01,-7.573933170286720751e-01,4.279614456186349170e-01
2.962071218988742149e+00,2.523932420011457123e-01,3.183683960552517456e-01,3.159636577619776565e-01,9.814210237524817471e-01,9.931420760214547672e-01,2.533997375586414247e-01,2.544892072468380451e-01,1.019522540405177979e+00,9.761270202588969713e-01,-7.553319748662348232e-01,4.299411272849076315e-01
2.955057037867552694e+00,2.528408542343474896e-01,3.189224869796236650e-01,3.165201363850126959e-01,9.813245613231057485e-01,9.930431909067036766e-01,2.538158068710273940e-01,2.549120328060404117e-01,1.019435004769731368e+00,9.717502384865663867e-01,-7.532709961478690763e-01,4.318982133252434186e-01
2.948055274175046314e+00,2.532892602951086758e-01,3.194774875047344254e-01,3.170775393279456345e-01,9.812276113501993136e-01,9.929435949656215676e-01,2.542323870069357339e-01,2.553353306561294556e-01,1.019347860290150232e+00,9.673930145075128051e-01,-7.512104203440079786e-01,4.338328653475735930e-01
2.941065905928253343e+00,2.537384615912599006e-01,3.200333987460069474e-01,3.176358676221823774e-01,9.811301715071822915e-01,9.928432879029734925e-01,2.546494773771536546e-01,2.557591003635621418e-01,1.019261105131040734e+00,9.630552565520419384e-01,-7.491502865697338143e-01,4.357452439476473538e-01
2.934088911183120985e+00,2.541884595331284080e-01,3.205902218175658014e-01,3.181951222981694305e-01,9.810322394577926097e-01,9.927422693999444769e-01,2.550670773822031889e-01,2.561833414838671219e-01,1.019174737463920621e+00,9.587368731960340673e-01,-7.470906335874833992e-01,4.376355087141552969e-01
2.927124268034443588e+00,2.546392555335428298e-01,3.211479578322144479e-01,3.187553043853705304e-01,9.809338128560605163e-01,9.926405391141939205e-01,2.554851864122734129e-01,2.566080535615791747e-01,1.019088755467174812e+00,9.544377733587360302e-01,-7.450314998091853713e-01,4.395038182346135969e-01
2.920171954615795595e+00,2.550908510078372382e-01,3.217066079014127000e-01,3.193164149122419970e-01,9.808348893462833784e-01,9.925380966799106641e-01,2.559038038471526666e-01,2.570332361301715940e-01,1.019003157326011211e+00,9.501578663005613157e-01,-7.429729232988524501e-01,4.413503301004152446e-01
2.913231949099463147e+00,2.555432473738558086e-01,3.222661731352539638e-01,3.198784549062087534e-01,9.807354665630009238e-01,9.924349417078668356e-01,2.563229290561609419e-01,2.574588887119895197e-01,1.018917941232418078e+00,9.458970616208988158e-01,-7.409149417748829292e-01,4.431752009121612823e-01
2.906304229696373920e+00,2.559964460519572049e-01,3.228266546424420902e-01,3.204414253936399559e-01,9.806355421309694842e-01,9.923310737854716956e-01,2.567425613980805488e-01,2.578850108181826584e-01,1.018833105385118509e+00,9.416552692559270188e-01,-7.388575926123505111e-01,4.449785862854022112e-01
2.899388774656029621e+00,2.564504484650190763e-01,3.233880535302683934e-01,3.210053273998244583e-01,9.805351136651374588e-01,9.922264924768247063e-01,2.571627002210881696e-01,2.583116019486373927e-01,1.018748647989528910e+00,9.374323994764427459e-01,-7.368009128453835155e-01,4.467606408555704900e-01
2.892485562266436716e+00,2.569052560384425532e-01,3.239503709045885582e-01,3.215701619489459984e-01,9.804341787706202238e-01,9.921211973227691550e-01,2.575833448626855260e-01,2.587386615919087807e-01,1.018664567257713927e+00,9.332283628856927749e-01,-7.347449391695837217e-01,4.485215182833888758e-01
2.885594570854041141e+00,2.573608702001565773e-01,3.245136078697989923e-01,3.221359300640583845e-01,9.803327350426753739e-01,9.920151878409447788e-01,2.580044946496302671e-01,2.591661892251524435e-01,1.018580861408344473e+00,9.290430704172218945e-01,-7.326897079442589167e-01,4.502613712601231666e-01
2.878715778783655921e+00,2.578172923806225647e-01,3.250777655288133450e-01,3.227026327670607930e-01,9.802307800666784088e-01,9.919084635258398341e-01,2.584261488978662480e-01,2.595941843140558425e-01,1.018497528666654439e+00,9.248764333327206266e-01,-7.306352551946625473e-01,4.519803515128103522e-01
2.871849164458396775e+00,2.582745240128387909e-01,3.256428449830389149e-01,3.232702710786722333e-01,9.801283114180976419e-01,9.918010238488438324e-01,2.588483069124537517e-01,2.600226463127692789e-01,1.018414567264397830e+00,9.207283632198930423e-01,-7.285816166144406525e-01,4.536786098093760766e-01
2.864994706319612838e+00,2.587325665323448876e-01,3.262088473323527249e-01,3.238388460184065121e-01,9.800253266624699977e-01,9.916928682582987209e-01,2.592709679874992679e-01,2.604515746638368379e-01,1.018331975439806580e+00,9.165987719903260222e-01,-7.265288275678110086e-01,4.553562959638785546e-01
2.858152382846820050e+00,2.591914213772263387e-01,3.267757736750774300e-01,3.244083586045467538e-01,9.799218233553773638e-01,9.915839961795512858e-01,2.596941314060853268e-01,2.608809687981269443e-01,1.018249751437547479e+00,9.124875718773716171e-01,-7.244769230918155500e-01,4.570135588415559780e-01
2.851322172557630985e+00,2.596510899881191436e-01,3.273436251079573367e-01,3.249788098541198100e-01,9.798177990424210559e-01,9.914744070150028898e-01,2.601177964401992782e-01,2.613108281347619744e-01,1.018167893508680866e+00,9.083946754340405105e-01,-7.224259378986271907e-01,4.586505463638942404e-01
2.844504054007690019e+00,2.601115738082142026e-01,3.279124027261338115e-01,3.255502007828706135e-01,9.797132512591991693e-01,9.913641001441617640e-01,2.605419623506625704e-01,2.617411520810488668e-01,1.018086399910618001e+00,9.043199955309025873e-01,-7.203759063776749016e-01,4.602674055138615272e-01
2.837698005790606270e+00,2.605728742832617573e-01,3.284821076231211334e-01,3.261225324052359764e-01,9.796081775312821538e-01,9.912530749236928562e-01,2.609666283870596959e-01,2.621719400324080129e-01,1.018005268907079985e+00,9.002634453540009352e-01,-7.183268625980624433e-01,4.618642823405859077e-01
2.830904006537883877e+00,2.610349928615761650e-01,3.290527408907816254e-01,3.266958057343189448e-01,9.795025753741883889e-01,9.911413306874687912e-01,2.613917937876659159e-01,2.626031913723029798e-01,1.017924498768055575e+00,8.962249384027738408e-01,-7.162788403105837531e-01,4.634413219648004234e-01
2.824122034918855384e+00,2.614979309940403396e-01,3.296243036193010623e-01,3.272700217818622637e-01,9.793964422933617575e-01,9.910288667466189416e-01,2.618174577793762059e-01,2.630349054721690671e-01,1.017844087769759653e+00,8.922043884879881093e-01,-7.142318729500819474e-01,4.649986685833451538e-01
2.817352069640619572e+00,2.619616901341101367e-01,3.301967968971634693e-01,3.278451815582222317e-01,9.792897757841475537e-01,9.909156823895799437e-01,2.622436195776323142e-01,2.634670816913421421e-01,1.017764034194593714e+00,8.882017097296861508e-01,-7.121859936374927980e-01,4.665364654744801887e-01
2.810594089447964183e+00,2.624262717378194054e-01,3.307702218111262527e-01,3.284212860723421668e-01,9.791825733317692793e-01,9.908017768821452131e-01,2.626702783863509305e-01,2.638997193769871408e-01,1.017684336331102779e+00,8.842168165551376191e-01,-7.101412351820944879e-01,4.680548550026188970e-01
2.803848073123314855e+00,2.628916772637837074e-01,3.313445794461947758e-01,3.289983363317257048e-01,9.790748324113047740e-01,9.906871494675133505e-01,2.630974333978504109e-01,2.643328178640256265e-01,1.017604992473936321e+00,8.802496236968126997e-01,-7.080976300836285819e-01,4.695539786232323376e-01
2.797113999486651181e+00,2.633579081732058680e-01,3.319198708855971014e-01,3.295763333424098218e-01,9.789665504876643443e-01,9.905717993663382126e-01,2.635250837927782253e-01,2.647663764750638471e-01,1.017526000923806961e+00,8.763000461903522886e-01,-7.060552105345410112e-01,4.710339768876448674e-01
2.790391847395452096e+00,2.638249659298799732e-01,3.324960972107583457e-01,3.301552781089380217e-01,9.788577250155671150e-01,9.904557257767764300e-01,2.639532287400372934e-01,2.652003945203199597e-01,1.017447359987451172e+00,8.723679993725631521e-01,-7.040140084220464223e-01,4.724949894479135715e-01
2.783681595744626147e+00,2.642928520001960324e-01,3.330732595012747543e-01,3.307351716343332471e-01,9.787483534395183815e-01,9.903389278745370339e-01,2.643818673967125443e-01,2.656348712975514781e-01,1.017369067977588415e+00,8.684533988794198578e-01,-7.019740553301784258e-01,4.739371550616842121e-01
2.776983223466442219e+00,2.647615678531448080e-01,3.336513588348881121e-01,3.313160149200703453e-01,9.786384331937876269e-01,9.902214048129288626e-01,2.648109989079971971e-01,2.660698060919816088e-01,1.017291123212881399e+00,8.645561606440730351e-01,-6.999353825420634445e-01,4.753606115967096701e-01
2.770296709530467805e+00,2.652311149603222007e-01,3.342303962874594858e-01,3.318978089660488129e-01,9.785279617023849852e-01,9.901031557229085234e-01,2.652406224071181540e-01,2.665051981762260325e-01,1.017213524017897663e+00,8.606762008948810605e-01,-6.978980210418979091e-01,4.767654960358521654e-01
2.763622032943503282e+00,2.657014947959338014e-01,3.348103729329431344e-01,3.324805547705651509e-01,9.784169363790400364e-01,9.899841797131282428e-01,2.656707370152620040e-01,2.669410468102191847e-01,1.017136268723068948e+00,8.568134361534455179e-01,-6.958620015170816631e-01,4.781519444816405007e-01
2.756959172749509523e+00,2.661727088367999428e-01,3.353912898433599188e-01,3.330642533302848873e-01,9.783053546271788248e-01,9.898644758699836066e-01,2.661013418414999721e-01,2.673773512411398712e-01,1.017059355664653220e+00,8.529677832326574283e-01,-6.938273543602885285e-01,4.795200921609552025e-01
2.750308108029551057e+00,2.666447585623598071e-01,3.359731480887708233e-01,3.336489056402148212e-01,9.781932138399034304e-01,9.897440432576605218e-01,2.665324359827131451e-01,2.678141107033371604e-01,1.016982783184695371e+00,8.491391592347660167e-01,-6.917941096714939064e-01,4.808700734296904589e-01
2.743668817901722790e+00,2.671176454546764223e-01,3.365559487372504210e-01,3.342345126936748789e-01,9.780805113999685441e-01,9.896228809181820685e-01,2.669640185235171437e-01,2.682513244182556100e-01,1.016906549630989032e+00,8.453274815494475902e-01,-6.897622972600878644e-01,4.822020217773528294e-01
2.737041281521088720e+00,2.675913709984412692e-01,3.371396928548597849e-01,3.348210754822697477e-01,9.779672446797607055e-01,9.895009878714560170e-01,2.673960885361863493e-01,2.686889915943602158e-01,1.016830653357037928e+00,8.415326678518956216e-01,-6.877319466468793108e-01,4.835160698317020334e-01
2.730425478079613999e+00,2.680659366809788335e-01,3.377243815056195086e-01,3.354085949958605095e-01,9.778534110412770985e-01,9.893783631153207914e-01,2.678286450805783536e-01,2.691271114270611942e-01,1.016755092722018361e+00,8.377546361009192699e-01,-6.857030870661217081e-01,4.848123493632231495e-01
2.723821386806103639e+00,2.685413439922512691e-01,3.383100157514825623e-01,3.359970722225360529e-01,9.777390078361039016e-01,9.892550056255919877e-01,2.682616872040576306e-01,2.695656830986384311e-01,1.016679866090741235e+00,8.339933045370578890e-01,-6.836757474675425605e-01,4.860909912897456442e-01
2.717228986966131465e+00,2.690175944248632267e-01,3.388965966523067586e-01,3.365865081485842625e-01,9.776240324053956376e-01,9.891309143561083372e-01,2.686952139414190421e-01,2.700047057781654325e-01,1.016604971833614091e+00,8.302485916807017530e-01,-6.816499565183143927e-01,4.873521256809158486e-01
2.710648257861980603e+00,2.694946894740664067e-01,3.394841252658272190e-01,3.371769037584630424e-01,9.775084820798541907e-01,9.890060882387787800e-01,2.691292243148115659e-01,2.704441786214333843e-01,1.016530408326604684e+00,8.265204163302329876e-01,-6.796257426050618111e-01,4.885958817626070982e-01
2.704079178832575092e+00,2.699726306377642771e-01,3.400726026476290076e-01,3.377682600347712838e-01,9.773923541797081560e-01,9.888805261836270954e-01,2.695637173336609127e-01,2.708841007708747139e-01,1.016456173951203468e+00,8.228086975601724973e-01,-6.776031338359240763e-01,4.898223879215374277e-01
2.697521729253415934e+00,2.704514194165167917e-01,3.406620298511187084e-01,3.383605779582196105e-01,9.772756460146928559e-01,9.887542270788379772e-01,2.699986919945926434e-01,2.713244713554859855e-01,1.016382267094386949e+00,8.191133547193427678e-01,-6.755821580423604367e-01,4.910317717094325740e-01
2.690975888536514926e+00,2.709310573135452205e-01,3.412524079274968369e-01,3.389538585076009025e-01,9.771583548840288014e-01,9.886271897908025519e-01,2.704341472813541758e-01,2.717652894907513494e-01,1.016308686148580831e+00,8.154343074290388849e-01,-6.735628427812555552e-01,4.922241598477873903e-01
2.684441636130333375e+00,2.714115458347366450e-01,3.418437379257292519e-01,3.395481026597605423e-01,9.770404780764041508e-01,9.884994131641638981e-01,2.708700821647377910e-01,2.722065542785648273e-01,1.016235429511624266e+00,8.117714755812160954e-01,-6.715452153368013377e-01,4.933996782318028629e-01
2.677918951519715041e+00,2.718928864886487884e-01,3.424360208925191218e-01,3.401433113895670490e-01,9.769220128699518391e-01,9.883708960218615669e-01,2.713064956025018071e-01,2.726482648071530401e-01,1.016162495586733661e+00,8.081247793366848065e-01,-6.695293027224168414e-01,4.945584519351478581e-01
2.671407814225823074e+00,2.723750807865147339e-01,3.430292578722780594e-01,3.407394856698816588e-01,9.768029565322322583e-01,9.882416371651772113e-01,2.717433865392926973e-01,2.730904201509969376e-01,1.016089882782466258e+00,8.044941391233162431e-01,-6.675151316827219183e-01,4.957006052139804608e-01
2.664908203806072517e+00,2.728581302422478649e-01,3.436234499070974779e-01,3.413366264715284037e-01,9.766833063202131626e-01,9.881116353737789959e-01,2.721807539065663750e-01,2.735330193707538049e-01,1.016017589512685282e+00,8.008794756342595411e-01,-6.655027286954202648e-01,4.968262615113604452e-01
2.658420099854072127e+00,2.733420363724461954e-01,3.442185980367197806e-01,3.419347347632640255e-01,9.765630594802502396e-01,9.879808894057664492e-01,2.726185966225094237e-01,2.739760615131790478e-01,1.015945614196523294e+00,7.972807098261702752e-01,-6.634921199731695918e-01,4.979355434615796994e-01
2.651943481999552876e+00,2.738268006963976431e-01,3.448147032985093285e-01,3.425338115117471105e-01,9.764422132480681249e-01,9.878493979977148731e-01,2.730569135919599377e-01,2.744195456110468667e-01,1.015873955258348893e+00,7.936977629174410964e-01,-6.614833314656042296e-01,4.990285728942082666e-01
2.645478329908311554e+00,2.743124247360843038e-01,3.454117667274229642e-01,3.431338576815077812e-01,9.763207648487426393e-01,9.877171598647198625e-01,2.734957037063282526e-01,2.748634706830717089e-01,1.015802611127728960e+00,7.901305563864492454e-01,-6.594763888610558622e-01,5.001054708384468084e-01
2.639024623282140602e+00,2.747989100161876141e-01,3.460097893559805904e-01,3.437348742349167763e-01,9.761987114966806933e-01,9.875841737004412701e-01,2.739349658435169532e-01,2.753078357338287763e-01,1.015731580239396026e+00,7.865790119698035099e-01,-6.574713175884581151e-01,5.011663575273787030e-01
2.632582341858768160e+00,2.752862580640929591e-01,3.466087722142358607e-01,3.443368621321544754e-01,9.760760503956036338e-01,9.874504381771478378e-01,2.743746988678413823e-01,2.757526397536744223e-01,1.015660861033212070e+00,7.830430516606003977e-01,-6.554681428192872250e-01,5.022113524019776731e-01
2.626151465411793229e+00,2.757744704098944455e-01,3.472087163297462031e-01,3.449398223311797018e-01,9.759527787385280373e-01,9.873159519457609390e-01,2.748149016299493153e-01,2.761978817186663271e-01,1.015590451954133666e+00,7.795225977066849721e-01,-6.534668894693643759e-01,5.032405741153210821e-01
2.619731973750621279e+00,2.762635485863998985e-01,3.478096227275427887e-01,3.455437557876985255e-01,9.758288937077486125e-01,9.871807136358983215e-01,2.752555729667404139e-01,2.766435605904832840e-01,1.015520351452178227e+00,7.760175726089127979e-01,-6.514675822006320560e-01,5.042541405367233498e-01
2.613323846720404298e+00,2.767534941291353023e-01,3.484114924301006111e-01,3.461486634551326214e-01,9.757043924748201036e-01,9.870447218559180724e-01,2.756967117012856794e-01,2.770896753163448745e-01,1.015450557982388258e+00,7.725278991194168832e-01,-6.494702454230798505e-01,5.052521687558085839e-01
2.606927064201971955e+00,2.772443085763500736e-01,3.490143264573081772e-01,3.467545462845875726e-01,9.755792722005405260e-01,9.869079751929623612e-01,2.761383166427466840e-01,2.775362248289307554e-01,1.015381070004797381e+00,7.690535002398676268e-01,-6.474749032965623208e-01,5.062347750865056062e-01
2.600541606111773874e+00,2.777359934690215582e-01,3.496181258264366987e-01,3.473614052248212292e-01,9.754535300349338467e-01,9.867704722130010708e-01,2.765803865862938582e-01,2.779832080462997790e-01,1.015311885984394813e+00,7.655942992197385388e-01,-6.454815797324503501e-01,5.072020750713053250e-01
2.594167452401812568e+00,2.782285503508600266e-01,3.502228915521098940e-01,3.479692412222114561e-01,9.753271631172329981e-01,9.866322114608750971e-01,2.770229203130255002e-01,2.784306238718083359e-01,1.015243004391091164e+00,7.621502195545614144e-01,-6.434902983956192202e-01,5.081541834849562234e-01
2.587804583059583940e+00,2.787219807683133932e-01,3.508286246462727909e-01,3.485780552207240479e-01,9.752001685758637795e-01,9.864931914603397578e-01,2.774659165898860635e-01,2.788784711940295313e-01,1.015174423699683581e+00,7.587211849841770661e-01,-6.415010827060951826e-01,5.090912143387045230e-01
2.581452978108010221e+00,2.792162862705723225e-01,3.514353261181609733e-01,3.491878481618801433e-01,9.750725435284283149e-01,9.863534107141083140e-01,2.779093741695838893e-01,2.793267488866708059e-01,1.015106142389819555e+00,7.553071194909749542e-01,-6.395139558409600467e-01,5.100132808841547627e-01
2.575112617605382681e+00,2.797114684095747261e-01,3.520429969742691068e-01,3.497986209847240846e-01,9.749442850816888440e-01,9.862128677038947133e-01,2.783532917905092163e-01,2.797754558084923349e-01,1.015038158945962499e+00,7.519079472981223811e-01,-6.375289407359135962e-01,5.109204956172926915e-01
2.568783481645294131e+00,2.802075287400109249e-01,3.526516382183199627e-01,3.504103746257901109e-01,9.748153903315521784e-01,9.860715608904576657e-01,2.787976681766517473e-01,2.802245908032244270e-01,1.014970471857355561e+00,7.485235928677737016e-01,-6.355460600873000798e-01,5.118129702822884486e-01
2.562465550356578081e+00,2.807044688193284787e-01,3.532612508512325000e-01,3.510231100190698283e-01,9.746858563630547145e-01,9.859294887136430541e-01,2.792425020375179368e-01,2.806741526994850355e-01,1.014903079617985204e+00,7.451539808992644343e-01,-6.335653363536356553e-01,5.126908158754241995e-01
2.556158803903247456e+00,2.812022902077370157e-01,3.538718358710902789e-01,3.516368280959789594e-01,9.745556802503464455e-01,9.857866495924269001e-01,2.796877920680481688e-01,2.811241403106971015e-01,1.014835980726545683e+00,7.417990363272798371e-01,-6.315867917574249368e-01,5.135541426489821371e-01
2.549863222484431979e+00,2.817009944682130618e-01,3.544833942731094867e-01,3.522515297853241467e-01,9.744248590566763069e-01,9.856430419249587738e-01,2.801335369485331572e-01,2.815745524350052875e-01,1.014769173686399961e+00,7.384586843199966166e-01,-6.296104482868425389e-01,5.144030601151755588e-01
2.543578786334313335e+00,2.822005831665052034e-01,3.550959270496069631e-01,3.528672160132693136e-01,9.742933898343777432e-01,9.854986640886044258e-01,2.805797353445309561e-01,2.820253878551927107e-01,1.014702657005543740e+00,7.351328502771908857e-01,-6.276363276975288619e-01,5.152376770498415803e-01
2.537305475722068326e+00,2.827010578711386390e-01,3.557094351899678375e-01,3.534838877033021354e-01,9.741612696248541647e-01,9.853535144399889756e-01,2.810263859067833048e-01,2.824766453385972875e-01,1.014636429196566381e+00,7.318214598283143690e-01,-6.256644515142368856e-01,5.160581014962185575e-01
2.531043270951800928e+00,2.832024201534204533e-01,3.563239196806130549e-01,3.541015457762002328e-01,9.740284954585650690e-01,9.852075913150392106e-01,2.814734872711314173e-01,2.829283236370279675e-01,1.014570488776610491e+00,7.285244388305222030e-01,-6.236948410325139358e-01,5.168644407688630649e-01
