z,a,D_LCDM,D_MAAT_eta002,f_LCDM,f_MAAT_eta002,fsigma8_LCDM,fsigma8_MAAT_eta002,C_hat,mu_eta002,eta_slip_beta003,Sigma_eta002_beta003,Weyl_proxy,EG_proxy,delta_D_pct,delta_fsigma8_pct,delta_mu_pct,delta_slip_pct,delta_Sigma_pct,delta_Weyl_pct,delta_EG_pct
2.997329158161810891e+00,2.501670391486735534e-01,3.156115463165725110e-01,3.131950932819153599e-01,9.818961035021968042e-01,9.936258478758867030e-01,2.513270732618705372e-01,2.523821782314893958e-01,9.983075324293771979e-01,1.019966150648587533e+00,1.029949225972881299e+00,1.035239749013819877e+00,1.027313523683036411e+00,1.023018752904093498e+00,-7.656415181443775309e-01,4.198134947919003879e-01,1.996615064858753286e+00,2.994922597288129928e+00,3.523974901381987657e+00,2.731352368303641143e+00,2.301875290409349795e+00
2.990252558785710502e+00,2.506107032744598895e-01,3.161611060124889239e-01,3.137469658084597324e-01,9.818020442288484251e-01,9.935305132934492134e-01,2.517405799730481064e-01,2.528026362109763725e-01,9.938315728944311367e-01,1.019876631457888649e+00,1.029814947186832974e+00,1.035080415409889598e+00,1.027176757440191324e+00,1.022861456385403711e+00,-7.635791240981516514e-01,4.218851954825766359e-01,1.987663145788864938e+00,2.981494718683297407e+00,3.508041540988959817e+00,2.717675744019132367e+00,2.286145638540371117e+00
2.983188487339323292e+00,2.510551542259494284e-01,3.167115697133279228e-01,3.142997574843138797e-01,9.817075089005368183e-01,9.934344690052111515e-01,2.521546003021756799e-01,2.532235684874506454e-01,9.893756352627565143e-01,1.019787512705255139e+00,1.029681269057882709e+00,1.034921806478491968e+00,1.027040701689053925e+00,1.022705110647327720e+00,-7.615169320139140163e-01,4.239336438811511232e-01,1.978751270525513917e+00,2.968126905788270875e+00,3.492180647849196795e+00,2.704070168905392535e+00,2.270511064732771978e+00
2.976136921644053412e+00,2.515003933985552886e-01,3.172629385406730562e-01,3.148534693453251543e-01,9.816124952387070834e-01,9.933377148346729246e-01,2.525691337103641576e-01,2.536449746810230388e-01,9.849396260033606021e-01,1.019698792520067121e+00,1.029548188780100793e+00,1.034763918730179144e+00,1.026905352589090992e+00,1.022549710011533275e+00,-7.594549828072680864e-01,4.259590057004396524e-01,1.969879252006712100e+00,2.954818878010079253e+00,3.476391873017914413e+00,2.690535258909099170e+00,2.254971001153327492e+00
2.969097839560571828e+00,2.519464221901651091e-01,3.178152136149192675e-01,3.154081024264994704e-01,9.815170009552512953e-01,9.932402505814748039e-01,2.529841796487924399e-01,2.540668544012038566e-01,9.805234519419934180e-01,1.019610469038839895e+00,1.029415703558259843e+00,1.034606748689912203e+00,1.026770706317807091e+00,1.022395248830973991e+00,-7.573933170286720751e-01,4.279614456186349170e-01,1.961046903883989501e+00,2.941570355825984251e+00,3.460674868991220343e+00,2.677070631780709142e+00,2.239524883097399055e+00
2.962071218988742149e+00,2.523932420011457123e-01,3.183683960552517456e-01,3.159636577619776565e-01,9.814210237524817471e-01,9.931420760214547672e-01,2.533997375586414247e-01,2.544892072468380451e-01,9.761270202588969713e-01,1.019522540405177979e+00,1.029283810607766858e+00,1.034450292896965440e+00,1.026636759070617355e+00,1.022241721489667965e+00,-7.553319748662348232e-01,4.299411272849076315e-01,1.952254040517797939e+00,2.928381060776685807e+00,3.445029289696543984e+00,2.663675907061735515e+00,2.224172148966796492e+00
2.955057037867552694e+00,2.528408542343474896e-01,3.189224869796236650e-01,3.165201363850126959e-01,9.813245613231057485e-01,9.930431909067036766e-01,2.538158068710273940e-01,2.549120328060404117e-01,9.717502384865663867e-01,1.019435004769731368e+00,1.029152507154597052e+00,1.034294547904829553e+00,1.026503507060723797e+00,1.022089122402475736e+00,-7.532709961478690763e-01,4.318982133252434186e-01,1.943500476973136770e+00,2.915250715459705155e+00,3.429454790482955318e+00,2.650350706072379658e+00,2.208912240247573600e+00
2.948055274175046314e+00,2.532892602951086758e-01,3.194774875047344254e-01,3.170775393279456345e-01,9.812276113501993136e-01,9.929435949656215676e-01,2.542323870069357339e-01,2.553353306561294556e-01,9.673930145075128051e-01,1.019347860290150232e+00,1.029021790435225459e+00,1.034139510281118390e+00,1.026370946518992078e+00,1.021937446014886008e+00,-7.512104203440079786e-01,4.338328653475735930e-01,1.934786029015023168e+00,2.902179043522545854e+00,3.413951028111839037e+00,2.637094651899207776e+00,2.193744601488600843e+00
2.941065905928253343e+00,2.537384615912599006e-01,3.200333987460069474e-01,3.176358676221823774e-01,9.811301715071822915e-01,9.928432879029734925e-01,2.546494773771536546e-01,2.557591003635621418e-01,9.630552565520419384e-01,1.019261105131040734e+00,1.028891657696561213e+00,1.033985176607473022e+00,1.026239073693829607e+00,1.021786686802796273e+00,-7.491502865697338143e-01,4.357452439476473538e-01,1.926110513104073441e+00,2.889165769656121263e+00,3.398517660747302216e+00,2.623907369382960653e+00,2.178668680279627345e+00
2.934088911183120985e+00,2.541884595331284080e-01,3.205902218175658014e-01,3.181951222981694305e-01,9.810322394577926097e-01,9.927422693999444769e-01,2.550670773822031889e-01,2.561833414838671219e-01,9.587368731960340673e-01,1.019174737463920621e+00,1.028762106195880932e+00,1.033831543479468706e+00,1.026107884851060525e+00,1.021636839272300090e+00,-7.470906335874833992e-01,4.376355087141552969e-01,1.917473746392062139e+00,2.876210619588093209e+00,3.383154347946870644e+00,2.610788485106052548e+00,2.163683927230009019e+00
