eta_g,beta_s,chi2_growth,max_abs_delta_mu_pct,max_abs_delta_slip_pct,max_abs_delta_Sigma_pct,max_abs_delta_Weyl_pct,max_abs_delta_EG_pct,stable
0,-0.06,12.2020932,0,5.989845195,2.994922597,2.994922597,2.994922597,True
0,-0.058,12.2020932,0,5.790183688,2.895091844,2.895091844,2.895091844,True
0,-0.056,12.2020932,0,5.590522182,2.795261091,2.795261091,2.795261091,True
0,-0.054,12.2020932,0,5.390860675,2.695430338,2.695430338,2.695430338,True
0,-0.052,12.2020932,0,5.191199169,2.595599584,2.595599584,2.595599584,True
0,-0.05,12.2020932,0,4.991537662,2.495768831,2.495768831,2.495768831,True
0,-0.048,12.2020932,0,4.791876156,2.395938078,2.395938078,2.395938078,True
0,-0.046,12.2020932,0,4.592214649,2.296107325,2.296107325,2.296107325,True
0,-0.044,12.2020932,0,4.392553143,2.196276571,2.196276571,2.196276571,True
0,-0.042,12.2020932,0,4.192891636,2.096445818,2.096445818,2.096445818,True
0,-0.04,12.2020932,0,3.99323013,1.996615065,1.996615065,1.996615065,True
0,-0.038,12.2020932,0,3.793568623,1.896784312,1.896784312,1.896784312,True
0,-0.036,12.2020932,0,3.593907117,1.796953558,1.796953558,1.796953558,True
0,-0.034,12.2020932,0,3.39424561,1.697122805,1.697122805,1.697122805,True
0,-0.032,12.2020932,0,3.194584104,1.597292052,1.597292052,1.597292052,True
0,-0.03,12.2020932,0,2.994922597,1.497461299,1.497461299,1.497461299,True
0,-0.028,12.2020932,0,2.795261091,1.397630545,1.397630545,1.397630545,True
0,-0.026,12.2020932,0,2.595599584,1.297799792,1.297799792,1.297799792,True
0,-0.024,12.2020932,0,2.395938078,1.197969039,1.197969039,1.197969039,True
0,-0.022,12.2020932,0,2.196276571,1.098138286,1.098138286,1.098138286,True
0,-0.02,12.2020932,0,1.996615065,0.9983075324,0.9983075324,0.9983075324,True
0,-0.018,12.2020932,0,1.796953558,0.8984767792,0.8984767792,0.8984767792,True
0,-0.016,12.2020932,0,1.597292052,0.7986460259,0.7986460259,0.7986460259,True
0,-0.014,12.2020932,0,1.397630545,0.6988152727,0.6988152727,0.6988152727,True
0,-0.012,12.2020932,0,1.197969039,0.5989845195,0.5989845195,0.5989845195,True
0,-0.01,12.2020932,0,0.9983075324,0.4991537662,0.4991537662,0.4991537662,True
0,-0.008,12.2020932,0,0.7986460259,0.399323013,0.399323013,0.399323013,True
0,-0.006,12.2020932,0,0.5989845195,0.2994922597,0.2994922597,0.2994922597,True
0,-0.004,12.2020932,0,0.399323013,0.1996615065,0.1996615065,0.1996615065,True
0,-0.002,12.2020932,0,0.1996615065,0.09983075324,0.09983075324,0.09983075324,True
0,0,12.2020932,0,0,0,0,0,True
0,0.002,12.2020932,0,0.1996615065,0.09983075324,0.09983075324,0.09983075324,True
0,0.004,12.2020932,0,0.399323013,0.1996615065,0.1996615065,0.1996615065,True
0,0.006,12.2020932,0,0.5989845195,0.2994922597,0.2994922597,0.2994922597,True
0,0.008,12.2020932,0,0.7986460259,0.399323013,0.399323013,0.399323013,True
0,0.01,12.2020932,0,0.9983075324,0.4991537662,0.4991537662,0.4991537662,True
0,0.012,12.2020932,0,1.197969039,0.5989845195,0.5989845195,0.5989845195,True
0,0.014,12.2020932,0,1.397630545,0.6988152727,0.6988152727,0.6988152727,True
0,0.016,12.2020932,0,1.597292052,0.7986460259,0.7986460259,0.7986460259,True
0,0.018,12.2020932,0,1.796953558,0.8984767792,0.8984767792,0.8984767792,True
0,0.02,12.2020932,0,1.996615065,0.9983075324,0.9983075324,0.9983075324,True
0,0.022,12.2020932,0,2.196276571,1.098138286,1.098138286,1.098138286,True
0,0.024,12.2020932,0,2.395938078,1.197969039,1.197969039,1.197969039,True
0,0.026,12.2020932,0,2.595599584,1.297799792,1.297799792,1.297799792,True
0,0.028,12.2020932,0,2.795261091,1.397630545,1.397630545,1.397630545,True
0,0.03,12.2020932,0,2.994922597,1.497461299,1.497461299,1.497461299,True
0,0.032,12.2020932,0,3.194584104,1.597292052,1.597292052,1.597292052,True
0,0.034,12.2020932,0,3.39424561,1.697122805,1.697122805,1.697122805,True
0,0.036,12.2020932,0,3.593907117,1.796953558,1.796953558,1.796953558,True
0,0.038,12.2020932,0,3.793568623,1.896784312,1.896784312,1.896784312,True
0,0.04,12.2020932,0,3.99323013,1.996615065,1.996615065,1.996615065,True
0,0.042,12.2020932,0,4.192891636,2.096445818,2.096445818,2.096445818,True
0,0.044,12.2020932,0,4.392553143,2.196276571,2.196276571,2.196276571,True
0,0.046,12.2020932,0,4.592214649,2.296107325,2.296107325,2.296107325,True
0,0.048,12.2020932,0,4.791876156,2.395938078,2.395938078,2.395938078,True
0,0.05,12.2020932,0,4.991537662,2.495768831,2.495768831,2.495768831,True
0,0.052,12.2020932,0,5.191199169,2.595599584,2.595599584,2.595599584,True
0,0.054,12.2020932,0,5.390860675,2.695430338,2.695430338,2.695430338,True
0,0.056,12.2020932,0,5.590522182,2.795261091,2.795261091,2.795261091,True
0,0.058,12.2020932,0,5.790183688,2.895091844,2.895091844,2.895091844,True
0,0.06,12.2020932,0,5.989845195,2.994922597,2.994922597,2.994922597,True
0.002,-0.06,12.23886673,0.1996615065,5.989845195,2.801240798,2.876295534,2.917710797,True
0.002,-0.058,12.23886673,0.1996615065,5.790183688,2.701210722,2.776342699,2.817800583,True
0.002,-0.056,12.23886673,0.1996615065,5.590522182,2.601180645,2.676389863,2.717890369,True
0.002,-0.054,12.23886673,0.1996615065,5.390860675,2.501150568,2.576437027,2.617980155,True
0.002,-0.052,12.23886673,0.1996615065,5.191199169,2.401120491,2.476484191,2.518069941,True
0.002,-0.05,12.23886673,0.1996615065,4.991537662,2.301090414,2.376531355,2.418159727,True
0.002,-0.048,12.23886673,0.1996615065,4.791876156,2.201060337,2.27657852,2.318249512,True
0.002,-0.046,12.23886673,0.1996615065,4.592214649,2.101030261,2.176625684,2.218339298,True
0.002,-0.044,12.23886673,0.1996615065,4.392553143,2.001000184,2.076672848,2.118429084,True
0.002,-0.042,12.23886673,0.1996615065,4.192891636,1.900970107,1.976720012,2.01851887,True
0.002,-0.04,12.23886673,0.1996615065,3.99323013,1.80094003,1.876767176,1.918608656,True
0.002,-0.038,12.23886673,0.1996615065,3.793568623,1.700909953,1.776814341,1.818698442,True
0.002,-0.036,12.23886673,0.1996615065,3.593907117,1.600879876,1.676861505,1.718788227,True
0.002,-0.034,12.23886673,0.1996615065,3.39424561,1.5008498,1.576908669,1.618878013,True
0.002,-0.032,12.23886673,0.1996615065,3.194584104,1.400819723,1.476955833,1.518967799,True
0.002,-0.03,12.23886673,0.1996615065,2.994922597,1.300789646,1.377002997,1.419057585,True
0.002,-0.028,12.23886673,0.1996615065,2.795261091,1.200759569,1.277050161,1.319147371,True
0.002,-0.026,12.23886673,0.1996615065,2.595599584,1.100729492,1.177097326,1.219237157,True
0.002,-0.024,12.23886673,0.1996615065,2.395938078,1.000699415,1.07714449,1.119326943,True
0.002,-0.022,12.23886673,0.1996615065,2.196276571,0.9006693386,0.9771916541,1.019416728,True
0.002,-0.02,12.23886673,0.1996615065,1.996615065,0.8006392618,0.8772388182,0.9195065142,True
0.002,-0.018,12.23886673,0.1996615065,1.796953558,0.700609185,0.7772859824,0.8195963,True
0.002,-0.016,12.23886673,0.1996615065,1.597292052,0.6005791081,0.6773331466,0.7196860859,True
0.002,-0.014,12.23886673,0.1996615065,1.397630545,0.5005490313,0.5773803108,0.6197758717,True
0.002,-0.012,12.23886673,0.1996615065,1.197969039,0.4005189545,0.477427475,0.5198656576,True
0.002,-0.01,12.23886673,0.1996615065,0.9983075324,0.3004888777,0.3774746392,0.4199554434,True
0.002,-0.008,12.23886673,0.1996615065,0.7986460259,0.2004588008,0.2775218034,0.3200452293,True
0.002,-0.006,12.23886673,0.1996615065,0.5989845195,0.100428724,0.1775689676,0.2201350151,True
0.002,-0.004,12.23886673,0.1996615065,0.399323013,0.0003986471717,0.07761613175,0.1202248009,True
0.002,-0.002,12.23886673,0.1996615065,0.1996615065,0.09963142966,0.02233670406,0.05409383843,True
0.002,0,12.23886673,0.1996615065,0,0.1996615065,0.1222895399,0.07959562737,True
0.002,0.002,12.23886673,0.1996615065,0.1996615065,0.2996915833,0.2222423757,0.1795058415,True
0.002,0.004,12.23886673,0.1996615065,0.399323013,0.3997216601,0.3221952115,0.2794160557,True
0.002,0.006,12.23886673,0.1996615065,0.5989845195,0.499751737,0.4221480473,0.3793262698,True
0.002,0.008,12.23886673,0.1996615065,0.7986460259,0.5997818138,0.5221008831,0.479236484,True
0.002,0.01,12.23886673,0.1996615065,0.9983075324,0.6998118906,0.6220537189,0.5791466982,True
0.002,0.012,12.23886673,0.1996615065,1.197969039,0.7998419675,0.7220065547,0.6790569123,True
0.002,0.014,12.23886673,0.1996615065,1.397630545,0.8998720443,0.8219593906,0.7789671265,True
0.002,0.016,12.23886673,0.1996615065,1.597292052,0.9999021211,0.9219122264,0.8788773406,True
0.002,0.018,12.23886673,0.1996615065,1.796953558,1.099932198,1.021865062,0.9787875548,True
0.002,0.02,12.23886673,0.1996615065,1.996615065,1.199962275,1.121817898,1.078697769,True
0.002,0.022,12.23886673,0.1996615065,2.196276571,1.299992352,1.221770734,1.178607983,True
0.002,0.024,12.23886673,0.1996615065,2.395938078,1.400022428,1.32172357,1.278518197,True
0.002,0.026,12.23886673,0.1996615065,2.595599584,1.500052505,1.421676405,1.378428411,True
0.002,0.028,12.23886673,0.1996615065,2.795261091,1.600082582,1.521629241,1.478338626,True
0.002,0.03,12.23886673,0.1996615065,2.994922597,1.700112659,1.621582077,1.57824884,True
0.002,0.032,12.23886673,0.1996615065,3.194584104,1.800142736,1.721534913,1.678159054,True
0.002,0.034,12.23886673,0.1996615065,3.39424561,1.900172813,1.821487749,1.778069268,True
0.002,0.036,12.23886673,0.1996615065,3.593907117,2.000202889,1.921440584,1.877979482,True
0.002,0.038,12.23886673,0.1996615065,3.793568623,2.100232966,2.02139342,1.977889696,True
0.002,0.04,12.23886673,0.1996615065,3.99323013,2.200263043,2.121346256,2.077799911,True
0.002,0.042,12.23886673,0.1996615065,4.192891636,2.30029312,2.221299092,2.177710125,True
0.002,0.044,12.23886673,0.1996615065,4.392553143,2.400323197,2.321251928,2.277620339,True
0.002,0.046,12.23886673,0.1996615065,4.592214649,2.500353274,2.421204764,2.377530553,True
0.002,0.048,12.23886673,0.1996615065,4.791876156,2.60038335,2.521157599,2.477440767,True
0.002,0.05,12.23886673,0.1996615065,4.991537662,2.700413427,2.621110435,2.577350981,True
0.002,0.052,12.23886673,0.1996615065,5.191199169,2.800443504,2.721063271,2.677261195,True
0.002,0.054,12.23886673,0.1996615065,5.390860675,2.900473581,2.821016107,2.77717141,True
0.002,0.056,12.23886673,0.1996615065,5.590522182,3.000503658,2.920968943,2.877081624,True
0.002,0.058,12.23886673,0.1996615065,5.790183688,3.100533735,3.020921778,2.976991838,True
0.002,0.06,12.23886673,0.1996615065,5.989845195,3.200563811,3.120874614,3.076902052,True
0.004,-0.06,12.2757274,0.399323013,5.989845195,2.607558999,2.757824812,2.840573088,True
0.004,-0.058,12.2757274,0.399323013,5.790183688,2.507329599,2.657750055,2.740583489,True
0.004,-0.056,12.2757274,0.399323013,5.590522182,2.407100199,2.557675297,2.64059389,True
0.004,-0.054,12.2757274,0.399323013,5.390860675,2.306870798,2.45760054,2.540604291,True
0.004,-0.052,12.2757274,0.399323013,5.191199169,2.206641398,2.357525782,2.440614692,True
0.004,-0.05,12.2757274,0.399323013,4.991537662,2.106411997,2.257451025,2.340625094,True
0.004,-0.048,12.2757274,0.399323013,4.791876156,2.006182597,2.157376267,2.240635495,True
0.004,-0.046,12.2757274,0.399323013,4.592214649,1.905953197,2.05730151,2.140645896,True
0.004,-0.044,12.2757274,0.399323013,4.392553143,1.805723796,1.957226752,2.040656297,True
0.004,-0.042,12.2757274,0.399323013,4.192891636,1.705494396,1.857151995,1.940666698,True
0.004,-0.04,12.2757274,0.399323013,3.99323013,1.605264995,1.757077238,1.840677099,True
0.004,-0.038,12.2757274,0.399323013,3.793568623,1.505035595,1.65700248,1.740687501,True
0.004,-0.036,12.2757274,0.399323013,3.593907117,1.404806194,1.556927723,1.640697902,True
0.004,-0.034,12.2757274,0.399323013,3.39424561,1.304576794,1.456852965,1.540708303,True
0.004,-0.032,12.2757274,0.399323013,3.194584104,1.204347394,1.356778208,1.440718704,True
0.004,-0.03,12.2757274,0.399323013,2.994922597,1.104117993,1.25670345,1.340729105,True
0.004,-0.028,12.2757274,0.399323013,2.795261091,1.003888593,1.156628693,1.240739506,True
0.004,-0.026,12.2757274,0.399323013,2.595599584,0.9036591924,1.056553935,1.140749908,True
0.004,-0.024,12.2757274,0.399323013,2.395938078,0.803429792,0.9564791776,1.040760309,True
0.004,-0.022,12.2757274,0.399323013,2.196276571,0.7032003916,0.8564044201,0.94077071,True
0.004,-0.02,12.2757274,0.399323013,1.996615065,0.6029709912,0.7563296627,0.8407811112,True
0.004,-0.018,12.2757274,0.399323013,1.796953558,0.5027415908,0.6562549052,0.7407915124,True
0.004,-0.016,12.2757274,0.399323013,1.597292052,0.4025121903,0.5561801477,0.6408019136,True
0.004,-0.014,12.2757274,0.399323013,1.397630545,0.3022827899,0.4561053902,0.5408123147,True
0.004,-0.012,12.2757274,0.399323013,1.197969039,0.2020533895,0.3560306327,0.4408227159,True
0.004,-0.01,12.2757274,0.399323013,0.9983075324,0.1018239891,0.2559558752,0.3408331171,True
0.004,-0.008,12.2757274,0.399323013,0.7986460259,0.001594588687,0.1558811177,0.2408435183,True
