z,a,dH,dB,dS,dV,H,B,S,V,R_resp,R_rob,CCI_min,CCI_diag,Omega_MAAT
9.899999999999994316e+01,1.000000000000000541e-02,6.160720847377321912e-04,6.160720819135876271e-04,4.978787280207698008e-05,1.348125765964071077e-01,9.993843072263929317e-01,9.993843072292135643e-01,9.999502146059068286e-01,8.812027824006457566e-01,9.583268077230426840e-01,9.583268077230426840e-01,3.472083839661468940e-01,2.605191575232119749e-01,1.642541776468636992e-07
9.808136566858662775e+01,1.009271514630572138e-02,6.160720847116591889e-04,6.160720735021485471e-04,5.090433938826981300e-05,1.348125747557657184e-01,9.993843072264189109e-01,9.993843072376145109e-01,9.999490982517315052e-01,8.812027838299375526e-01,9.583268082438647362e-01,9.583268082438647362e-01,3.472079961659888525e-01,2.605188665441497409e-01,1.679374902823385352e-07
9.717117022752189825e+01,1.018628990244687879e-02,6.160720845326453756e-04,6.160720480154410761e-04,5.204584205077979176e-05,1.348125691786119795e-01,9.993843072265976568e-01,9.993843072630699265e-01,9.999479568665778917e-01,8.812027881606998569e-01,9.583268098219904774e-01,9.583268098219904774e-01,3.472075993225590129e-01,2.605185687738501565e-01,1.717033989375976572e-07
9.626933615426166568e+01,1.028073223830866002e-02,6.160720840497258986e-04,6.160720051469031466e-04,5.321294220346034455e-05,1.348125597978621915e-01,9.993843072270799377e-01,9.993843073058856774e-01,9.999467898892629991e-01,8.812027954450243339e-01,9.583268124764495743e-01,9.583268124764495743e-01,3.472071932346663115e-01,2.605182640612497824e-01,1.755537557618819124e-07
9.537578663841085813e+01,1.037605019766912016e-02,6.160720831146878273e-04,6.160719446279551122e-04,5.440621384917616068e-05,1.348125465547441448e-01,9.993843072280138573e-01,9.993843073663301046e-01,9.999455967460258998e-01,8.812028057285489213e-01,9.583268162239191312e-01,9.583268162239191312e-01,3.472067776975351627e-01,2.605179522526085978e-01,1.794904544365879989e-07
9.449044557518075749e+01,1.047225189888435597e-02,6.160720815820763330e-04,6.160718661921713111e-04,5.562624386208469944e-05,1.348125293909569478e-01,9.993843072295447438e-01,9.993843074446693286e-01,9.999443768502448426e-01,8.812028190565452945e-01,9.583268210809420262e-01,9.583268210809420262e-01,3.472063525019694064e-01,2.605176331908705123e-01,1.835154311065377271e-07
9.361323755890767018e+01,1.056934553557988682e-02,6.160720793085023173e-04,6.160717695496126635e-04,5.687363227624487233e-05,1.348125082430544075e-01,9.993843072318154830e-01,9.993843075411930066e-01,9.999431296021497051e-01,8.812028354782812656e-01,9.583268270655164178e-01,9.583268270655164178e-01,3.472059174337230880e-01,2.605173067151821953e-01,1.876306653321212184e-07
9.274408787662990505e+01,1.066733937734858258e-02,6.160720761524832514e-04,6.160716544228617576e-04,5.814899258069829721e-05,1.348124830503304172e-01,9.993843072349675172e-01,9.993843076561781391e-01,9.999418543885281174e-01,8.812028550408964600e-01,9.583268341948643076e-01,9.583268341948643076e-01,3.472054722741412802e-01,2.605169726613867365e-01,1.918381810627935121e-07
9.188292250172497688e+01,1.076624177045493527e-02,6.160720719747085888e-04,6.160715205129217633e-04,5.945295202116463286e-05,1.348124537473566475e-01,9.993843072391400684e-01,9.993843077899230432e-01,9.999405505824221496e-01,8.812028777951973479e-01,9.583268424875432956e-01,9.583268424875432956e-01,3.472050167993518399e-01,2.605166308614050297e-01,1.961400476323917211e-07
9.102966808760409378e+01,1.086606113854598002e-02,6.160720666368207964e-04,6.160713675323924773e-04,6.078615190850256546e-05,1.348124202712425446e-01,9.993843072444714704e-01,9.993843079427151554e-01,9.999392175428232221e-01,8.812029037900204198e-01,9.583268519613931113e-01,9.583268519613931113e-01,3.472045507808428355e-01,2.605162811436805836e-01,2.005383807767723791e-07
9.018425196146570499e+01,1.096680598336868644e-02,6.160720600024469735e-04,6.160711952009719676e-04,6.214924793408502343e-05,1.348123825606507009e-01,9.993843072510978365e-01,9.993843081148345853e-01,9.999378546143549151e-01,8.812029330729959087e-01,9.583268626338127261e-01,9.583268626338127261e-01,3.472040739852603752e-01,2.605159233330264223e-01,2.050353436742596495e-07
8.934660211810525254e+01,1.106848488549413111e-02,6.160720519360418992e-04,6.160710032275335197e-04,6.354291049224671081e-05,1.348123405518750484e-01,9.993843072591540588e-01,9.993843083065717670e-01,9.999364611269526693e-01,8.812029656935930211e-01,9.583268745228712415e-01,9.583268745228712415e-01,3.472035861739275475e-01,2.605155572502577677e-01,2.096331480094254015e-07
8.851664721378300271e+01,1.117110650504824290e-02,6.160720423036635625e-04,6.160707913252713979e-04,6.496782500995892549e-05,1.348122941821550402e-01,9.993843072687746965e-01,9.993843085182132491e-01,9.999350363955341603e-01,8.812030017005477722e-01,9.583268876463701957e-01,9.583268876463701957e-01,3.472030871030420962e-01,2.605151827123456387e-01,2.143340550607131045e-07
8.769431656014704402e+01,1.127467958244947159e-02,6.160720309722787303e-04,6.160705591870425111e-04,6.642469228389785024e-05,1.348122433842797729e-01,9.993843072800921989e-01,9.993843087500655642e-01,9.999335797196627906e-01,8.812030411460510804e-01,9.583269020233694535e-01,9.583269020233694535e-01,3.472025765230516425e-01,2.605147995319397336e-01,2.191403768124526713e-07
8.687954011821319966e+01,1.137921293915315074e-02,6.160720178090808765e-04,6.160703065112261515e-04,6.791422882506746963e-05,1.348121880922468485e-01,9.993843072932392380e-01,9.993843090024303599e-01,9.999320903832040752e-01,8.812030840813561694e-01,9.583269176725871530e-01,9.583269176725871530e-01,3.472020541790669657e-01,2.605144075176872298e-01,2.240544770917994842e-07
8.607224849239914022e+01,1.148471547840290014e-02,6.160720026826087530e-04,6.160700329868439712e-04,6.943716721115092395e-05,1.348121282380060626e-01,9.993843073083469308e-01,9.993843092756179436e-01,9.999305676539742560e-01,8.812031305593063246e-01,9.583269346133206357e-01,9.583269346133206357e-01,3.472015198104337896e-01,2.605140064739063233e-01,2.290787727311694043e-07
8.527237292461451545e+01,1.159119618598885605e-02,6.160719854611724534e-04,6.160697383247287339e-04,7.099425644675915110e-05,1.348120637582801706e-01,9.993843073255472831e-01,9.993843095699175283e-01,9.999290107833799235e-01,8.812031806290387959e-01,9.583269528635168788e-01,9.583269528635168788e-01,3.472009731512490927e-01,2.605135962009845763e-01,2.342157347567280108e-07
8.447984528840406426e+01,1.169866413101307984e-02,6.160719660145327339e-04,6.160694221946199896e-04,7.258626233175833904e-05,1.348119945807995657e-01,9.993843073449699688e-01,9.993843098856584062e-01,9.999274190060511991e-01,8.812032343466732476e-01,9.583269724436661585e-01,9.583269724436661585e-01,3.472004139289386893e-01,2.605131764942898998e-01,2.394678896035323939e-07
8.369459808314586269e+01,1.180712846666190190e-02,6.160719442112355020e-04,6.160690842895450835e-04,7.421396783785241217e-05,1.348119206383906477e-01,9.993843073667464383e-01,9.993843102231474429e-01,9.999257915394664797e-01,8.812032917643727314e-01,9.583269933728179035e-01,9.583269933728179035e-01,3.471998418654523855e-01,2.605127471450894294e-01,2.448378203579068308e-07
8.291656442830155527e+01,1.191659843098559664e-02,6.160719199217740008e-04,6.160687243099638921e-04,7.587817349361069381e-05,1.348118418655062933e-01,9.993843073910059216e-01,9.993843105826839546e-01,9.999241275835668574e-01,8.812033529330375314e-01,9.583270156695606889e-01,9.583270156695606889e-01,3.471992566768043464e-01,2.605123079401989727e-01,2.503281680276797833e-07
