epsilon,chi2
-1.000000000000000021e-02,1.237722743471311304e+01
-9.980000000000001023e-03,1.237728891835483935e+01
-9.960000000000000103e-03,1.237735063717572359e+01
-9.940000000000000918e-03,1.237741259117576575e+01
-9.919999999999999998e-03,1.237747478035496407e+01
-9.900000000000000813e-03,1.237753720471331143e+01
-9.879999999999999893e-03,1.237759986425082381e+01
-9.860000000000000708e-03,1.237766275896747459e+01
-9.839999999999999789e-03,1.237772588886330460e+01
-9.820000000000000603e-03,1.237778925393828011e+01
-9.799999999999999684e-03,1.237785285419240466e+01
-9.780000000000000498e-03,1.237791668962569425e+01
-9.759999999999999579e-03,1.237798076023814353e+01
-9.740000000000000394e-03,1.237804506602974364e+01
-9.719999999999999474e-03,1.237810960700049456e+01
-9.700000000000000289e-03,1.237817438315040341e+01
-9.679999999999999369e-03,1.237823939447946486e+01
-9.660000000000000184e-03,1.237830464098769845e+01
-9.640000000000000999e-03,1.237837012267507752e+01
-9.620000000000000079e-03,1.237843583954160209e+01
-9.600000000000000894e-03,1.237850179158730235e+01
-9.579999999999999974e-03,1.237856797881215520e+01
-9.560000000000000789e-03,1.237863440121615355e+01
-9.539999999999999869e-03,1.237870105879930982e+01
-9.520000000000000684e-03,1.237876795156162402e+01
-9.499999999999999764e-03,1.237883507950309614e+01
-9.480000000000000579e-03,1.237890244262372796e+01
-9.459999999999999659e-03,1.237897004092350173e+01
-9.440000000000000474e-03,1.237903787440244763e+01
-9.419999999999999554e-03,1.237910594306053547e+01
-9.400000000000000369e-03,1.237917424689779011e+01
-9.379999999999999449e-03,1.237924278591419380e+01
-9.360000000000000264e-03,1.237931156010975542e+01
-9.339999999999999344e-03,1.237938056948447674e+01
-9.320000000000000159e-03,1.237944981403835065e+01
-9.299999999999999239e-03,1.237951929377137716e+01
-9.280000000000000054e-03,1.237958900868357048e+01
-9.260000000000000869e-03,1.237965895877491285e+01
-9.239999999999999949e-03,1.237972914404539893e+01
-9.220000000000000764e-03,1.237979956449506425e+01
-9.199999999999999845e-03,1.237987022012388039e+01
-9.180000000000000659e-03,1.237994111093183314e+01
-9.159999999999999740e-03,1.238001223691895802e+01
-9.140000000000000555e-03,1.238008359808525327e+01
-9.119999999999999635e-03,1.238015519443067447e+01
-9.100000000000000450e-03,1.238022702595526248e+01
-9.079999999999999530e-03,1.238029909265901551e+01
-9.060000000000000345e-03,1.238037139454191227e+01
-9.039999999999999425e-03,1.238044393160397050e+01
-9.020000000000000240e-03,1.238051670384518310e+01
-9.000000000000001055e-03,1.238058971126555541e+01
-8.980000000000000135e-03,1.238066295386508031e+01
-8.959999999999999215e-03,1.238073643164376492e+01
-8.940000000000000030e-03,1.238081014460160034e+01
-8.920000000000000845e-03,1.238088409273860613e+01
-8.899999999999999925e-03,1.238095827605473787e+01
-8.880000000000000740e-03,1.238103269455005240e+01
-8.859999999999999820e-03,1.238110734822451420e+01
-8.840000000000000635e-03,1.238118223707813215e+01
-8.819999999999999715e-03,1.238125736111091157e+01
-8.800000000000000530e-03,1.238133272032283649e+01
-8.779999999999999610e-03,1.238140831471392111e+01
-8.760000000000000425e-03,1.238148414428416544e+01
-8.739999999999999505e-03,1.238156020903356236e+01
-8.720000000000000320e-03,1.238163650896211365e+01
-8.699999999999999400e-03,1.238171304406982642e+01
-8.680000000000000215e-03,1.238178981435669712e+01
-8.660000000000001030e-03,1.238186681982271153e+01
-8.640000000000000110e-03,1.238194406046788565e+01
-8.619999999999999191e-03,1.238202153629222657e+01
-8.600000000000000006e-03,1.238209924729571476e+01
-8.580000000000000820e-03,1.238217719347836088e+01
-8.559999999999999901e-03,1.238225537484015426e+01
-8.540000000000000716e-03,1.238233379138111800e+01
-8.519999999999999796e-03,1.238241244310124323e+01
-8.500000000000000611e-03,1.238249133000049973e+01
-8.479999999999999691e-03,1.238257045207892304e+01
-8.460000000000000506e-03,1.238264980933650961e+01
-8.439999999999999586e-03,1.238272940177323989e+01
-8.420000000000000401e-03,1.238280922938913697e+01
-8.399999999999999481e-03,1.238288929218418311e+01
-8.380000000000000296e-03,1.238296959015838894e+01
-8.359999999999999376e-03,1.238305012331174559e+01
-8.340000000000000191e-03,1.238313089164426728e+01
-8.320000000000001006e-03,1.238321189515594867e+01
-8.300000000000000086e-03,1.238329313384677377e+01
-8.279999999999999166e-03,1.238337460771675325e+01
-8.259999999999999981e-03,1.238345631676589775e+01
-8.240000000000000796e-03,1.238353826099419841e+01
-8.219999999999999876e-03,1.238362044040164811e+01
-8.200000000000000691e-03,1.238370285498825751e+01
-8.179999999999999771e-03,1.238378550475401596e+01
-8.160000000000000586e-03,1.238386838969894299e+01
-8.139999999999999666e-03,1.238395150982302262e+01
