z,fsigma8_obs,sigma,fsigma8_lcdm,fsigma8_maat,C_proj,C_hat,frac_dev,H,B,S,V,R_resp,R_rob,CCI_min,CCI_diag
2.000000000000000042e-02,4.279999999999999916e-01,4.599999999999999922e-02,4.347495090744590840e-01,4.381714008710149710e-01,1.066258495927530969e+00,-7.870950340670507250e-01,7.870950340670363268e-03,9.368897654984801315e-01,9.426545653725231233e-01,5.062961717406325723e-01,5.232710593163232282e-01,7.731360579024261215e-01,6.954935510016923006e-01,2.107095592145971641e-01,1.634104866076302454e-01
6.700000000000000400e-02,4.229999999999999871e-01,5.500000000000000028e-02,4.454740103504523097e-01,4.488053071861031751e-01,1.238034477573824566e+00,-7.478094699688825342e-01,7.478094699688877384e-03,9.326641429991578969e-01,8.349448170966382587e-01,5.073253558320897083e-01,5.340246150521774648e-01,7.464168640910573416e-01,6.777315826120053899e-01,2.204196885680436702e-01,1.702796834119351399e-01
1.000000000000000056e-01,3.699999999999999956e-01,1.300000000000000044e-01,4.519376316934833882e-01,4.551694286607025353e-01,1.373381068164160723e+00,-7.150980003831697296e-01,7.150980003831681857e-03,9.263720958490337942e-01,5.846500956244022884e-01,5.081392276780364314e-01,5.426595664244318051e-01,6.648693576920331472e-01,6.216528358086721440e-01,2.474284176326891904e-01,1.899348324030921964e-01
1.700000000000000122e-01,5.100000000000000089e-01,5.999999999999999778e-02,4.629052158082248569e-01,4.658175113913805010e-01,1.706558561851432732e+00,-6.291343203102284232e-01,6.291343203102224731e-03,9.114485092729202043e-01,7.149741426686030410e-01,5.101538747774958527e-01,5.644880572706372224e-01,7.165157549638067058e-01,6.581798851980577014e-01,2.328501442948861522e-01,1.790584952890633408e-01
2.200000000000000011e-01,4.199999999999999845e-01,7.000000000000000666e-02,4.686199300761882403e-01,4.712064399570687345e-01,1.988395016486401490e+00,-5.519419288163692761e-01,5.519419288163820297e-03,8.996476820436146715e-01,7.109628476478948578e-01,5.118705887670833565e-01,5.835566936168418151e-01,7.200027286462553633e-01,6.611357639630072169e-01,2.332869543074546359e-01,1.792701478787958602e-01
2.500000000000000000e-01,3.509999999999999787e-01,5.800000000000000294e-02,4.712697379783155061e-01,4.736200503423113606e-01,2.177436117386108538e+00,-4.987191356861506719e-01,4.987191356861533573e-03,8.915906921567908761e-01,5.000000000000000000e-01,5.130285589301047944e-01,5.966451080030250598e-01,6.431079399007784136e-01,6.077826369505561210e-01,2.580320497642226707e-01,1.976213079214334256e-01
3.699999999999999956e-01,4.600000000000000200e-01,3.799999999999999906e-02,4.767386947913607176e-01,4.778552038711698646e-01,3.111049990651856056e+00,-2.341972850132864048e-01,2.341972850132868940e-03,8.554920615578188725e-01,8.790592827197802883e-01,5.188251042216890374e-01,6.646734460415444357e-01,7.936228418078121738e-01,7.136181130844475584e-01,2.162469754042758707e-01,1.666724342735823594e-01
4.099999999999999756e-01,4.500000000000000111e-01,4.000000000000000083e-02,4.769755863538522878e-01,4.775979848313957055e-01,3.496111215113490100e+00,-1.304885397387366697e-01,1.304885397387364537e-03,8.414194846033939967e-01,8.185923447433495204e-01,5.212541725260183556e-01,6.943484192007780553e-01,7.820224693893417234e-01,7.066051685025063200e-01,2.213994960403255496e-01,1.702907748066624649e-01
5.699999999999999512e-01,4.440000000000000058e-01,3.799999999999999906e-02,4.718559160020558974e-01,4.704222568679234939e-01,5.515644439120607423e+00,3.038340911945101586e-01,-3.038340911945156160e-03,7.778636877799685045e-01,8.121337428795494251e-01,5.343757702121190167e-01,8.657714786783121674e-01,8.177956120816801677e-01,7.352673334453362353e-01,2.176001854979057182e-01,1.674615170606393311e-01
5.999999999999999778e-01,4.299999999999999933e-01,4.000000000000000083e-02,4.700276816489644127e-01,4.682451837489271518e-01,5.996626332950772742e+00,3.792325366420593036e-01,-3.792325366420657307e-03,7.641320945161417244e-01,7.497964060097458416e-01,5.375988662287107811e-01,9.106883949101433062e-01,8.050580541372029941e-01,7.277546439751219065e-01,2.217252825551271067e-01,1.705379139189161231e-01
7.800000000000000266e-01,3.800000000000000044e-01,4.000000000000000083e-02,4.551867476484910968e-01,4.518868810951245929e-01,9.783308181258943748e+00,7.249478528128745491e-01,-7.249478528128767453e-03,6.751493242375663506e-01,6.070763377892520740e-01,5.643993789362748981e-01,8.020070135408061685e-01,6.901451436972182440e-01,6.562993272315794657e-01,2.707948040313177818e-01,2.059451881458002898e-01
8.000000000000000444e-01,4.699999999999999734e-01,8.000000000000000167e-02,4.532286785430424958e-01,4.498236322660453812e-01,1.031668819570879059e+01,7.512865884707587982e-01,-7.512865884707562933e-03,6.631581108668204161e-01,8.733636967011508823e-01,5.683906350147003295e-01,7.787604167945931799e-01,7.668999274978116620e-01,7.115669216101340178e-01,2.454951837117577140e-01,1.877829411388972358e-01
1.399999999999999911e+00,4.819999999999999840e-01,1.160000000000000059e-01,3.857508804683998926e-01,3.819356083837142646e-01,4.287070118260459850e+01,9.890507780702653129e-01,-9.890507780702703644e-03,5.000000000000000000e-01,5.056393515664349136e-01,1.000000000000000000e+00,5.000000000000000000e-01,5.018727606330916080e-01,5.018727606330916080e-01,6.641696757984952848e-01,4.981289995325874909e-01
