z,C_proj_norm,R_proj,H,B,S,V,R_resp,R_rob,CCI_min,CCI_diag
0.000000000000000000e+00,1.000000000000000000e+00,7.995774905400504506e-01,9.788055306020186919e-01,5.171202033426623990e-01,5.021964863576369176e-01,5.487416347373405001e-01,6.524570742037426596e-01,6.111282722346851326e-01,2.456128043365330416e-01,1.890945517871636949e-01
2.503128911138923721e-03,1.008082150424459922e+00,7.979898356771799595e-01,9.787293054540856518e-01,5.171866122777365460e-01,5.022143173093817081e-01,5.492337626868655232e-01,6.526630573541115643e-01,6.112783940253709858e-01,2.455635996316521963e-01,1.890562451664710708e-01
5.006257822277847443e-03,1.016223698607927162e+00,7.963917886952761593e-01,9.785763628192712948e-01,5.172535265160843609e-01,5.022322805855291561e-01,5.497300040996320192e-01,6.528537067624431423e-01,6.114177767348477621e-01,2.455231363291517643e-01,1.890238996826936468e-01
7.509386733416771598e-03,1.024425056111044618e+00,7.947833052103870921e-01,9.784224092230451308e-01,5.173209498272495210e-01,5.022503771224954283e-01,5.502303927107212722e-01,6.530458555269313958e-01,6.115582455593396860e-01,2.454823170091754991e-01,1.889912812446795931e-01
1.001251564455569489e-02,1.032686636978386030e+00,7.931643410038281550e-01,9.782674392584244094e-01,5.173888860078245111e-01,5.022686078626528161e-01,5.507349625234109203e-01,6.532395144325174874e-01,6.116998081830038458e-01,2.454411386812127005e-01,1.889583877029131220e-01
1.251564455569461817e-02,1.041008857750163052e+00,7.915348520281891842e-01,9.781114475024376143e-01,5.174573388816472441e-01,5.022869737543631530e-01,5.512437478113448863e-01,6.534346943263462659e-01,6.118424723324797920e-01,2.453995983328091934e-01,1.889252168938382603e-01
1.501877346683354320e-02,1.049392137473981412e+00,7.898947944133930532e-01,9.779544285161394512e-01,5.175263123000002352e-01,5.023054757520106772e-01,5.517567831207268458e-01,6.536314061179545609e-01,6.119862457769899011e-01,2.453576929294578601e-01,1.888917666398085837e-01
1.752190237797246475e-02,1.057836897716662783e+00,7.882441244727991236e-01,9.777963768446147341e-01,5.175958101418115520e-01,5.023241148160347835e-01,5.522741032725333454e-01,6.538296607794557014e-01,6.121311363284350771e-01,2.453154194144899769e-01,1.888580347490387279e-01
2.002503128911138977e-02,1.066343562576125503e+00,7.865827987093537699e-01,9.776372870169938167e-01,5.176658363138577634e-01,5.023428919129642178e-01,5.527957433647524566e-01,6.540294693457280317e-01,6.122771518414954484e-01,2.452727747089657184e-01,1.888240190155548448e-01
2.252816020025031479e-02,1.074912558693325693e+00,7.849107738217858676e-01,9.774771535464465977e-01,5.177363947509684428e-01,5.023618080154502730e-01,5.533217387746424132e-01,6.542308429145969884e-01,6.124243002137238490e-01,2.452297557115667992e-01,1.887897172191472517e-01
2.503128911138923635e-02,1.083544315264270530e+00,7.832280067108471355e-01,9.773159709302075004e-01,5.178074894162338904e-01,5.023808641023013166e-01,5.538521251610162288e-01,6.544337926470253919e-01,6.125725893856469595e-01,2.451863592984854512e-01,1.887551271253204155e-01
