z,E,D_growth,L_latent,B_exp,D_acc,S_proj,C_proj,C_proj_norm,R_proj,abs_d2R_dz2
1.000000000000000021e-02,1.004761073589139464e+00,9.948617210587259452e-01,9.827499794639764641e-01,1.014808684325030796e+00,9.777003359399591975e-01,5.633272095598435003e-02,1.906094205499091893e-02,1.000000000000000000e+00,9.439958384110003209e-01,3.003623226044250805e-01
1.149574787393696854e-02,1.005479410098686799e+00,9.940940841751932933e-01,9.826613991388051250e-01,1.017038147889616218e+00,9.768578836312045155e-01,5.658025513434472575e-02,1.915561942738484152e-02,1.004967087781956314e+00,9.437095287945972411e-01,4.511873852986738598e-01
1.299149574787393686e-02,1.006199359122399439e+00,9.933266987831189665e-01,9.825723740735665679e-01,1.019271393817951399e+00,9.760153726539877450e-01,5.682875161413968729e-02,1.925073162075448957e-02,1.009956987709003329e+00,9.434218751999517982e-01,6.033024492817133932e-01
1.448724362181090519e-02,1.006920920342024406e+00,9.925595689708093250e-01,9.824829021395777851e-01,1.021508429022917275e+00,9.751728058688491352e-01,5.707821391027161073e-02,1.934628054529978144e-02,1.014969799996540578e+00,9.431328718647601361e-01,6.058868520003386493e-01
1.598299149574787525e-02,1.007644093432481069e+00,9.917926987953752382e-01,9.823929811990408378e-01,1.023749260408552963e+00,9.743301861010310594e-01,5.732864554788500572e-02,1.944226811888543141e-02,1.020005625262087490e+00,9.428425130070443583e-01,6.084800616515479987e-01
1.747873936968484185e-02,1.008368878061890683e+00,9.910260922829247088e-01,9.823026091050148789e-01,1.025993894870036005e+00,9.734875161406641997e-01,5.758005006238024748e-02,1.953869626706883356e-02,1.025064564526747546e+00,9.425507928251234402e-01,6.110820916505730338e-01
1.897448724362181191e-02,1.009095273891605693e+00,9.902597534287543857e-01,9.822117837013877306e-01,1.028242339293660823e+00,9.726447987429532871e-01,5.783243099942733667e-02,1.963556692312802901e-02,1.030146719216674223e+00,9.422577054975822541e-01,6.136929550135192812e-01
2.047023511755877850e-02,1.009823280576240156e+00,9.894936861975400788e-01,9.821205028228492395e-01,1.030494600556820295e+00,9.718020366283626199e-01,5.808579191497970085e-02,1.973288202808984662e-02,1.035252191164548918e+00,9.419632451832440356e-01,6.163126648135630603e-01
2.196598299149574857e-02,1.010552897763698832e+00,9.887278945235276062e-01,9.820287642948628548e-01,1.032750685527983103e+00,9.709592324828013599e-01,5.834013637528777385e-02,1.983064353075804712e-02,1.040381082611055330e+00,9.416674060211390751e-01,6.189412341048239341e-01
2.346173086543271863e-02,1.011284125095207154e+00,9.879623823107182012e-01,9.819365659336376506e-01,1.035010601066675529e+00,9.701163889578022781e-01,5.859546795691268628e-02,1.992885338774173440e-02,1.045533496206372481e+00,9.413701821304776285e-01,6.215786757134367235e-01
2.495747873936968522e-02,1.012016962205340542e+00,9.871971534330573617e-01,9.818439055461016807e-01,1.037274354023461687e+00,9.692735086707072734e-01,5.885179024674005305e-02,2.002751356348380501e-02,1.050709535011665308e+00,9.410715676106198302e-01,6.242250025415927439e-01
2.645322661330665182e-02,1.012751408722055713e+00,9.864322117346164820e-01,9.817507809298740007e-01,1.039541951239925766e+00,9.684305942048425653e-01,5.910910684199371934e-02,2.012662603028963354e-02,1.055909302500590563e+00,9.407715565410464942e-01,6.268802272253424235e-01
2.794897448724362188e-02,1.013487464266718430e+00,9.856675610297821466e-01,9.816571898732366908e-01,1.041813399548650265e+00,9.675876481097029913e-01,5.936742135024915268e-02,2.022619276835566776e-02,1.061132902560796509e+00,9.404701429813329128e-01,6.295443624387928594e-01
2.944472236118059194e-02,1.014225128454134817e+00,9.849032051034336543e-01,9.815631301551084320e-01,1.044088705773199566e+00,9.667446729011250905e-01,5.962673738944726520e-02,2.032621576579837774e-02,1.066380439495442367e+00,9.401673209711179924e-01,6.322174206470805302e-01
3.094047023511756200e-02,1.014964400892581331e+00,9.841391477111269825e-01,9.814685995450165290e-01,1.046367876728102164e+00,9.659016710614659607e-01,5.988705858790821512e-02,2.042669701868329510e-02,1.071652018024721320e+00,9.398630845300779413e-01,6.348994143342849839e-01
