z,fsigma8_obs,sigma,fsigma8_LCDM,Cproj_rescaled
6.700000000000000400e-02,4.229999999999999871e-01,5.500000000000000028e-02,4.454740103504523097e-01,3.357883307052911964e-02
1.700000000000000122e-01,5.100000000000000089e-01,5.999999999999999778e-02,4.629052158082248569e-01,4.684108375805846880e-02
2.200000000000000011e-01,4.199999999999999845e-01,7.000000000000000666e-02,4.686199300761882958e-01,5.491443222069532226e-02
2.500000000000000000e-01,3.512000000000000122e-01,5.829999999999999766e-02,4.712697379783155061e-01,6.036602029227005478e-02
3.699999999999999956e-01,4.601999999999999980e-01,3.780000000000000027e-02,4.767386947913606621e-01,8.767826732339513429e-02
4.099999999999999756e-01,4.500000000000000111e-01,4.000000000000000083e-02,4.769755863538523433e-01,9.911665430805099986e-02
4.400000000000000022e-01,4.129999999999999782e-01,8.000000000000000167e-02,4.767080990428819720e-01,1.086046865059341893e-01
5.699999999999999512e-01,4.410000000000000031e-01,4.299999999999999656e-02,4.718559160020558418e-01,1.605875439517413794e-01
5.999999999999999778e-01,3.900000000000000133e-01,6.300000000000000044e-02,4.700276816489643017e-01,1.755703760354643261e-01
5.999999999999999778e-01,5.500000000000000444e-01,1.199999999999999956e-01,4.700276816489643017e-01,1.755703760354643261e-01
7.800000000000000266e-01,3.800000000000000044e-01,4.000000000000000083e-02,4.551867476484910968e-01,2.977026369392485328e-01
8.000000000000000444e-01,4.699999999999999734e-01,8.000000000000000167e-02,4.532286785430424403e-01,3.154676943839226366e-01
1.399999999999999911e+00,4.819999999999999840e-01,1.160000000000000059e-01,3.857508804683998371e-01,1.588887374762092630e+00
