gamma,alpha,z_tr
5.000000000000000000e-01,5.000000000000000000e-01,2.807303651825913127e-01
5.000000000000000000e-01,5.625000000000000000e-01,3.345772886443221794e-01
5.000000000000000000e-01,6.250000000000000000e-01,3.869284642321160761e-01
5.000000000000000000e-01,6.875000000000000000e-01,4.362881440720360327e-01
5.000000000000000000e-01,7.500000000000000000e-01,4.826563281640820491e-01
5.000000000000000000e-01,8.125000000000000000e-01,5.260330165082541809e-01
5.000000000000000000e-01,8.750000000000000000e-01,5.694097048524262572e-01
5.000000000000000000e-01,9.375000000000000000e-01,6.082991495747874788e-01
5.000000000000000000e-01,1.000000000000000000e+00,6.471885942971485894e-01
5.000000000000000000e-01,1.062500000000000000e+00,6.830865432716358709e-01
5.000000000000000000e-01,1.125000000000000000e+00,7.189844922461231524e-01
5.000000000000000000e-01,1.187500000000000000e+00,7.518909454727363828e-01
5.000000000000000000e-01,1.250000000000000000e+00,7.833016508254126986e-01
5.000000000000000000e-01,1.312500000000000000e+00,8.132166083041520999e-01
5.000000000000000000e-01,1.375000000000000000e+00,8.431315657828915011e-01
5.000000000000000000e-01,1.437500000000000000e+00,8.715507753876938768e-01
5.000000000000000000e-01,1.500000000000000000e+00,8.984742371185593379e-01
5.000000000000000000e-01,1.562500000000000000e+00,9.239019509754877735e-01
5.000000000000000000e-01,1.625000000000000000e+00,9.493296648324162090e-01
5.000000000000000000e-01,1.687500000000000000e+00,9.732616308154077300e-01
5.000000000000000000e-01,1.750000000000000000e+00,9.956978489244622255e-01
5.000000000000000000e-01,1.812500000000000000e+00,1.019629814907453857e+00
5.000000000000000000e-01,1.875000000000000000e+00,1.040570285142571327e+00
5.000000000000000000e-01,1.937500000000000000e+00,1.061510755377688797e+00
5.000000000000000000e-01,2.000000000000000000e+00,1.082451225612806489e+00
6.875000000000000000e-01,5.000000000000000000e-01,4.003901950975488067e-01
6.875000000000000000e-01,5.625000000000000000e-01,4.512456228114057333e-01
6.875000000000000000e-01,6.250000000000000000e-01,4.991095547773887198e-01
6.875000000000000000e-01,6.875000000000000000e-01,5.439819909954978217e-01
6.875000000000000000e-01,7.500000000000000000e-01,5.873586793396698980e-01
6.875000000000000000e-01,8.125000000000000000e-01,6.292396198099049487e-01
6.875000000000000000e-01,8.750000000000000000e-01,6.681290645322661703e-01
6.875000000000000000e-01,9.375000000000000000e-01,7.055227613806903664e-01
6.875000000000000000e-01,1.000000000000000000e+00,7.414207103551776479e-01
6.875000000000000000e-01,1.062500000000000000e+00,7.743271635817909893e-01
6.875000000000000000e-01,1.125000000000000000e+00,8.072336168084042196e-01
6.875000000000000000e-01,1.187500000000000000e+00,8.386443221610805354e-01
6.875000000000000000e-01,1.250000000000000000e+00,8.685592796398199367e-01
6.875000000000000000e-01,1.312500000000000000e+00,8.969784892446223123e-01
6.875000000000000000e-01,1.375000000000000000e+00,9.239019509754877735e-01
6.875000000000000000e-01,1.437500000000000000e+00,9.493296648324162090e-01
6.875000000000000000e-01,1.500000000000000000e+00,9.747573786893447556e-01
6.875000000000000000e-01,1.562500000000000000e+00,1.000185092546273191e+00
6.875000000000000000e-01,1.625000000000000000e+00,1.022621310655327687e+00
6.875000000000000000e-01,1.687500000000000000e+00,1.045057528764382182e+00
6.875000000000000000e-01,1.750000000000000000e+00,1.067493746873436677e+00
6.875000000000000000e-01,1.812500000000000000e+00,1.088434217108554369e+00
6.875000000000000000e-01,1.875000000000000000e+00,1.109374687343671839e+00
6.875000000000000000e-01,1.937500000000000000e+00,1.130315157578789531e+00
6.875000000000000000e-01,2.000000000000000000e+00,1.149759879939969975e+00
8.750000000000000000e-01,5.000000000000000000e-01,4.901350675337668994e-01
8.750000000000000000e-01,5.625000000000000000e-01,5.379989994997499414e-01
8.750000000000000000e-01,6.250000000000000000e-01,5.828714357178589323e-01
8.750000000000000000e-01,6.875000000000000000e-01,6.262481240620310086e-01
8.750000000000000000e-01,7.500000000000000000e-01,6.666333166583291447e-01
8.750000000000000000e-01,8.125000000000000000e-01,7.055227613806903664e-01
8.750000000000000000e-01,8.750000000000000000e-01,7.429164582291145624e-01
8.750000000000000000e-01,9.375000000000000000e-01,7.773186593296648184e-01
8.750000000000000000e-01,1.000000000000000000e+00,8.117208604302151853e-01
8.750000000000000000e-01,1.062500000000000000e+00,8.431315657828915011e-01
8.750000000000000000e-01,1.125000000000000000e+00,8.730465232616309024e-01
8.750000000000000000e-01,1.187500000000000000e+00,9.029614807403701926e-01
8.750000000000000000e-01,1.250000000000000000e+00,9.313806903451726793e-01
8.750000000000000000e-01,1.312500000000000000e+00,9.583041520760380294e-01
8.750000000000000000e-01,1.375000000000000000e+00,9.837318659329665760e-01
8.750000000000000000e-01,1.437500000000000000e+00,1.009159579789894901e+00
8.750000000000000000e-01,1.500000000000000000e+00,1.033091545772886422e+00
8.750000000000000000e-01,1.562500000000000000e+00,1.055527763881940917e+00
8.750000000000000000e-01,1.625000000000000000e+00,1.077963981990995634e+00
8.750000000000000000e-01,1.687500000000000000e+00,1.100400200100050130e+00
8.750000000000000000e-01,1.750000000000000000e+00,1.121340670335167600e+00
8.750000000000000000e-01,1.812500000000000000e+00,1.142281140570285292e+00
8.750000000000000000e-01,1.875000000000000000e+00,1.161725862931465736e+00
8.750000000000000000e-01,1.937500000000000000e+00,1.181170585292646402e+00
8.750000000000000000e-01,2.000000000000000000e+00,1.200615307653827069e+00
1.062500000000000000e+00,5.000000000000000000e-01,5.634267133566783770e-01
1.062500000000000000e+00,5.625000000000000000e-01,6.082991495747874788e-01
1.062500000000000000e+00,6.250000000000000000e-01,6.501800900450225296e-01
