family,instance_id,maat_only,mode_a,mode_a_gated,progress_only,random,vsids,delta_gate_minus_score,gate_better
graph_coloring,90,3.944,3.648,3.056,3.352,3.056,3.352,-0.5920000000000001,True
graph_coloring,91,2.168,2.464,2.168,2.464,2.464,2.464,-0.2959999999999998,True
graph_coloring,92,1.896,3.08,1.6,2.192,2.488,2.192,-1.48,True
graph_coloring,93,12.196,7.952,9.42,9.644,12.6,9.644,1.468,False
graph_coloring,94,2.808,4.792,2.216,3.104,3.104,3.104,-2.5759999999999996,True
graph_coloring,95,8.28,7.94,8.315999999999999,7.988,18.427999999999997,7.988,0.37599999999999856,False
modular_3sat,54,2.144,3.028,2.436,3.324,3.032,3.324,-0.5920000000000001,True
modular_3sat,55,5.28,8.48,6.58,6.58,8.86,6.276,-1.9000000000000004,True
modular_3sat,56,6.3,5.28,4.996,4.98,7.4,4.98,-0.2839999999999998,True
modular_3sat,57,5.191999999999999,3.744,3.02,2.432,11.668,2.432,-0.7240000000000002,True
modular_3sat,58,4.976,13.596,10.164,5.8919999999999995,9.092,5.584,-3.4320000000000004,True
modular_3sat,59,10.104,8.936,8.532,4.5280000000000005,7.148,4.508,-0.4039999999999999,True
modular_3sat,60,8.52,6.8999999999999995,5.26,5.26,14.396,6.58,-1.6399999999999997,True
modular_3sat,61,7.508,5.296,5.276,4.968,8.536,5.268,-0.020000000000000462,True
modular_3sat,62,6.888,5.616,6.284,6.268,7.496,6.268,0.6680000000000001,False
modular_3sat,63,16.488000000000003,13.172,14.652,14.516,12.88,14.516,1.4799999999999986,False
modular_3sat,64,7.092,8.532,10.48,10.6,6.779999999999999,10.184,1.9480000000000004,False
modular_3sat,65,6.9079999999999995,4.076,5.683999999999999,7.652,3.348,7.336,1.6079999999999997,False
modular_3sat,66,8.84,7.644,5.268,4.964,7.212,6.288,-2.3760000000000003,True
modular_3sat,67,9.644,11.836,6.624,11.212,19.92,10.22,-5.212000000000001,True
modular_3sat,68,6.888,4.06,8.224,5.3759999999999994,4.236,9.04,4.164000000000001,False
modular_3sat,69,19.88,5.872,8.787999999999998,5.584,8.108,5.6,2.9159999999999986,False
modular_3sat,70,6.476,5.252,5.264,6.58,17.392000000000003,5.272,0.012000000000000455,False
modular_3sat,71,12.88,13.816,12.212,10.508,16.144000000000002,10.108,-1.604000000000001,True
pigeonhole,96,42.912,38.892,33.971999999999994,44.552,35.852000000000004,42.04,-4.920000000000009,True
pigeonhole,97,192.104,189.22,175.232,147.60399999999998,218.612,132.7,-13.988,True
pigeonhole,98,1292.872,1130.312,1086.96,472.852,1404.628,432.404,-43.35199999999986,True
planted_3sat,1,1.552,1.256,3.012,0.96,4.8,1.256,1.756,False
planted_3sat,3,2.136,1.256,5.548,2.892,2.432,4.9319999999999995,4.292,False
planted_3sat,5,2.432,2.14,2.436,3.748,3.62,2.14,0.2959999999999998,False
planted_3sat,7,1.548,0.956,3.024,3.32,2.44,3.32,2.068,False
planted_3sat,9,3.896,1.252,10.752,7.94,5.548,10.136,9.5,False
planted_3sat,11,1.548,5.716,5.252,3.888,4.183999999999999,4.183999999999999,-0.4640000000000004,True
planted_3sat,13,2.14,2.14,11.684,2.14,3.172,4.492,9.543999999999999,False
planted_3sat,15,10.036,3.3440000000000003,3.3320000000000003,5.996,6.895999999999999,8.368,-0.01200000000000001,True
planted_3sat,17,6.008,5.271999999999999,6.324,3.9,2.732,4.196,1.0520000000000005,False
planted_3sat,19,11.692,4.516,3.176,6.640000000000001,10.724,6.640000000000001,-1.3399999999999999,True
planted_3sat,21,3.036,1.848,3.032,3.036,4.22,3.632,1.184,False
