dataset_id,family,decision_index,fingerprint,priority,H,B,S,V,predictors,R_variants,delta_variants,G_variants,weight
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,11,bae1858a3899ea79ce046548d46c666ee4c75e8b937fc31cf0ac2fe4bba53aa0,00c61a6fe8d66ed4d238b4fb1635fd742a78287e508147b0048db1facf010871,0.856974285894923,0.794637442626743,0.5647590359327936,0.7748303470291422,"[4.0, 0.3614457831325301, 0.6126834763899335, 1.695090946655731, 0.7499999998125, 0.7278737612390671, 1.0, 0.5858433734939759, 0.1539242093210992, 0.2627395239453749, 0.12499999987499999, 0.9918276250142634, 2.1, 1.1190361445783135, 0.1537609979048718, 0.1374048537327708, 0.009523809519274383, 0.9982848858496902]","{""HBSV"": 0.7388421381261887, ""HBV"": 0.8080678209115542, ""HSV"": 0.721128290514837, ""BSV"": 0.7032012137105635, ""HBS"": 0.7272214293221388}","{""HBSV"": -0.006106518429890073, ""HBV"": -0.004731297062125273, ""HSV"": -0.005094410024764406, ""BSV"": -0.005361422983145014, ""HBS"": -0.009111246892650304}","{""HBSV"": 0.31505890392280017, ""HBV"": 0.42780603825553626, ""HSV"": 0.29315569259992064, ""BSV"": 0.23862512127260274, ""HBS"": 0.32087507286712064, ""value_only"": 0.3689694068840549, ""response_only"": 0.4403029572583061}",0.0009689922480620155
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,25,bbd9ba9d9c4ebf35c8746a347a162b150271ae22bc0b6e69b01397b8468c86e7,00f42f5eeebb2a2308ce965eed7a43eb79cab391eea1822d673e39efc8bd0fc3,0.7851985560404309,0.7582845701037836,0.5541871918807176,0.8050766283524904,"[4.0, 0.7241379310344828, 0.8467606315730121, 1.1693361086526954, 0.0, 0.8310897394543717, 1.0, 0.5258620689655172, 0.18093182639495997, 0.34406707904759964, 0.12499999987499999, 0.9843610444632452, 3.12, 1.1786206896551723, 0.3388593863387426, 0.2875050379018692, 0.32692307681829386, 0.9923285918676152]","{""HBSV"": 0.7179204983360028, ""HBV"": 0.7826176595627771, ""HSV"": 0.7049490537322843, ""BSV"": 0.6968008002564821, ""HBS"": 0.6910180608507414}","{""HBSV"": 0.006780583634477533, ""HBV"": 0.0031307601690118148, ""HSV"": 0.008483234631776582, ""BSV"": 0.008202552124190632, ""HBS"": 0.006876963214387355}","{""HBSV"": 0.3716504257350081, ""HBV"": 0.5195517452532405, ""HSV"": 0.3678993619747549, ""BSV"": 0.358560345581729, ""HBS"": 0.33767494329787434, ""value_only"": 0.26789023440027326, ""response_only"": 0.6177975022264864}",0.0009689922480620155
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,28,9fec2d8edd4f54ff170080138aa06713c16311dee470ac33adb244c803756dd4,0a21ed39420d9aadb4c2969ddaa71d5aea23e3a690db72b81c9949afba74a649,0.7462686568272031,0.7258661615053414,0.5538461535905324,0.812283950617284,"[7.0, 1.288888888888889, 1.8211378887598113, 1.4129518091484252, 0.0, 0.7936786009228548, 0.875, 0.5055555555555555, 0.2023397094608257, 0.4002323915484263, 0.0, 0.9765158536902881, 2.1, 1.1360000000000001, 0.20628351579534632, 0.18158760177267488, 0.009523809519274383, 0.9964922077715552]","{""HBSV"": 0.7026065468784283, ""HBV"": 0.7605945485163002, ""HSV"": 0.6950201662889209, ""BSV"": 0.6886277542531891, ""HBS"": 0.669443042287265}","{""HBSV"": 0.03718620556840757, ""HBV"": 0.004245806223849291, ""HSV"": 0.04622292105474113, ""BSV"": 0.04602209497548759, ""HBS"": 0.04770325724729929}","{""HBSV"": 0.6965384834326174, ""HBV"": 0.43175773983299937, ""HSV"": 0.7557774756203529, ""BSV"": 0.7733568022147027, ""HBS"": 0.6938692571085718, ""value_only"": 0.20612630475408536, ""response_only"": 0.8983755018164103}",0.0009689922480620155
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,1,b8b4c8c4494a3c0f4f8e711988e4e95885480e9c28e03f69fd1e344b6bf0b169,12e69d912fecefd44f0c981bb8aada1b5c66e59511bf918be30560b1647d1bf3,0.908415625289936,0.8278736592402978,0.5946969694739583,0.7563509806691625,"[7.0, 0.10101010101010101, 0.717669481548752, 7.104927796993859, 0.8571428570204082, 0.2046623416422492, 1.0, 0.5984848484848485, 0.127218603210202, 0.21256779235047743, 0.0, 0.9953428097250102, 1.1600000000000001, 1.0955555555555556, 0.01897484896852218, 0.017319841841868258, 0.01724137929548158, 0.9999675597600773]","{""HBSV"": 0.7626353641001334, ""HBV"": 0.8285600922480294, ""HSV"": 0.7420523847910755, ""BSV"": 0.7194396814951612, ""HBS"": 0.7647417407383558}","{""HBSV"": -0.005103106520384704, ""HBV"": -0.0049304078548370045, ""HSV"": -0.004720050521133778, ""BSV"": -0.003629263526745752, ""HBS"": -0.007200080472060555}","{""HBSV"": 0.4532726734902992, ""HBV"": 0.534117212782404, ""HSV"": 0.395038494123447, ""BSV"": 0.32271542891073973, ""HBS"": 0.5063965916630605, ""value_only"": 0.49910118648437396, ""response_only"": 0.45416378667745055}",0.0009689922480620155
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,36,2d36cb36dad0275d1e7120483aac5e1662340306ab71ee80fbf4408c445e74b9,19a004a685c5de10ba50c0937173c3dadc93e853123c1fa5c06cafbd549acbaf,0.8351409978747972,0.7606798959465904,0.5575757573527272,0.794721398130489,"[12.0, 0.7272727272727273, 1.8711967856076281, 2.5728955766727575, 0.41666666663194446, 0.6019774777412967, 1.125, 0.5625, 0.20441388866412155, 0.3634024680901673, 0.11111111101234566, 0.9841881615138828, 5.08, 1.3075757575757578, 0.6626463488579176, 0.5067747275918357, 0.19291338578879666, 0.9793365392623414]","{""HBSV"": 0.7284003286120213, ""HBV"": 0.7962673036540825, ""HSV"": 0.71794779265827, ""BSV"": 0.6959428479062018, ""HBS"": 0.7075468608801343}","{""HBSV"": -0.004798276771296739, ""HBV"": -0.003606370179050633, ""HSV"": -0.004794443146940663, ""BSV"": -0.004212999884577129, ""HBS"": -0.006434644911434528}","{""HBSV"": 0.28142625865993753, ""HBV"": 0.3970965385742493, ""HSV"": 0.28265081692851163, ""BSV"": 0.22320095156472006, ""HBS"": 0.27164598332180634, ""value_only"": 0.3163556051502121, ""response_only"": 0.45838973569416225}",0.0009689922480620155
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,31,3b29c978929fabca4f38d92dcc7971cf8bc142ed4a4d51b1ddeb0613f203ce99,2429745cad926f73f90791297f39a853c0c43fd7d38e52f489c726e3e306226f,0.8811188811461685,0.8042704033963156,0.5540796961991292,0.764944064298903,"[7.0, 0.34408602150537637, 1.0316978766719125, 2.9983719453637265, 0.4285714285102041, 0.5560181692825125, 1.125, 0.6115591397849462, 0.15111855079691228, 0.24710373980012648, 0.11111111101234566, 0.9931324965404786, 5.12, 1.3316129032258064, 0.7097194513457081, 0.5329773007556845, 0.007812499998474128, 0.9789723397526208]","{""HBSV"": 0.7403032014567997, ""HBV"": 0.8153713072328884, ""HSV"": 0.7201320516168341, ""BSV"": 0.6985561719316143, ""HBS"": 0.732267248645942}","{""HBSV"": -0.001698392160222384, ""HBV"": -0.0019706052236502236, ""HSV"": -7.263597604434402e-05, ""BSV"": -0.0011460367775188995, ""HBS"": -0.003679504943078782}","{""HBSV"": 0.3781258565716948, ""HBV"": 0.5488972565949438, ""HSV"": 0.34276194921191877, ""BSV"": 0.26228261652431384, ""HBS"": 0.3997976770785672, ""value_only"": 0.376622700710615, ""response_only"": 0.5015993504077835}",0.0009689922480620155
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,42,f66812abd762e1d4e71d512f5195761c89d94ddadbdc1aa07b667d791f4b5ad5,2b946411563b7f7f93113550141bb92d93b658137c1b8babe34693e65fa44775,0.7950116914113071,0.7934786875168196,0.5882352938235296,0.8073039215686275,"[7.0, 0.7058823529411765, 1.5816858423233826, 2.2407216067837696, 0.4285714285102041, 0.5437190864620686, 0.875, 0.46691176470588236, 0.14319369186875328, 0.3066825520069546, 0.14285714269387756, 0.9864745421528404, 2.14, 1.271764705882353, 0.382257001538119, 0.30057211013128105, 0.018691588776312357, 0.9888172700266787]","{""HBSV"": 0.7398168704710242, ""HBV"": 0.7985742113954699, ""HSV"": 0.7227485326933708, ""BSV"": 0.7222836803088065, ""HBS"": 0.7185990190827883}","{""HBSV"": -0.007207382560337261, ""HBV"": -0.0142559534344886, ""HSV"": -0.0029565385173101477, ""BSV"": -0.0007309689491722393, ""HBS"": -0.011584019878036256}","{""HBSV"": 0.30655955126739826, ""HBV"": 0.1644544101500767, ""HSV"": 0.32299430640898674, ""BSV"": 0.36993669553999553, ""HBS"": 0.26465293836045967, ""value_only"": 0.3740681616088589, ""response_only"": 0.4252030851278725}",0.0009689922480620155
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,39,db00f464c3eb9ab6ba7db5f948488bec67e606bc947fe9b1e69fbae62a9c9338,37f1f53d387eb337291db00eb0db070cb5d9bc0867e14f412daf76c3fbb9f5ba,0.7980900409937663,0.7858374453134699,0.568047337015931,0.8073931623931624,"[7.0, 0.5128205128205128, 1.2784564986992728, 2.4929901676022515, 0.4285714285102041, 0.5561268093613385, 1.0, 0.483974358974359, 0.16305253002534492, 0.33690324015095235, 0.24999999974999998, 0.9842848825208438, 2.14, 1.2507692307692309, 0.3611334337914068, 0.2887290673760646, 0.018691588776312357, 0.9901848083207155]","{""HBSV"": 0.732341341951352, ""HBV"": 0.7970579403428015, ""HSV"": 0.7153311910604595, ""BSV"": 0.7116516132382186, ""HBS"": 0.7089077316257084}","{""HBSV"": -0.012272689582844887, ""HBV"": -0.009741941920179076, ""HSV"": -0.01091699616845443, ""BSV"": -0.010686223897015457, ""HBS"": -0.01742164768353227}","{""HBSV"": 0.21980839888255665, ""HBV"": 0.24502506715104208, ""HSV"": 0.21579033029168596, ""BSV"": 0.21972613687987624, ""HBS"": 0.18706604880845082, ""value_only"": 0.3357527296000505, ""response_only"": 0.3578969361819678}",0.0009689922480620155
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,13,a48a2499cbb9a5fa059759f11717e0ab6603acdff1fe44b43c4bc9862043c69a,3a498a5976426be8bb7de98b897cf4155630693778d76da8835f15baa708468e,0.8522815963804686,0.7807182982163686,0.5480769228713941,0.7773337168529476,"[4.0, 0.4358974358974359, 0.6522101201013797, 1.4962467426823638, 0.499999999875, 0.7626155061018808, 1.0, 0.5737179487179487, 0.16678989527253446, 0.29071758231467526, 0.0, 0.9900135100619439, 2.1, 1.1205128205128205, 0.15838849864273957, 0.14135357989826208, 0.009523809519274383, 0.9981579220586979]","{""HBSV"": 0.7296786222684694, ""HBV"": 0.8027155169411316, ""HSV"": 0.7134179696100676, ""BSV"": 0.6928636755888414, ""HBS"": 0.7144518992559792}","{""HBSV"": -0.0054739023782286456, ""HBV"": -0.005565119449874034, ""HSV"": -0.004553824009015162, ""BSV"": -0.004745234419004207, ""HBS"": -0.0070346446293581}","{""HBSV"": 0.2795863198748761, ""HBV"": 0.37586039963305834, ""HSV"": 0.2662724225624063, ""BSV"": 0.20797385329513834, ""HBS"": 0.29160816898864794, ""value_only"": 0.32258158179595586, ""response_only"": 0.4490322756051377}",0.0009689922480620155
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,40,8ff908b4ac925602d10957533f697b50578a6fa82614d57fb9c100e58219230f,43ea1d053294c6294c847838ce5e072b222a4d548d1545f180982d23930b3d42,0.8356331429762229,0.7517461490199503,0.5141129030330142,0.79417923026794,"[12.0, 0.967741935483871, 2.334646080351255, 2.4124676138700805, 0.16666666665277777, 0.6105406926414711, 1.25, 0.5604838709677419, 0.22081905758214626, 0.3939793250551468, 0.09999999992, 0.9816954135454019, 5.08, 1.3370967741935484, 0.6888311443840682, 0.5151692511444117, 0.19291338578879666, 0.9778124454998799]","{""HBSV"": 0.711649214572676, ""HBV"": 0.7931131145648151, ""HSV"": 0.6987646000224306, ""BSV"": 0.6745530033605952, ""HBS"": 0.6860911081331371}","{""HBSV"": -0.020692127378675984, ""HBV"": -0.003944825777986383, ""HSV"": -0.016566591038028933, ""BSV"": -0.03709860987762337, ""HBS"": -0.022816623492571297}","{""HBSV"": 0.09967511022253933, ""HBV"": 0.37121673087710677, ""HSV"": 0.12830016598110533, ""BSV"": 0.032403540257432625, ""HBS"": 0.10561631197308644, ""value_only"": 0.24124787553641633, ""response_only"": 0.2582681354245192}",0.0009689922480620155
