dataset_id,family,split,policy,n_vars,n_clauses,solved,sat,timeout,decisions,propagations,conflicts,learned_clauses,max_level,runtime_s,search_cost,structural_update_s,support_evaluation_s,gate_calculation_s,arbitration_s,structural_overhead_s,total_cost,activations,activation_rate,audit_max_abs_error
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,calibration,moms,100,160,1,1,0,43,245,17,17,20,0.04446829098742455,30.88,0.003313839,0.013997122,9.334e-06,0.000430503,0.017750797999999998,30.88,0,0.0,0.0
aim_aim-100-1_6-yes1-2,satlib_dimacs_aim,calibration,moms,100,160,1,1,0,34,232,11,11,15,0.03688470902852714,22.128,0.002894566,0.01155883,6.165e-06,0.000359164,0.014818725000000001,22.128,0,0.0,0.0
aim_aim-100-2_0-no-2,satlib_dimacs_aim,calibration,moms,100,199,1,0,0,71,281,24,23,28,0.08111387502867728,46.424,0.006085325,0.025449124,1.3006e-05,0.000682169,0.032229624000000005,46.424,0,0.0,0.0
aim_aim-100-2_0-no-4,satlib_dimacs_aim,calibration,moms,100,200,1,0,0,36,108,15,14,24,0.0443046250147745,26.231999999999996,0.002728331,0.013635666,6.462e-06,0.000379374,0.016749832999999995,26.231999999999996,0,0.0,0.0
dubois_dubois25,satlib_dimacs_dubois,calibration,moms,75,200,1,0,0,82,1909,54,53,26,0.14251758297905326,86.23599999999999,0.036977983,0.015697252,1.5048e-05,0.000497258,0.053187541,86.23599999999999,0,0.0,0.0
dubois_dubois30,satlib_dimacs_dubois,calibration,moms,90,240,1,0,0,97,2739,64,63,31,0.2119409169536084,104.056,0.053169488,0.021010451,1.7748e-05,0.000685286,0.07488297299999999,104.056,0,0.0,0.0
pigeon-hole_hole8,satlib_dimacs_pigeonhole,calibration,moms,72,297,0,0,1,2208,32216,2016,2016,34,30.00053354096599,7807.264,16.080910368,1.035324399,0.00067673,0.011207975,17.128119472,7807.264,0,0.0,1.0547118733938987e-14
flat30-60_flat30-10,satlib_graph_coloring_flat30,calibration,moms,90,300,1,1,0,13,77,0,0,13,0.01164266699925065,4.208,0.000708622,0.00282796,2.626e-06,8.4874e-05,0.003624082,4.208,0,0.0,0.0
flat30-60_flat30-100,satlib_graph_coloring_flat30,calibration,moms,90,300,1,1,0,10,80,0,0,10,0.010814124951139092,3.32,0.000585455,0.002783209,2.042e-06,8.1207e-05,0.0034519129999999996,3.32,0,0.0,0.0
flat30-60_flat30-17,satlib_graph_coloring_flat30,calibration,moms,90,300,1,1,0,12,173,2,2,10,0.014259250019676983,6.292,0.00148246,0.002948167,2.169e-06,8.6249e-05,0.004519044999999999,6.292,0,0.0,0.0
flat30-60_flat30-25,satlib_graph_coloring_flat30,calibration,moms,90,300,1,1,0,13,77,0,0,13,0.011127249919809401,4.208,0.00055329,0.00278925,2.376e-06,7.5749e-05,0.0034206650000000003,4.208,0,0.0,0.0
uf20-91_uf20-01,satlib_random_3sat_uf20,calibration,moms,20,91,1,1,0,10,64,4,4,6,0.007776999962516129,7.256,0.002017832,0.002071292,1.961e-06,3.4542e-05,0.004125627,7.256,0,0.0,0.0
uf20-91_uf20-0104,satlib_random_3sat_uf20,calibration,moms,20,91,1,1,0,7,11,0,0,7,0.0033019999973475933,2.144,0.000269918,0.001013251,1.459e-06,1.9042e-05,0.00130367,2.144,0,0.0,0.0
