case,alpha_rho,alpha_sigma,n_rho,m_sigma,q_star,void_mean_S_env,field_mean_S_env,filament_mean_S_env,cluster_mean_S_env,local_dense_mean_S_env,void_mean_max_R_LG_minus1_pct,cluster_mean_max_R_LG_minus1_pct,local_dense_mean_max_R_LG_minus1_pct,void_cluster_R_LG_contrast_pp,void_local_R_LG_contrast_pp,positive_void_cluster_contrast,strict_environment_ordering
baseline,0.15,1.0,0.75,2.0,1.0,0.9988209967712557,0.9607819724931429,0.5932841000927901,0.16065578172548745,0.0002132696904916127,1.4982314951567943,0.24098367258821685,0.00031990453573740006,1.2572478225685775,1.497911590621057,True,True
weaker_density,0.08,1.0,0.75,2.0,1.0,0.9988209967712557,0.9702348946786045,0.6729965974522701,0.2430330244849708,0.00039974327695924925,1.4982314951567943,0.36454953672743456,0.0005996149154388381,1.1336819584293598,1.4976318802413555,True,True
stronger_density,0.25,1.0,0.75,2.0,1.0,0.9988209967712557,0.9481544236559253,0.5087469806387734,0.10850199917280781,0.0001279819231987595,1.4982314951567943,0.16275299875920207,0.00019197288479812788,1.3354784963975923,1.4980395222719962,True,True
soft_density_power,0.15,1.0,0.5,2.0,1.0,0.9988209967712557,0.952782297670706,0.6425115124140663,0.32039811523329004,0.006622567485298575,1.4982314951567943,0.4805971728499065,0.009933851227947271,1.0176343223068878,1.4882976439288471,True,True
linear_density_power,0.15,1.0,1.0,2.0,1.0,0.9988209967712557,0.9660510331608096,0.5358478864680745,0.06489726122083764,6.807522281777194e-06,1.4982314951567943,0.09734589183125068,1.0211283422665184e-05,1.4008856033255437,1.4982212838733717,True,True
weaker_tidal,0.15,0.4,0.75,2.0,1.0,0.9995267664902621,0.9710978286796201,0.6520674745477925,0.17168819224979745,0.000213292047244018,1.499290149735304,0.25753228837468084,0.000319938070866008,1.241757861360623,1.498970211664438,True,True
stronger_tidal,0.15,1.8,0.75,2.0,1.0,0.9978873253925457,0.9477403739760611,0.5320217315543573,0.1481328062510321,0.00021323988899823144,1.4968309880887294,0.22219920937653495,0.0003198598334973281,1.2746317787121944,1.4965111282552321,True,True
linear_tidal_power,0.15,1.0,0.75,1.0,1.0,0.9734741552771586,0.8765337944025584,0.5210791903410437,0.15636580843237394,0.00021326535595230252,1.4602112329156511,0.234548712648547,0.00031989803392843476,1.225662520267104,1.4598913348817226,True,True
sharp_tidal_power,0.15,1.0,0.75,3.0,1.0,0.9999242777717982,0.9748036698963108,0.6357402767079247,0.16412025620651888,0.0002132735148761186,1.4998864166576082,0.24618038430976366,0.0003199102723141588,1.2537060323478446,1.499566506385294,True,True
density_only,0.15,0.0,0.75,2.0,1.0,1.0,0.9782630700203896,0.7002666041979587,0.18002839327488804,0.0002133069544285971,1.4999999999999105,0.270042589912316,0.0003199604316428766,1.2299574100875945,1.4996800395682677,True,True
tidal_only,0.0,1.0,0.75,2.0,1.0,0.9988209967712557,0.9817392083407732,0.7988801721545028,0.6175922049701006,0.5560892141612274,1.4982314951567943,0.9263883074550958,0.8341338212417914,0.5718431877016985,0.664097673915003,True,True
