feature,permutation_importance_mean,permutation_importance_std,rf_builtin_importance
dpdt_norm0,0.7927200927686471,0.0349478012270549,0.446395580013047
damping_pressure,0.31977796188790414,0.006562062098412864,0.14551493883625768
channel_conflict,0.11156266000031884,0.005184745181358559,0.030316763686374922
pointer_alignment_loss,0.06383321024681521,0.0027845144204561192,0.05006381805414733
V_align,0.05397284811302069,0.0021841324640440116,0.046235234320002455
coherence_exposure,0.04564493256454868,0.0010396758399626113,0.029047543439045323
purity_decay_pressure,0.043778269047585805,0.0014120473999277552,0.09088167648832406
decoherence_pressure,0.04241673644912917,0.0008427992722872676,0.02827847801455493
B_stat,0.029803472069258614,0.0011446089613521102,0.022142868366777115
lindblad_norm0,0.021977407803043986,0.0009970791712576505,0.01615902151113835
H_stationarity,0.019915557484162072,0.0007012164497447706,0.015587009975223146
transverse_hamiltonian_pressure,0.018456719004556588,0.00078026678446298,0.013921201959772325
excitation_pressure,0.014509251596338646,0.0005025413486459317,0.01246548228031599
F_scalar_stat,0.013801109925334712,0.0003005107358959424,0.027104016787028236
R_rob_stat,0.006890920963463276,0.00020660834770347213,0.01413676860205071
R_resp_stat,0.00629729796523291,0.00016412860511586994,0.011749597665940293
S_coh,0.0,0.0,0.0
