feature_set,held_out_family,n_test,r2,rmse,spearman
rates_only,amplitude_damping,603,-0.0386033054405901,0.21108269602689222,0.12475958199366416
rates_only,depolarizing,609,0.07141134537452531,0.054746718301297424,0.28710466811460533
rates_only,mixed_zx,604,-0.2196765369321676,0.06799881526114236,0.4432637861537912
rates_only,thermal_relaxation,594,0.05712143036048756,0.11129725914177774,0.3119762249015299
rates_only,x_dephasing,580,-0.27449605641293284,0.07006317932844516,0.4667176939207352
rates_only,z_dephasing,610,-1.0990496690502547,0.10017263810969969,0.46059167490195957
rates_only,ALL_LFO,3600,0.0005710698800776015,0.11524303283639374,0.23237519745693397
standard_quantum_baseline,amplitude_damping,603,0.8199714300307608,0.087881709867026,0.9421305060799718
standard_quantum_baseline,depolarizing,609,0.8260057675976209,0.023698116539555687,0.9079487688979372
standard_quantum_baseline,mixed_zx,604,0.7607471946524198,0.030116710260451658,0.8780253948907968
standard_quantum_baseline,thermal_relaxation,594,0.30604913774210685,0.09548187675213372,0.8357836016004846
standard_quantum_baseline,x_dephasing,580,0.06456686459009431,0.06002428115355719,0.547824827475501
standard_quantum_baseline,z_dephasing,610,-0.04079222254443393,0.07053745282707624,0.5713721877030875
standard_quantum_baseline,ALL_LFO,3600,0.6637229795678059,0.06684783033985367,0.8105367991669342
state_geometry_only,amplitude_damping,603,-0.10530103215074771,0.217754967005665,0.009629198838703449
state_geometry_only,depolarizing,609,-0.16957823419913387,0.061441391574522386,0.7367316363654147
state_geometry_only,mixed_zx,604,0.005194292287461377,0.06141127944938313,0.4882514319139815
state_geometry_only,thermal_relaxation,594,-0.5243397154480303,0.14151336868822273,-0.051015604770192596
state_geometry_only,x_dephasing,580,-0.9821816348786381,0.08737603172373176,0.04439955590296054
state_geometry_only,z_dephasing,610,-2.6334681499036345,0.1317948476873757,-0.12759081962983673
state_geometry_only,ALL_LFO,3600,-0.2560656014741469,0.12919475473726924,0.008713329251909834
scalar_pop_balance,amplitude_damping,603,0.48168506408598255,0.1491161369483135,0.8339426085187561
scalar_pop_balance,depolarizing,609,-0.14305047550383554,0.06074060438831437,0.7244761878804667
scalar_pop_balance,mixed_zx,604,0.03477341788117527,0.06049140173710985,0.6404561397489592
scalar_pop_balance,thermal_relaxation,594,0.4719298825122846,0.0832918259628346,0.7065977415545909
scalar_pop_balance,x_dephasing,580,-0.7163424208623377,0.08130599353670652,0.12768421439940647
scalar_pop_balance,z_dephasing,610,-1.4515861907067413,0.10825833338028235,0.19783432818806515
scalar_pop_balance,ALL_LFO,3600,0.31082465077253496,0.09569816012603323,0.5603849278181631
scalar_stationarity,amplitude_damping,603,0.6428579571892059,0.12377937101552305,0.9209862105469919
scalar_stationarity,depolarizing,609,-0.5606852857785527,0.07097478286748814,0.7614050140897749
scalar_stationarity,mixed_zx,604,-0.007424387962362333,0.0617995398631846,0.6730838718671978
scalar_stationarity,thermal_relaxation,594,0.4596409347228928,0.08425541222449863,0.7180258091278822
scalar_stationarity,x_dephasing,580,0.026494731347970868,0.06123359338620805,0.3560898280582449
scalar_stationarity,z_dephasing,610,-0.11692414663441375,0.07307176435153719,0.35597176478549536
scalar_stationarity,ALL_LFO,3600,0.4928390002966462,0.08209404315564742,0.7283617078330206
defect_field_stationary,amplitude_damping,603,0.7797433259517355,0.09720583176471716,0.9215944216783237
defect_field_stationary,depolarizing,609,0.8335742769723349,0.02317696851761444,0.9195985476693429
defect_field_stationary,mixed_zx,604,0.7219873135101575,0.03246469436718241,0.8650455238448443
defect_field_stationary,thermal_relaxation,594,0.4529848037580152,0.08477275210355727,0.7589732689028392
defect_field_stationary,x_dephasing,580,0.38462723898116846,0.04868438936883589,0.685807094223393
defect_field_stationary,z_dephasing,610,0.4212204852958793,0.0526010398178193,0.6422290048933302
defect_field_stationary,ALL_LFO,3600,0.7075032975256623,0.062344652396835676,0.8286152768993269
