feature_set,model,n_features,r2,rmse,spearman
standard_quantum_baseline,rf,12,0.9011349619992381,0.03624600028394483,0.9240648053547947
defect_field_stationary,rf,17,0.8527471296041496,0.04423546585706225,0.8856001184876635
scalar_stationarity,rf,7,0.6457387973229028,0.06861206921297519,0.7718544148017716
scalar_pop_balance,rf,7,0.45609206607779873,0.08501614683011388,0.622132896237929
rates_only,rf,6,0.16408453243828425,0.10539497408367375,0.4646364208824399
state_geometry_only,rf,6,0.0007891401051297597,0.11523045943354032,0.2944902912415348
shuffled_defect_null,rf,17,-0.026110379629081026,0.11677096587201807,-0.0002742665463683038
standard_quantum_baseline,ridge,12,0.7170794912837688,0.0613155934316492,0.8292487440263949
defect_field_stationary,ridge,17,0.6576592754851004,0.06744783337933731,0.7775271747063149
scalar_stationarity,ridge,7,0.6026669592343841,0.07266345789671794,0.7449142375191027
scalar_pop_balance,ridge,7,0.3734500621953383,0.09124657382363827,0.5743221420516056
rates_only,ridge,6,0.13536249161192815,0.10719036665148639,0.4043674303781454
state_geometry_only,ridge,6,0.053207201490316436,0.11216728131559363,0.33385604685103243
