score,spearman_rho,p_value
F_maat,-0.3771438857143697,1.0273489413802543e-118
R_rob,0.4305639873813168,5.6343848958041424e-158
H,0.159314340235573,2.4845714411965563e-21
B,0.03293926239737419,0.05134970447571577
S,0.03293926239737419,0.05134970447571577
V,0.603448095815005,0.0
gamma_z,-0.061439905377018524,0.0002758623469838027
gamma_x,-0.11071305020398077,5.1087565364365297e-11
gamma_m,-0.06987001424011778,3.5165268148182843e-05
basis_z,0.03293926239737419,0.05134970447571577
basis_x,0.07681505196157859,5.376346101527166e-06
offdiag,-0.03293926239737419,0.05134970447571577
channel_conflict,-0.12404769451118207,1.7767968352524085e-13
damping_pressure,-0.0040481501613650285,0.8107898263641509
coherence_exposure,-0.08893640870617915,1.3633824325741762e-07
x_exposure,-0.08115186547012314,1.5304027950780264e-06
