feature,permutation_importance_mean,permutation_importance_std,rf_builtin_importance
V,1.4251896646333233,0.02529323838408731,0.5666509004870399
damping_pressure,0.2855309426318297,0.005540162973088975,0.14610484870133264
S,0.15504696423137507,0.004442005647764859,0.04348535509825752
B,0.15437466628803773,0.004496729292178741,0.04326858332521088
x_exposure,0.1272942740664272,0.006388920585896331,0.06476106633684268
channel_conflict,0.0684462478910592,0.002259110466196613,0.036518214831895185
coherence_exposure,0.05974693327985995,0.0016505556111809263,0.03258248232800753
H,0.04379591989938871,0.001964492336336062,0.027429583089579657
F_maat,0.02086353444201471,0.0006922173496811433,0.015725666179939087
R_resp,0.015439763041374704,0.0005779321938476469,0.012047552281248958
R_rob,0.015406448794190017,0.0005581543380789726,0.011425747340646043
