feature_set,held_out_family,n_test,r2,rmse,spearman
density_only,graph_coloring,72,-3.6969251120791213,1.6867931269456176,0.19105750613645256
density_only,modular_3sat,72,-0.014721789649714712,0.5103052531949724,0.3825494533948078
density_only,pigeonhole,5,-5.340467059009937,6.142848490267641,0.7999999999999999
density_only,planted_3sat,96,-0.31045670105342205,0.8432068630639381,0.3259147282737803
density_only,random_3sat,96,-0.0757337553094859,0.8928137779399811,0.3344071955535406
density_only,xor3_cnf,54,-0.09115667064576383,0.5989436217646589,0.019557818901381658
density_only,ALL_LFO,395,-0.522766904917014,1.2080244922972676,0.017139437945192335
standard_graph,graph_coloring,72,-20.019978983719284,3.5683803861842565,0.2508341306877656
standard_graph,modular_3sat,72,0.14501972853409806,0.46841909718970964,0.3855553411794971
standard_graph,pigeonhole,5,-4.9597415701263055,5.955563952126777,0.9999999999999999
standard_graph,planted_3sat,96,-0.38976377696244047,0.8683469610365604,0.31853851424033147
standard_graph,random_3sat,96,0.009885383348838483,0.8565470454413043,0.47372651155491996
standard_graph,xor3_cnf,54,0.03371111833644469,0.5636323083572127,0.3233270437242694
standard_graph,ALL_LFO,395,-2.3547475865672394,1.793035752665798,-0.017134209406351936
scalar_structural,graph_coloring,72,-2.657258861934543,1.4884452185819794,-0.1410528516253275
scalar_structural,modular_3sat,72,0.0583455449113125,0.49158919500834963,0.3698951701074025
scalar_structural,pigeonhole,5,-5.310067443106144,6.128104733660215,0.8999999999999998
scalar_structural,planted_3sat,96,-0.29504329924272277,0.8382333569277086,0.33130311519423983
scalar_structural,random_3sat,96,-0.06246639473491866,0.8872910209721423,0.3287517931102501
scalar_structural,xor3_cnf,54,0.019440097093270436,0.5677791671776826,0.3172921154019252
scalar_structural,ALL_LFO,395,-0.387219536870961,1.1530061481441596,0.02987808083684185
graph_local_structural,graph_coloring,72,-9.90827042458265,2.5705908230875676,-0.19429813171689048
graph_local_structural,modular_3sat,72,0.017282194678342022,0.5021933509623727,0.3716316161811049
graph_local_structural,pigeonhole,5,-4.731403916925292,5.840360924667355,0.39999999999999997
graph_local_structural,planted_3sat,96,-0.29774614979627945,0.8391076283121061,0.3326528259220973
graph_local_structural,random_3sat,96,-0.04629025852200508,0.8805105752390455,0.3419504271263122
graph_local_structural,xor3_cnf,54,0.17591108129236532,0.5205104171051519,0.4698101700083861
graph_local_structural,ALL_LFO,395,-1.1691899984394163,1.4418092966230676,-0.03731446670260575
v14_defect_field,graph_coloring,72,-2.427985225703665,1.441034822332717,-0.007460526742771192
v14_defect_field,modular_3sat,72,-0.3431792390065085,0.5871154799135383,0.3160974982313976
v14_defect_field,pigeonhole,5,-4.473933453010105,5.707671046584517,0.9999999999999999
v14_defect_field,planted_3sat,96,-0.24429144548285975,0.8216443106953321,0.36231254960511594
v14_defect_field,random_3sat,96,-0.03517196853162563,0.8758197552538152,0.4502660413280141
v14_defect_field,xor3_cnf,54,-0.14838716673407792,0.6144500072763783,0.1501458004046352
v14_defect_field,ALL_LFO,395,-0.3104328333283397,1.1206407423920013,0.010879164325674665
