feature_set,model,n_features,r2,rmse,spearman
standard_graph,rf,12,0.2741537277214747,0.8340293810976775,0.42544195570736293
v14_defect_field,rf,30,0.262076790470954,0.8409392242302582,0.3984319423315504
graph_local_structural,rf,13,0.25730549780489753,0.8436535325453025,0.41700127176456714
scalar_structural,rf,7,0.10622730862907603,0.9254917788750675,0.34003916249983573
shuffled_v14_null,rf,30,-0.06090657487518274,1.008242323502308,-0.006970885437970186
density_only,rf,4,-0.08941814531067016,1.0217774811932316,0.25028994055159204
v14_defect_field,ridge,30,0.20940021008625698,0.8704370573911048,0.28838878530780937
scalar_structural,ridge,7,0.197811342778357,0.8767934226099853,0.1289426212824191
graph_local_structural,ridge,13,0.1618402266015777,0.8962360967494949,0.3004895750514728
standard_graph,ridge,12,0.12650674804970008,0.9149319673414031,0.35913402062318583
density_only,ridge,4,0.045659120544996656,0.9563366252792582,0.34905784042446336
