feature,importance_mean,importance_std
frust_tail_mass,0.17977434998009065,0.016213978569264213
H,0.1046353886513866,0.008293333496871847
R_rob,0.06899303702929228,0.005144050810811388
F_struct_scalar,0.057549183157356264,0.0033934413295504755
frust_mean,0.053729490451162175,0.003400062892098965
frust_q75,0.05091388694349518,0.004700004889681645
F_mean,0.04391011360791577,0.0025464929629974093
S,0.04128912184424768,0.003301493912872046
R_var,0.030025935110793944,0.0028933043407589456
R_resp,0.029051926439084507,0.0021484945167919633
F_struct_multi,0.027059156782752215,0.0026734475768203933
F_scale,0.024621485013278765,0.0023435282695708636
B,0.019839244235133502,0.0014542898402196678
frust_std,0.01798353089998155,0.001036215022734625
frust_gini,0.017647353611043026,0.0009012397485331085
frust_q90,0.01702921618088099,0.0010605077955667896
frust_max,0.016484385701852844,0.0008685483142049426
F_tail,0.0148505562684913,0.0010712449223224635
frust_q95,0.01365937827833911,0.00046634567412751483
density_peak,0.011826020191689249,0.0008346511463376372
R_sat,0.011254167804433121,0.0015061496578428204
frust_q99,0.009585943096054409,0.0006282123222261451
R_tail,0.008573183584481123,0.0007191013285109392
hotspot_fraction,0.008434834827808999,0.0007388968971559405
frust_tail95_mean,0.0074477812501306155,0.0006156064694269256
V,0.004476837895523038,0.00045251029428620856
hotspot_cluster_frac,0.0036703453491923796,0.0003678397784881202
F_cluster,0.002805635958625078,0.0002234693596238354
R_cluster,0.0022881026642460056,0.00029986349041482543
hotspot_edge_density,0.0021090282365752813,0.00019470166384607886
