instance_id,family,n_vars,n_clauses,alpha,sat_glucose,sat_minisat,timeout_glucose,timeout_minisat,conflicts_glucose,decisions_glucose,propagations_glucose,conflicts_minisat,decisions_minisat,propagations_minisat,cdcl_hardness,solve_time_s,degree_cv,max_degree_norm,literal_imbalance,mean_var_graph_degree,clustering_mean,component_frac,largest_component_frac,expansion_defect,backdoor_density,propagation_depth_mean,contradiction_rate_mean,covariance_condition_log,H,B,S,V,R_resp,R_rob,F_struct_scalar,density_peak,frust_mean,frust_std,frust_q75,frust_q90,frust_q95,frust_q99,frust_max,frust_tail95_mean,frust_tail_mass,frust_gini,hotspot_fraction,hotspot_cluster_frac,hotspot_edge_density,R_tail,R_var,R_cluster,R_sat,F_mean,F_tail,F_cluster,F_scale,F_struct_multi
0,random_3sat,24,86,3.5833333333333335,1,1,0,0,20,35,182,22,30,188,3.299533727885655,0.0006089160451665521,0.2688704681304093,1.3953488370795024,0.2940138564794608,14.75,0.6798260570046507,0.041666666666666664,1.0,0.16695340708837947,0.2916666666666667,0.0,0.0,7.2082892816046815,0.6980815672614218,0.6398426193503616,0.6150113851178267,0.96,0.7540790167456224,0.7166109350992694,1.6661110655922808,0.4796882254460685,0.5607766798119032,0.07395638168948844,0.6104449851046481,0.6470431026482711,0.6522277073835839,0.6833789040109923,0.6924958940490823,0.6726763504880171,0.0999620072562674,0.07227106814263394,0.125,0.125,0.6666666664444444,0.5978442869167379,0.8724271959692302,0.5581395349529475,0.5581395349529475,0.5607766798119032,0.7521897146398513,0.7916666664444444,7.375242688693061,3.948443733069464
1,planted_3sat,24,86,3.5833333333333335,1,1,0,0,6,14,71,6,14,71,2.209372711271867,0.00031849998049438,0.32252161334542,1.6744186044954028,0.23630085189779548,14.083333333333334,0.6644769277902095,0.041666666666666664,1.0,0.1701160413490007,0.25,0.0,0.0,7.354536038002559,0.6938314817778467,0.6415098719044794,0.6428665355052275,0.96,0.7531986382679945,0.7239562960449886,1.6151212580073084,0.4796882254460685,0.5469317095130829,0.11188992160822993,0.6279872616914935,0.683849908485909,0.7126014782704452,0.7624539121638673,0.776418110489276,0.7460611576079528,0.11367372205317797,0.11591608302594454,0.125,0.125,0.9999999996666666,0.5727176254066425,0.814460913389938,0.4705882353679354,0.4705882353679354,0.5469317095130829,0.8262752003236231,1.1249999996666666,7.52465207935156,4.379369929341262
2,random_3sat,24,86,3.5833333333333335,1,1,0,0,3,16,51,3,16,51,1.8099267731835038,0.00014904094859957695,0.3605276264543225,1.7674418603007032,0.2420638872379979,13.416666666666666,0.6380559459503762,0.041666666666666664,1.0,0.16601845415549266,0.25,0.0,0.0,7.391564801222851,0.6927635844268786,0.6239893269470967,0.6636813181702843,0.96,0.7458952045056552,0.7244330567781437,1.6118295964875071,0.4796882254460685,0.5441211693047956,0.1282026633819859,0.6505418296369632,0.6910596944005295,0.7690744799523069,0.7871846397944984,0.7892450569116026,0.7847658892657239,0.12018859240003124,0.133431075524311,0.125,0.125,0.9999999996666666,0.5602975751690398,0.792623064176212,0.4705882353679354,0.4705882353679354,0.5441211693047956,0.8892630723523381,1.1249999996666666,7.557583255378344,4.447780055168386
3,planted_3sat,24,86,3.5833333333333335,1,1,0,0,0,9,25,0,9,25,0.7654678421395714,8.216593414545059e-05,0.262079713221775,1.4883720928848025,0.2847211815646851,14.666666666666666,0.6682183281466753,0.041666666666666664,1.0,0.17552418368709444,0.2916666666666667,0.0,0.0,7.172654612850301,0.6991250493774279,0.646495617742743,0.637122125533955,0.96,0.7570604533235327,0.7251094951571442,1.6071630316727898,0.4796882254460685,0.5571769855002131,0.08458783427312332,0.601041198266423,0.6845717844657986,0.7071228738591726,0.7127153052811298,0.7140931451741647,0.7110978410588715,0.10635427334447671,0.084788937471195,0.125,0.125,0.6666666664444444,0.5844201167252798,0.8551563740301897,0.5581395349529475,0.5581395349529475,0.5571769855002131,0.8134771472036493,0.7916666664444444,7.348178796537395,3.9993654982826556
4,random_3sat,24,86,3.5833333333333335,0,0,0,0,19,21,158,19,22,162,3.1675825304806504,0.00011541706044226885,0.3099806049809662,1.7674418603007032,0.21256442929970534,14.0,0.6551452442519415,0.041666666666666664,1.0,0.16839343451875532,0.25,0.0,0.0,7.3184285278354855,0.6948759857533102,0.6567950224687124,0.6449378543679559,0.96,0.7595146052959728,0.7290907096989869,1.5797856150754606,0.4796882254460685,0.5407846724626824,0.11077622153970546,0.5995207261798661,0.6818047476969841,0.7121854471045418,0.7904287491373093,0.8135784227379964,0.7632530453451984,0.11761505767329546,0.11117051018330695,0.125,0.125,0.6666666664444444,0.5671335731646086,0.8183662790193357,0.5581395349529475,0.5581395349529475,0.5407846724626824,0.8298005047778373,0.7916666664444444,7.486821962354241,4.033957334273524
5,planted_3sat,24,86,3.5833333333333335,1,1,0,0,2,17,43,2,17,43,1.6351056591826783,8.520798292011023e-05,0.2806801083495751,1.7674418603007032,0.2751298408885516,13.416666666666666,0.6288046809333291,0.041666666666666664,1.0,0.16997064946124973,0.2916666666666667,0.0,0.0,7.244551681572253,0.6970228962797363,0.6427520279644025,0.6404152043146559,0.96,0.754838270646952,0.7244457046388418,1.6117423023611337,0.4796882254460685,0.5493466702823493,0.09362874009054896,0.5976547794517395,0.6548414587280248,0.7082766466459643,0.7755346161130443,0.7937745652688948,0.7541225018866113,0.11439687399364387,0.09398913192014696,0.125,0.08333333333333333,0.3333333332222222,0.5700856119937291,0.8420216835461987,0.7058823529965399,0.5700856119937291,0.5493466702823493,0.8226735206396082,0.4166666665555555,7.414522331033503,3.6423174402358884
6,random_3sat,24,86,3.5833333333333335,1,1,0,0,5,18,66,5,18,66,2.135349173618132,0.000106374965980649,0.24939082078525684,1.3953488370795024,0.28524762271905457,14.416666666666666,0.6536424059175777,0.041666666666666664,1.0,0.16644041300251633,0.2916666666666667,0.0,0.0,7.207246705504723,0.6981120525508046,0.6516192815530694,0.6231418082574322,0.96,0.7586883789361117,0.7222612188974976,1.6268420254809068,0.4796882254460685,0.5550958853966041,0.09626955735286213,0.6183239995167646,0.6615303362108208,0.6677156094331502,0.6992024219782097,0.7082912954662872,0.6885328748400319,0.10336545644668325,0.09408443803825375,0.125,0.125,0.9999999996666666,0.5922301039562158,0.8400862297029793,0.4705882353679354,0.4705882353679354,0.5550958853966041,0.7710810658798335,1.1249999996666666,7.373687118507239,4.294598730569914
7,planted_3sat,24,86,3.5833333333333335,1,1,0,0,8,19,84,8,19,84,2.4630018143999504,0.00010358402505517006,0.2895325487635024,1.6744186044954028,0.2831182705890607,14.75,0.6618412497009034,0.041666666666666664,1.0,0.18589858187814856,0.2916666666666667,0.0,0.0,7.2462309361344,0.6969739486825887,0.6358690611382412,0.6409420152463136,0.96,0.7521165714790001,0.722634270071223,1.6242601696709178,0.4796882254460685,0.555899841538261,0.10595275667707019,0.6309784420871241,0.6755715533698113,0.7162744299572528,0.7725733419314355,0.7880849698371724,0.7543640396073097,0.11308452578185746,0.10704298600892388,0.125,0.125,0.9999999996666666,0.570007123620612,0.8244052017739588,0.4705882353679354,0.4705882353679354,0.555899841538261,0.8293589557391102,1.1249999996666666,7.432129518012548,4.368291176447174
8,random_3sat,24,86,3.5833333333333335,1,1,0,0,4,11,58,3,11,52,1.8164520818184264,8.520798292011023e-05,0.24501520353192274,1.4883720928848025,0.23499833497374767,14.083333333333334,0.6397207571761375,0.041666666666666664,1.0,0.1722136271520347,0.2916666666666667,0.0,0.0,7.113978709657668,0.7008500569652225,0.6756694948950757,0.6244058289958587,0.96,0.7689124376593017,0.7299185512980184,1.5741116162242015,0.4796882254460685,0.5429577805361626,0.0850987771230713,0.6150118079656377,0.6492670586666004,0.6589020646151877,0.6659644789465121,0.6675893340865529,0.6640570403038557,0.1019196863393242,0.08949986050324217,0.125,0.125,0.6666666664444444,0.6009409387898149,0.851354639760905,0.5581395349529475,0.5581395349529475,0.5429577805361626,0.760821750954512,0.7916666664444444,7.286192336809703,3.9169942821375443
9,planted_3sat,24,86,3.5833333333333335,1,1,0,0,5,16,72,5,16,72,2.1186622548331173,8.849997539073229e-05,0.3258581326361016,1.7674418603007032,0.2626969492800866,13.916666666666666,0.6498066092890152,0.041666666666666664,1.0,0.1800362413735257,0.25,0.0,0.0,7.2999217400638585,0.6954125628487939,0.6295028805634829,0.6620746224452575,0.96,0.7490379623775566,0.7262808732880253,1.5990922988848326,0.4796882254460685,0.550010381214277,0.11674826173252077,0.5948432855143209,0.7203732108714669,0.7702412127703815,0.8122237955965,0.8230480549020698,0.7995170564117009,0.12113666148537218,0.11789065992784187,0.125,0.125,0.9999999996666666,0.5557046522215435,0.8099534061790177,0.4705882353679354,0.4705882353679354,0.550010381214277,0.8913778742557537,1.1249999996666666,7.479957981437384,4.436377750496043
