family,instance_id,policy,n_vars,n_clauses,alpha,solved,sat,timeout,decisions,propagations,conflicts,learned_clauses,max_level,runtime_s,compute_cost
random_3sat,0,vsids,18,70,3.888888888888889,1,1,0,13,77,7,7,5,0.00209349999204278,11.208
random_3sat,0,progress_only,18,70,3.888888888888889,1,1,0,11,38,3,3,7,0.0015446250326931477,6.452
random_3sat,0,maat_only,18,70,3.888888888888889,1,1,0,10,22,2,2,6,0.0012677920749410987,5.088
random_3sat,0,mode_a,18,70,3.888888888888889,1,1,0,7,34,2,2,5,0.0011192919919267297,4.236
random_3sat,0,random,18,70,3.888888888888889,1,1,0,7,32,2,2,4,0.0011940839467570186,4.228
planted_3sat,1,vsids,18,70,3.888888888888889,1,1,0,6,65,5,5,3,0.0013664590660482645,7.06
planted_3sat,1,progress_only,18,70,3.888888888888889,1,1,0,7,70,6,6,4,0.0015365829458460212,8.379999999999999
planted_3sat,1,maat_only,18,70,3.888888888888889,1,1,0,5,18,1,1,5,0.000831125071272254,2.572
planted_3sat,1,mode_a,18,70,3.888888888888889,1,1,0,8,53,4,4,5,0.0014982499415054917,6.612
planted_3sat,1,random,18,70,3.888888888888889,1,1,0,15,37,3,3,9,0.001938291941769421,7.648
random_3sat,2,vsids,18,70,3.888888888888889,1,0,0,10,101,11,10,4,0.0022529999259859324,14.404
random_3sat,2,progress_only,18,70,3.888888888888889,1,0,0,10,98,11,10,4,0.002125167055055499,14.392
random_3sat,2,maat_only,18,70,3.888888888888889,1,0,0,15,113,14,13,6,0.0029285410419106483,18.952
random_3sat,2,mode_a,18,70,3.888888888888889,1,0,0,13,106,14,13,4,0.0028084160294383764,18.323999999999998
random_3sat,2,random,18,70,3.888888888888889,1,0,0,20,117,14,13,6,0.0033494170056656003,20.468
planted_3sat,3,vsids,18,70,3.888888888888889,1,1,0,11,10,1,1,8,0.0010327919153496623,4.34
planted_3sat,3,progress_only,18,70,3.888888888888889,1,1,0,9,11,1,1,7,0.0009189579868689179,3.7439999999999998
planted_3sat,3,maat_only,18,70,3.888888888888889,1,1,0,8,7,0,0,8,0.0008342500077560544,2.428
planted_3sat,3,mode_a,18,70,3.888888888888889,1,1,0,9,10,1,1,7,0.000983458012342453,3.7399999999999998
planted_3sat,3,random,18,70,3.888888888888889,1,1,0,9,8,0,0,9,0.0010591249447315931,2.7319999999999998
random_3sat,4,vsids,18,70,3.888888888888889,1,1,0,4,12,0,0,4,0.0005965830059722066,1.248
random_3sat,4,progress_only,18,70,3.888888888888889,1,1,0,4,12,0,0,4,0.0005949999904260039,1.248
