family,instance_id,policy,n_vars,n_clauses,alpha,solved,sat,timeout,decisions,propagations,conflicts,learned_clauses,max_level,structure_gate,runtime_s,compute_cost
random_3sat,0,vsids,18,70,3.888888888888889,1,1,0,5,19,1,1,5,0.580322125399714,0.0009115409338846803,2.576
random_3sat,0,progress_only,18,70,3.888888888888889,1,1,0,5,19,1,1,5,0.580322125399714,0.0008896250510588288,2.576
random_3sat,0,maat_only,18,70,3.888888888888889,1,1,0,9,37,3,3,6,0.580322125399714,0.0016779160359874368,5.847999999999999
random_3sat,0,mode_a,18,70,3.888888888888889,1,1,0,6,21,1,1,6,0.580322125399714,0.0009930420201271772,2.884
random_3sat,0,mode_a_gated,18,70,3.888888888888889,1,1,0,4,24,1,1,3,0.580322125399714,0.000724292011000216,2.2960000000000003
random_3sat,0,random,18,70,3.888888888888889,1,1,0,4,12,0,0,4,0.580322125399714,0.0006154590519145131,1.248
planted_3sat,1,vsids,18,70,3.888888888888889,1,1,0,4,14,0,0,4,0.6014927534462027,0.0006034169346094131,1.256
planted_3sat,1,progress_only,18,70,3.888888888888889,1,1,0,3,15,0,0,3,0.6014927534462027,0.0005250830436125398,0.96
planted_3sat,1,maat_only,18,70,3.888888888888889,1,1,0,5,13,0,0,5,0.6014927534462027,0.0007970830192789435,1.552
planted_3sat,1,mode_a,18,70,3.888888888888889,1,1,0,4,14,0,0,4,0.6014927534462027,0.0006488750223070383,1.256
planted_3sat,1,mode_a_gated,18,70,3.888888888888889,1,1,0,10,3,0,0,10,0.6014927534462027,0.0011695839930325747,3.012
planted_3sat,1,random,18,70,3.888888888888889,1,1,0,16,0,0,0,16,0.6014927534462027,0.0014301249757409096,4.8
random_3sat,2,vsids,18,70,3.888888888888889,1,0,0,8,58,6,5,4,0.5800201031316141,0.0016187920700758696,8.632
random_3sat,2,progress_only,18,70,3.888888888888889,1,0,0,11,71,8,7,4,0.5800201031316141,0.0017984169535338879,11.584000000000001
random_3sat,2,maat_only,18,70,3.888888888888889,1,0,0,10,81,11,10,4,0.5800201031316141,0.001987915951758623,14.324
random_3sat,2,mode_a,18,70,3.888888888888889,1,0,0,7,87,8,7,3,0.5800201031316141,0.0017199169378727674,10.448
random_3sat,2,mode_a_gated,18,70,3.888888888888889,1,0,0,8,67,9,8,4,0.5800201031316141,0.0017913749907165766,11.668000000000001
random_3sat,2,random,18,70,3.888888888888889,1,0,0,8,69,8,7,4,0.5800201031316141,0.0017358750337734818,10.676
planted_3sat,3,vsids,18,70,3.888888888888889,1,1,0,6,33,3,3,4,0.5196303719252477,0.0009419169509783387,4.9319999999999995
planted_3sat,3,progress_only,18,70,3.888888888888889,1,1,0,6,23,1,1,4,0.5196303719252477,0.0008516249945387244,2.892
planted_3sat,3,maat_only,18,70,3.888888888888889,1,1,0,7,9,0,0,7,0.5196303719252477,0.0009001659927889705,2.136
planted_3sat,3,mode_a,18,70,3.888888888888889,1,1,0,4,14,0,0,4,0.5196303719252477,0.0006238330388441682,1.256
planted_3sat,3,mode_a_gated,18,70,3.888888888888889,1,1,0,8,37,3,3,5,0.5196303719252477,0.0012467920314520597,5.548
planted_3sat,3,random,18,70,3.888888888888889,1,1,0,8,8,0,0,8,0.5196303719252477,0.0010195830836892128,2.432
random_3sat,4,vsids,18,70,3.888888888888889,1,1,0,7,8,0,0,7,0.5279419627103054,0.0007659159600734711,2.132
random_3sat,4,progress_only,18,70,3.888888888888889,1,1,0,7,6,0,0,7,0.5279419627103054,0.0009577920427545905,2.124
random_3sat,4,maat_only,18,70,3.888888888888889,1,1,0,12,4,0,0,12,0.5279419627103054,0.0012324999552220106,3.6159999999999997
random_3sat,4,mode_a,18,70,3.888888888888889,1,1,0,6,9,0,0,6,0.5279419627103054,0.0007652089698240161,1.8359999999999999
random_3sat,4,mode_a_gated,18,70,3.888888888888889,1,1,0,11,6,0,0,11,0.5279419627103054,0.0011936660157516599,3.324
random_3sat,4,random,18,70,3.888888888888889,1,1,0,10,5,0,0,10,0.5279419627103054,0.0010682089487090707,3.02
planted_3sat,5,vsids,18,70,3.888888888888889,1,1,0,7,10,0,0,7,0.5055051256915299,0.0008801250951364636,2.14
planted_3sat,5,progress_only,18,70,3.888888888888889,1,1,0,9,12,1,1,8,0.5055051256915299,0.00109570799395442,3.7479999999999998
planted_3sat,5,maat_only,18,70,3.888888888888889,1,1,0,8,8,0,0,8,0.5055051256915299,0.001016459078527987,2.432
planted_3sat,5,mode_a,18,70,3.888888888888889,1,1,0,7,10,0,0,7,0.5055051256915299,0.0009737079963088036,2.14
planted_3sat,5,mode_a_gated,18,70,3.888888888888889,1,1,0,8,9,0,0,8,0.5055051256915299,0.0009804590372368693,2.436
planted_3sat,5,random,18,70,3.888888888888889,1,1,0,12,5,0,0,12,0.5055051256915299,0.001228917040862143,3.6199999999999997
random_3sat,6,vsids,18,76,4.222222222222222,1,0,0,7,76,8,7,4,0.5864586407223658,0.0016194169875234365,10.404
random_3sat,6,progress_only,18,76,4.222222222222222,1,0,0,9,94,10,9,4,0.5864586407223658,0.00204920896794647,13.075999999999999
random_3sat,6,maat_only,18,76,4.222222222222222,1,0,0,14,115,13,12,4,0.5864586407223658,0.0029954169876873493,17.66
random_3sat,6,mode_a,18,76,4.222222222222222,1,0,0,14,122,14,13,4,0.5864586407223658,0.002824416966177523,18.688
random_3sat,6,mode_a_gated,18,76,4.222222222222222,1,0,0,13,114,12,11,4,0.5864586407223658,0.0027847089804708958,16.356
random_3sat,6,random,18,76,4.222222222222222,1,0,0,17,107,13,12,7,0.5864586407223658,0.00323600007686764,18.528000000000002
planted_3sat,7,vsids,18,76,4.222222222222222,1,1,0,11,5,0,0,11,0.5072726392775132,0.0012396250385791063,3.32
planted_3sat,7,progress_only,18,76,4.222222222222222,1,1,0,11,5,0,0,11,0.5072726392775132,0.001141584012657404,3.32
planted_3sat,7,maat_only,18,76,4.222222222222222,1,1,0,5,12,0,0,5,0.5072726392775132,0.0007391249528154731,1.548
planted_3sat,7,mode_a,18,76,4.222222222222222,1,1,0,3,14,0,0,3,0.5072726392775132,0.000579457962885499,0.956
planted_3sat,7,mode_a_gated,18,76,4.222222222222222,1,1,0,10,6,0,0,10,0.5072726392775132,0.0011396249756217003,3.024
planted_3sat,7,random,18,76,4.222222222222222,1,1,0,8,10,0,0,8,0.5072726392775132,0.0011040420504286885,2.44
random_3sat,8,vsids,18,76,4.222222222222222,1,0,0,7,68,8,7,3,0.5156285261549945,0.0016567501006647944,10.372
random_3sat,8,progress_only,18,76,4.222222222222222,1,0,0,7,68,8,7,3,0.5156285261549945,0.001638583024032414,10.372
random_3sat,8,maat_only,18,76,4.222222222222222,1,0,0,14,118,13,12,5,0.5156285261549945,0.003027374972589314,17.672
