family,policy,n_pairs,median_regret_vs_vsids,mean_regret_vs_vsids,win_rate_vs_vsids
graph_coloring,progress_only,6,0.0,0.0,0.0
graph_coloring,maat_only,6,-0.0020000000000000018,0.4246666666666665,0.5
graph_coloring,mode_a,6,0.1479999999999999,0.18866666666666668,0.3333333333333333
graph_coloring,mode_a_gated,6,-0.2959999999999998,-0.32800000000000007,0.8333333333333334
graph_coloring,random,6,0.1479999999999999,2.2326666666666664,0.16666666666666666
modular_3sat,progress_only,18,0.0,-0.1422222222222223,0.2777777777777778
modular_3sat,maat_only,18,1.2619999999999996,1.568,0.3888888888888889
modular_3sat,mode_a,18,0.28600000000000003,0.6306666666666665,0.3888888888888889
modular_3sat,mode_a_gated,18,0.016000000000000014,0.33111111111111097,0.3888888888888889
modular_3sat,random,18,2.5460000000000003,2.770222222222222,0.2777777777777778
pigeonhole,progress_only,3,14.903999999999996,19.28800000000001,0.0
pigeonhole,maat_only,3,59.404000000000025,306.91466666666673,0.0
pigeonhole,mode_a,3,56.52000000000001,250.42666666666665,0.3333333333333333
pigeonhole,mode_a_gated,3,42.53200000000001,229.67333333333337,0.3333333333333333
pigeonhole,random,3,85.912,350.6493333333333,0.3333333333333333
planted_3sat,progress_only,27,-0.2959999999999998,-0.6786666666666668,0.5925925925925926
planted_3sat,maat_only,27,-0.26399999999999935,-0.00207407407407401,0.5185185185185185
planted_3sat,mode_a,27,-0.2999999999999998,-1.021925925925926,0.6296296296296297
planted_3sat,mode_a_gated,27,-0.1200000000000001,-0.8165925925925924,0.5555555555555556
planted_3sat,random,27,-0.29600000000000026,0.4397037037037037,0.5555555555555556
random_3sat,progress_only,27,0.0,-0.05807407407407403,0.4074074074074074
random_3sat,maat_only,27,3.9320000000000004,4.544444444444445,0.2222222222222222
random_3sat,mode_a,27,0.2920000000000016,0.9122962962962963,0.4444444444444444
random_3sat,mode_a_gated,27,1.1919999999999997,1.5157037037037042,0.37037037037037035
random_3sat,random,27,5.439999999999998,7.605037037037037,0.2222222222222222
xor3_cnf,progress_only,18,0.0,0.18933333333333335,0.0
xor3_cnf,maat_only,18,1.87,2.8582222222222224,0.2777777777777778
xor3_cnf,mode_a,18,0.0,-0.06711111111111112,0.4444444444444444
xor3_cnf,mode_a_gated,18,-0.008000000000000007,-0.48644444444444435,0.5
xor3_cnf,random,18,4.862,6.846222222222222,0.16666666666666666
