feature,permutation_importance_mean,permutation_importance_std,rf_builtin_importance
alpha,0.49408341645328396,0.034364095458127505,0.182856088138995
covariance_condition_log,0.12184172832234107,0.008118154805330124,0.08920898968260288
interaction_cycle_density,0.10529767035447636,0.007096162087258664,0.0824361742040649
type_planted,0.06731442902419206,0.0057038118508924845,0.04556156790350535
literal_imbalance,0.06193234480640993,0.003116159632232769,0.05760050156756545
frust_max,0.04293726872501886,0.0025359666029354535,0.03847508877958198
density_peak,0.039106898541809015,0.0025710310783111554,0.03822187881695274
frust_mean,0.038477842433531306,0.003079959366858635,0.03437078219056344
F_mean,0.037591423343092185,0.0027700910969775624,0.033782061498860726
max_degree_norm,0.02964022114260074,0.0028395641851048548,0.02972248420416943
frust_q75,0.028306927953615085,0.0011971169979838945,0.031084429265508456
degree_cv,0.026683218316973522,0.002172937541511261,0.02896732195368159
frust_gini,0.024227791836971175,0.001740177022283021,0.022706485918065334
frust_tail_mass,0.023701396217480315,0.0021249632483710612,0.024261885568788024
frust_tail95_mean,0.02270153605002656,0.0016462936200335673,0.022699153866188933
frust_q99,0.022256650590808797,0.0015969954692070909,0.02374704905777622
F_MAAT,0.015666458925840742,0.0010381392105448185,0.019079286231695605
R_rob,0.015474591296153547,0.0008272888890450143,0.01971970969972934
backdoor_density,0.015172584774501424,0.0007857229819002583,0.018380190358562063
frust_q90,0.015028404908160977,0.0008563776118005223,0.02023137720685129
F_MAAT_multi,0.013106139093702776,0.0009338488600831862,0.016170929356996985
F_frust,0.011307245025710178,0.0006746360939754634,0.012021011519159078
type_random,0.011187545571197194,0.0013683054262742795,0.008170025776109912
R_sat,0.011004591269839983,0.0004927514095447781,0.01209119300519773
F_scale,0.010971072393722322,0.0005631393966287702,0.014058424585709153
F_cluster,0.010383639312448123,0.0005378481914925297,0.01171435117186882
hotspot_fraction,0.007748853682669976,0.000890674658278728,0.00919387503958949
frust_q95,0.006553433085014521,0.0006273580058402805,0.007552885822171086
R_tail,0.006513045465675105,0.0006778492746717511,0.008784620309544616
R_var,0.006244857170008999,0.00038321518749503746,0.007459723118966674
frust_std,0.005970043157998095,0.00033066864885912317,0.006718121427419034
hotspot_cluster_frac,0.005357534715455969,0.00036600341240135026,0.0059476245142784274
F_tail,0.005113863875457573,0.0003403855333902168,0.008114926988028086
R_cluster,0.004654952521545981,0.0003519147880450757,0.005584227190483453
type_modular,0.0019315474088999474,0.0001915062881842726,0.00200933086074192
hotspot_edge_density,0.0008659482491864176,8.270931235021028e-05,0.0012962232000266734
propagation_depth_mean,1.850371707708594e-17,4.137556922078788e-17,0.0
contradiction_rate_mean,1.850371707708594e-17,6.136988677158579e-17,0.0
