model,estimator,n_features,features,cv_r2,pearson,spearman,rmse
density_only,ridge,2,alpha+density_peak,0.10176741071164241,0.3193940460683222,0.32396101658674864,0.5901464436990985
density_plus_type,ridge,5,alpha+density_peak+formula_type,0.19943153463826824,0.4478460538399383,0.4652521712812777,0.5571403721632985
standard_graph,ridge,8,alpha+degree_cv+max_degree_norm+literal_imbalance+interaction_cycle_density+formula_type,0.2953151640815602,0.5441650057570262,0.5468767381340274,0.5227124610056324
global_MAAT_scalar,ridge,6,F_MAAT+R_rob+H+B+S+V,0.12633255741695681,0.3571503885645709,0.3626533248048088,0.5820207474900821
frustration_tail_only,ridge,5,frust_q90+frust_q95+frust_q99+frust_tail_mass+hotspot_cluster_frac,0.020665342851632462,0.16473787824629185,0.12825196833044789,0.6162131363316597
frustration_robustness,ridge,5,R_tail+R_var+R_cluster+R_sat+F_frust,0.0250447077924153,0.1663540632026392,0.14038175873140765,0.6148338091229908
multi_scalar_50c,ridge,1,F_MAAT_multi,0.02093486138946532,0.14854257505292792,0.12791884792824257,0.6161283377949899
multi_components_50c,ridge,4,F_mean+F_tail+F_cluster+F_scale,0.03701512832399567,0.19743955620201,0.17833110488245416,0.6110477125286403
local_frustration_fields,ridge,18,frust_mean+frust_std+frust_q75+frust_q90+frust_q95+frust_q99+frust_max+frust_tail95_mean+frust_tail_mass+frust_gini+hotspot_fraction+hotspot_cluster_frac+hotspot_edge_density+R_tail+R_var+R_cluster+R_sat+F_frust,0.038553034171139866,0.21109829741872613,0.1927871085047937,0.6105595899366325
local_frustration_plus_density,ridge,23,alpha+density_peak+formula_type+frust_mean+frust_std+frust_q75+frust_q90+frust_q95+frust_q99+frust_max+frust_tail95_mean+frust_tail_mass+frust_gini+hotspot_fraction+hotspot_cluster_frac+hotspot_edge_density+R_tail+R_var+R_cluster+R_sat+F_frust,0.2589773470492903,0.5112885926598476,0.5170600262546081,0.5360201706249869
multi_plus_density_50c,ridge,10,alpha+density_peak+formula_type+F_mean+F_tail+F_cluster+F_scale+F_MAAT_multi,0.2647628477110724,0.5160613650012809,0.522595541134413,0.5339235938219761
raw_graph_plus_frustration,ridge,38,alpha+density_peak+formula_type+degree_cv+max_degree_norm+literal_imbalance+interaction_cycle_density+backdoor_density+propagation_depth_mean+contradiction_rate_mean+covariance_condition_log+frust_mean+frust_std+frust_q75+frust_q90+frust_q95+frust_q99+frust_max+frust_tail95_mean+frust_tail_mass+frust_gini+hotspot_fraction+hotspot_cluster_frac+hotspot_edge_density+R_tail+R_var+R_cluster+R_sat+F_frust+F_mean+F_tail+F_cluster+F_scale+F_MAAT_multi+F_MAAT+R_rob,0.27146541818714875,0.5247605137433264,0.5294560675847707,0.5314843442259723
density_only,random_forest,2,alpha+density_peak,0.036161346658820204,0.2724250869392319,0.27841369881742756,0.6113185297372359
density_plus_type,random_forest,5,alpha+density_peak+formula_type,0.18340796276237903,0.4532373122877839,0.4496905960781612,0.5626883982250522
standard_graph,random_forest,8,alpha+degree_cv+max_degree_norm+literal_imbalance+interaction_cycle_density+formula_type,0.29586936629627636,0.5449185636556887,0.5322306996251086,0.5225068759214642
global_MAAT_scalar,random_forest,6,F_MAAT+R_rob+H+B+S+V,0.1374652815896652,0.39314925705283515,0.38770285313183656,0.5783006533739653
frustration_tail_only,random_forest,5,frust_q90+frust_q95+frust_q99+frust_tail_mass+hotspot_cluster_frac,-0.03433958926323055,0.11978784241677576,0.10130963335017877,0.6332817376736832
frustration_robustness,random_forest,5,R_tail+R_var+R_cluster+R_sat+F_frust,-0.07285291719006204,0.049581368809544536,0.04375183370288204,0.6449640138862639
multi_scalar_50c,random_forest,1,F_MAAT_multi,-0.08060272976983307,0.08473731007783963,0.09021380076540615,0.6472892889255786
multi_components_50c,random_forest,4,F_mean+F_tail+F_cluster+F_scale,-0.022404764586245962,0.13887340114062618,0.13932718419845935,0.6296175466433704
local_frustration_fields,random_forest,18,frust_mean+frust_std+frust_q75+frust_q90+frust_q95+frust_q99+frust_max+frust_tail95_mean+frust_tail_mass+frust_gini+hotspot_fraction+hotspot_cluster_frac+hotspot_edge_density+R_tail+R_var+R_cluster+R_sat+F_frust,0.016086395914000406,0.18900662111762312,0.17942992225075116,0.61765202995495
local_frustration_plus_density,random_forest,23,alpha+density_peak+formula_type+frust_mean+frust_std+frust_q75+frust_q90+frust_q95+frust_q99+frust_max+frust_tail95_mean+frust_tail_mass+frust_gini+hotspot_fraction+hotspot_cluster_frac+hotspot_edge_density+R_tail+R_var+R_cluster+R_sat+F_frust,0.294609489606093,0.5429694323028702,0.5323138083117384,0.5229741187875485
multi_plus_density_50c,random_forest,10,alpha+density_peak+formula_type+F_mean+F_tail+F_cluster+F_scale+F_MAAT_multi,0.2832812328731028,0.5347321770637009,0.5236254681497895,0.5271567582963472
raw_graph_plus_frustration,random_forest,38,alpha+density_peak+formula_type+degree_cv+max_degree_norm+literal_imbalance+interaction_cycle_density+backdoor_density+propagation_depth_mean+contradiction_rate_mean+covariance_condition_log+frust_mean+frust_std+frust_q75+frust_q90+frust_q95+frust_q99+frust_max+frust_tail95_mean+frust_tail_mass+frust_gini+hotspot_fraction+hotspot_cluster_frac+hotspot_edge_density+R_tail+R_var+R_cluster+R_sat+F_frust+F_mean+F_tail+F_cluster+F_scale+F_MAAT_multi+F_MAAT+R_rob,0.31522602794004373,0.561959698006609,0.5510576860744781,0.515274929715344
