dataset_id,family,split,n_vars,n_clauses,regret_gate_to_moms,delta_gate_vs_moms,gate_v17_cost,moms_cost,score_with_R_cost,G_gate,R_rob,H,B,S,V,paper69_degree_cv,paper69_literal_imbalance,paper69_clustering_mean,paper69_largest_component_frac,min_clause_len,mean_clause_len,clause_length_cv,clause_length_entropy,unit_binary_fraction,short_clause_fraction,short_clause_pressure,short_variable_concentration,short_variable_entropy,moms_local_signal,weighted_clause_pressure,jw_variable_concentration,variable_occurrence_cv,literal_polarity_imbalance,propagation_cascade_mean,propagation_cascade_max,propagation_cascade_cv,propagation_conflict_fraction
aim_aim-100-1_6-no-1,satlib_dimacs_aim,test,100,160,25.947999999999997,-25.947999999999997,55.016,29.068,54.352,4.107761841814248e-05,0.4922743911105495,0.9061097687421702,0.8429293832650114,0.1039139631112823,0.7399170940129377,0.18633899808616186,0.10361904759967981,0.2569059828941076,1.0,3,3.0,0.0,0.0,0.0,0.9999999999999938,1.599999999999984,0.016666666666666632,0.9963994776294597,1.6266666666666505,0.12499999999999922,0.01666666666666639,0.18633899812494364,0.10361904761902829,1.0,1,0.0,0.0
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,100,160,34.04,-34.04,81.848,47.808,95.948,3.722191691291002e-05,0.4892435777276955,0.9008107296734088,0.8319997142669946,0.1039139631112823,0.7356477272682016,0.20192348969857085,0.11011111109050908,0.24470779219486175,1.0,2,2.9875,0.037189097980387505,0.09694460605958778,0.012499999999999923,0.012499999999999923,0.019999999999999803,0.2499999999999375,0.9999999999971146,0.024999999999998503,0.12656249999999922,0.018672199170124172,0.20192348974077204,0.11011111111109054,1.02,2,0.13725490196064974,0.0
aim_aim-100-1_6-no-3,satlib_dimacs_aim,test,100,160,29.188000000000017,-29.188000000000017,79.30000000000001,50.111999999999995,77.79599999999999,3.238612151511056e-05,0.4849643012809433,0.8924397603353574,0.8461759475792279,0.0987116801130197,0.7420462121168514,0.18178731369148207,0.12052380949972913,0.26298917747671813,1.0,2,2.99375,0.026324676853683258,0.05475065807064882,0.006249999999999961,0.006249999999999961,0.009999999999999901,0.49999999999975,0.9999999999971146,0.014999999999997352,0.1257812499999992,0.014553014553014311,0.1625043395024201,0.11485714285712112,1.01,2,0.09851360763422126,0.0
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,100,160,20.880000000000003,-20.880000000000003,52.7,31.82,66.332,4.0307861328311855e-05,0.4916927113209335,0.9152719665417378,0.8397867712553891,0.1039139631112823,0.73178243977875,0.19077846213879943,0.09257142855407073,0.23366411365357156,1.0,2,2.9875,0.037189097980387505,0.09694460605958778,0.012499999999999923,0.012499999999999923,0.019999999999999803,0.2499999999999375,0.9999999999971146,0.024999999999998503,0.12656249999999922,0.016597510373443706,0.19077846217867134,0.09257142857141128,1.02,2,0.13725490196064974,0.0
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,test,100,160,30.124,-30.124,61.004,30.88,30.02,4.528409810057287e-05,0.495272218681956,0.9189969804521566,0.8342349411237375,0.1039139631112823,0.7552652486340592,0.19870308794902844,0.08814285712667841,0.3007578532401689,1.0,2,2.99375,0.026324676853683258,0.05475065807064882,0.006249999999999961,0.006249999999999961,0.009999999999999901,0.49999999999975,0.9999999999971146,0.014999999999997352,0.1257812499999992,0.016632016632016355,0.19870308799046982,0.08814285714284101,1.01,2,0.09851360763422126,0.0
dubois_dubois100,satlib_dimacs_dubois,test,300,598,0.3000000000000007,-0.3000000000000007,30.696,30.396,30.396,9.76807816930188e-07,0.3773086522949174,1.0,0.548661452572583,0.0629161746301274,0.5871111109869259,0.8226175637292635,0.0,0.4455555552007407,0.6633333333333333,3,4.013377926421405,0.35353571248169213,0.9226907359554406,0.0,0.6622073578595307,1.3199999999999954,0.0067340067340067285,0.9892310851915658,1.3288888888888841,0.08805392976588614,0.005972377752892835,0.0,0.0,1.0,1,0.0,0.0
dubois_dubois20,satlib_dimacs_dubois,test,60,160,303.37199999999996,-303.37199999999996,372.388,69.01599999999999,372.304,0.2299862853747679,0.7656736633022754,1.0,1.0,0.4437972098062565,0.7744444444211112,0.0,0.0,0.3555555554888889,1.0,3,3.0,0.0,0.0,0.0,0.9999999999999938,2.666666666666622,0.016666666666666632,0.9999999999853452,2.7111111111110655,0.12499999999999922,0.01666666666666639,0.0,0.0,1.0,1,0.0,0.0
dubois_dubois21,satlib_dimacs_dubois,test,63,168,208.24800000000002,-208.24800000000002,280.66,72.412,429.824,0.2294593685946946,0.7655821029224094,1.0,1.0,0.4437972098062565,0.774074074050926,0.0,0.0,0.354497354431217,1.0,3,3.0,0.0,0.0,0.0,0.9999999999999941,2.6666666666666243,0.01587301587301584,0.9999999999847949,2.7089947089946658,0.12499999999999926,0.01587301587301562,0.0,0.0,1.0,1,0.0,0.0
dubois_dubois22,satlib_dimacs_dubois,test,66,176,249.06799999999998,-249.06799999999998,324.9,75.83200000000001,371.448,0.2289809257190513,0.7654988376971243,1.0,1.0,0.4437972098062565,0.773737373714394,0.0,0.0,0.35353535346969694,1.0,3,3.0,0.0,0.0,0.0,0.9999999999999943,2.6666666666666266,0.015151515151515122,0.9999999999842464,2.7070707070706663,0.12499999999999929,0.015151515151514923,0.0,0.0,1.0,1,0.0,0.0
dubois_dubois23,satlib_dimacs_dubois,test,69,184,229.05199999999996,-229.05199999999996,308.328,79.276,427.624,0.2285445633357869,0.7654227891893935,1.0,1.0,0.4437972098062565,0.7734299516679952,0.0,0.0,0.3526570047657005,1.0,3,3.0,0.0,0.0,0.0,0.9999999999999946,2.6666666666666283,0.014492753623188378,0.9999999999837031,2.705314009661797,0.12499999999999932,0.014492753623188196,0.0,0.0,1.0,1,0.0,0.0
flat30-60_flat30-1,satlib_graph_coloring_flat30,test,90,300,-1.4800000000000004,1.4800000000000004,3.911999999999999,5.3919999999999995,5.364000000000001,0.0368413150931403,0.7024801194536454,0.5868107302886312,0.8469540622870522,0.7597335072446649,0.6974999999954354,0.18070158055523575,0.7041269840245352,0.13571428570124414,1.0,2,2.1,0.14285714285707482,0.46899559358639586,0.8999999999999969,0.8999999999999969,2.9999999999999667,0.014814814814814786,0.9949861126492587,3.0444444444444105,0.23749999999999918,0.014529914529914431,0.18070158058102442,0.7041269841268818,4.0,9,0.7826237921247308,0.0
