feature_set,model,n_features,r2,rmse,spearman
standard_graph,rf,12,0.21689572770477794,0.8663010114415589,0.4233605010658154
all_defect_projections,rf,26,0.19959525481400886,0.875817970719885,0.3751219690529929
mean_tail_cluster_scale,rf,26,0.19959525481400886,0.875817970719885,0.3751219690529929
macro_scalar,rf,7,0.18984655516529392,0.881135433955663,0.41925489315939485
mean_tail,rf,13,0.1727856633589443,0.8903649415126664,0.32538658561238315
mean_plus_tail,rf,13,0.1727856633589443,0.8903649415126664,0.32538658561238315
tail_scale,rf,17,0.17251998443341798,0.8905079106320917,0.3793264908488853
mean_tail_cluster,rf,18,0.16729845268783117,0.8933131162080088,0.31738040193657774
cluster_scale,rf,11,0.14488551871626432,0.905255465207145,0.33500255389686906
scale_projection,rf,6,0.1380692777106992,0.9088562648407552,0.3304492048706832
tail_projection,rf,11,0.09370961449660531,0.9319502113886964,0.298208242068527
tail_cluster,rf,16,0.09200227062889388,0.932827640312065,0.2900703354670762
cluster_projection,rf,5,0.06570710671775015,0.9462383542502437,0.16855716505890356
mean_projection,rf,2,0.05750794364304246,0.950381281730853,0.2943675293886058
mean_only,rf,2,0.05750794364304246,0.950381281730853,0.2943675293886058
density_only,rf,4,-0.04342195363532597,0.9999746945176341,0.28429490122826007
shuffled_all_projection_null,rf,26,-0.0666248808969101,1.0109553279194965,-0.013386042948415467
standard_graph,ridge,12,0.13445389440203037,0.9107603768763561,0.36499955386591515
tail_projection,ridge,11,0.04631872689555716,0.9560060752838783,0.2305068446030442
mean_tail,ridge,13,0.04238913396553823,0.9579736366363026,0.23648782480562497
mean_plus_tail,ridge,13,0.04238913396553823,0.9579736366363026,0.23648782480562497
macro_scalar,ridge,7,0.04017105916276953,0.9590824524682324,0.16047639499401967
tail_cluster,ridge,16,0.03804891466578331,0.960142114094056,0.2174363866137015
density_only,ridge,4,0.03563396612258296,0.9613465622237592,0.3267826886238794
mean_tail_cluster,ridge,18,0.03332423107295801,0.9624971252975211,0.22281395314802696
scale_projection,ridge,6,-0.011756226071050424,0.9846841959416986,0.1304670307887896
cluster_projection,ridge,5,-0.024649725268031775,0.9909385839730129,-0.07203965820204593
mean_projection,ridge,2,-0.03854180712031119,0.9976334832627521,-0.07499629681404185
mean_only,ridge,2,-0.03854180712031119,0.9976334832627521,-0.07499629681404185
tail_scale,ridge,17,-0.04739341847979439,1.0018759352194992,0.2552538146472218
cluster_scale,ridge,11,-0.08166537636053173,1.0181352853458692,0.1383512271579923
all_defect_projections,ridge,26,-0.10064706104223142,1.0270298444427581,0.2378184892163564
mean_tail_cluster_scale,ridge,26,-0.10064706104223142,1.0270298444427581,0.2378184892163564
