feature,projection,spearman,abs_spearman
F_struct_scalar,macro_scalar,-0.3563099297333248,0.3563099297333248
R_rob,macro_scalar,0.35394222718218443,0.35394222718218443
alpha,standard_graph,0.34588215813065143,0.34588215813065143
R_resp,macro_scalar,0.333119685174046,0.333119685174046
mean_var_graph_degree,standard_graph,0.29716093547720995,0.29716093547720995
frust_q75,tail_projection,-0.2908056667733577,0.2908056667733577
literal_imbalance,standard_graph,-0.2896692921285139,0.2896692921285139
B,macro_scalar,0.2876360906144594,0.2876360906144594
frust_mean,mean_projection,-0.28300753327649086,0.28300753327649086
F_mean,mean_projection,-0.28300753327649086,0.28300753327649086
S,macro_scalar,0.2698199557900666,0.2698199557900666
n_clauses,standard_graph,0.2673587596287225,0.2673587596287225
frust_q90,tail_projection,-0.23678515061118346,0.23678515061118346
covariance_condition_log,scale_projection,0.23620286323625042,0.23620286323625042
H,macro_scalar,-0.23098106660660525,0.23098106660660525
V,macro_scalar,0.2046848740599448,0.2046848740599448
F_scale,scale_projection,0.20343929240389186,0.20343929240389186
frust_q95,tail_projection,-0.1961803174895997,0.1961803174895997
propagation_depth_mean,scale_projection,-0.19012218591229496,0.19012218591229496
hotspot_fraction,cluster_projection,-0.17843662929692122,0.17843662929692122
F_tail,tail_projection,-0.1740366519773915,0.1740366519773915
component_frac,standard_graph,-0.16364741395357385,0.16364741395357385
frust_tail_mass,tail_projection,-0.16110132438035898,0.16110132438035898
hotspot_cluster_frac,cluster_projection,-0.14879044147523887,0.14879044147523887
max_degree_norm,standard_graph,0.14653365760691217,0.14653365760691217
backdoor_density,scale_projection,-0.1403117052527712,0.1403117052527712
largest_component_frac,standard_graph,0.13634328129383125,0.13634328129383125
n_vars,standard_graph,0.0953704569550566,0.0953704569550566
R_tail,tail_projection,0.07510192828065318,0.07510192828065318
frust_tail95_mean,tail_projection,-0.07510192828065318,0.07510192828065318
frust_q99,tail_projection,-0.06265571818431677,0.06265571818431677
frust_gini,tail_projection,0.054275102600136044,0.054275102600136044
degree_cv,standard_graph,0.04951048680087137,0.04951048680087137
clustering_mean,standard_graph,0.033382366778701045,0.033382366778701045
expansion_defect,scale_projection,-0.02837475376799126,0.02837475376799126
frust_max,tail_projection,-0.01956737827558266,0.01956737827558266
F_cluster,cluster_projection,-0.01915738189210748,0.01915738189210748
R_cluster,cluster_projection,0.01915738189210748,0.01915738189210748
hotspot_edge_density,cluster_projection,-0.016649458417663143,0.016649458417663143
frust_std,tail_projection,-0.005962774594971268,0.005962774594971268
contradiction_rate_mean,scale_projection,0.0,0.0
