family,instance_id,heuristic,n_vars,n_clauses,alpha,solved,sat,timeout,decisions,propagations,conflicts,backtracks,max_depth,search_cost
random_3sat,0,random,18,68,3.7777777777777777,1,0,0,50,166,26,50,8,4.462453883786496
random_3sat,0,first,18,68,3.7777777777777777,1,0,0,34,144,18,34,7,4.135166556742356
random_3sat,0,degree,18,68,3.7777777777777777,1,0,0,14,73,8,14,4,3.32862668882732
random_3sat,0,jeroslow_wang,18,68,3.7777777777777777,1,0,0,12,63,7,12,4,3.184284380098582
random_3sat,0,moms,18,68,3.7777777777777777,1,0,0,12,72,7,12,3,3.2208738275308737
random_3sat,0,maat_v16_branch,18,68,3.7777777777777777,1,0,0,14,71,8,14,4,3.321432413193293
random_3sat,0,maat_v16_heavy,18,68,3.7777777777777777,1,0,0,18,86,10,18,4,3.5467396869528134
planted_3sat,1,random,18,68,3.7777777777777777,1,1,0,10,14,1,1,9,2.5610957881455465
planted_3sat,1,first,18,68,3.7777777777777777,1,1,0,8,15,1,1,7,2.4024304279637616
planted_3sat,1,degree,18,68,3.7777777777777777,1,1,0,9,12,1,1,8,2.463853240590168
planted_3sat,1,jeroslow_wang,18,68,3.7777777777777777,1,1,0,7,10,0,0,7,2.1972245773362196
planted_3sat,1,moms,18,68,3.7777777777777777,1,1,0,6,10,0,0,6,2.0794415416798357
planted_3sat,1,maat_v16_branch,18,68,3.7777777777777777,1,1,0,9,12,1,1,8,2.463853240590168
planted_3sat,1,maat_v16_heavy,18,68,3.7777777777777777,1,1,0,9,12,1,1,8,2.463853240590168
random_3sat,2,random,18,68,3.7777777777777777,1,1,0,4,13,0,0,4,1.840549633397487
random_3sat,2,first,18,68,3.7777777777777777,1,1,0,7,22,1,1,6,2.3749057545736716
random_3sat,2,degree,18,68,3.7777777777777777,1,1,0,8,8,0,0,8,2.2823823856765264
random_3sat,2,jeroslow_wang,18,68,3.7777777777777777,1,1,0,7,9,0,0,7,2.186051276738094
random_3sat,2,moms,18,68,3.7777777777777777,1,1,0,5,12,0,0,5,1.9740810260220096
random_3sat,2,maat_v16_branch,18,68,3.7777777777777777,1,1,0,7,9,0,0,7,2.186051276738094
random_3sat,2,maat_v16_heavy,18,68,3.7777777777777777,1,1,0,7,9,0,0,7,2.186051276738094
planted_3sat,3,random,18,68,3.7777777777777777,1,1,0,11,5,0,0,11,2.5257286443082556
planted_3sat,3,first,18,68,3.7777777777777777,1,1,0,13,4,0,0,13,2.667228206581955
planted_3sat,3,degree,18,68,3.7777777777777777,1,1,0,8,6,0,0,8,2.2617630984737906
planted_3sat,3,jeroslow_wang,18,68,3.7777777777777777,1,1,0,10,4,0,0,10,2.4336133554004498
planted_3sat,3,moms,18,68,3.7777777777777777,1,1,0,8,8,0,0,8,2.2823823856765264
planted_3sat,3,maat_v16_branch,18,68,3.7777777777777777,1,1,0,9,5,0,0,9,2.3513752571634776
planted_3sat,3,maat_v16_heavy,18,68,3.7777777777777777,1,1,0,9,5,0,0,9,2.3513752571634776
random_3sat,4,random,18,68,3.7777777777777777,1,1,0,17,58,5,9,8,3.3087165288679903
