family,heuristic,solved_rate,timeout_rate,median_decisions,median_conflicts,median_cost,mean_cost,n_runs
graph_coloring,moms,1.0,0.0,12.0,0.0,2.8444866795012462,2.7996606602084615,24
graph_coloring,first,1.0,0.0,13.5,0.0,2.890124783329523,2.933015313947196,24
graph_coloring,jeroslow_wang,1.0,0.0,17.0,0.0,3.0578135948642022,2.9777049683721835,24
graph_coloring,maat_v16_branch,1.0,0.0,17.0,0.0,3.0578135948642022,2.9777049683721835,24
graph_coloring,maat_v16_heavy,1.0,0.0,17.0,0.0,3.0578135948642022,2.9777049683721835,24
graph_coloring,degree,1.0,0.0,18.5,0.0,3.079399680796807,3.038748360248013,24
graph_coloring,random,1.0,0.0,17.0,0.0,3.094706679893818,3.1364757446080347,24
modular_3sat,moms,1.0,0.0,11.0,4.5,2.844702303355123,2.850059914198791,24
modular_3sat,jeroslow_wang,1.0,0.0,12.0,7.0,3.056257231458952,3.0406648691889266,24
modular_3sat,first,1.0,0.0,19.0,7.5,3.3044589416493633,3.5033603389807304,24
modular_3sat,maat_v16_branch,1.0,0.0,18.0,9.5,3.4274672513992774,3.3566398092320093,24
modular_3sat,degree,1.0,0.0,22.0,10.0,3.5763301610389298,3.512409227358507,24
modular_3sat,maat_v16_heavy,1.0,0.0,22.0,10.5,3.6336231270901753,3.3758342566635826,24
modular_3sat,random,1.0,0.0,36.5,17.5,4.029597009742195,3.986808023682419,24
pigeonhole,degree,1.0,0.0,238.0,120.0,6.137078895912954,6.192690993444565,3
pigeonhole,jeroslow_wang,1.0,0.0,238.0,120.0,6.137078895912954,6.192690993444565,3
pigeonhole,moms,1.0,0.0,238.0,120.0,6.137078895912954,6.192690993444565,3
pigeonhole,maat_v16_branch,1.0,0.0,240.0,121.0,6.162998964688962,6.2213841956322185,3
pigeonhole,maat_v16_heavy,1.0,0.0,324.0,163.0,6.51152242218755,6.569317515060504,3
pigeonhole,random,1.0,0.0,498.0,250.0,6.878223476376099,6.875946049911671,3
pigeonhole,first,0.6666666666666666,0.3333333333333333,748.0,375.0,7.20232606963734,7.202941914171919,3
planted_3sat,moms,1.0,0.0,7.0,1.0,2.2874585714085356,2.423031430599619,36
planted_3sat,maat_v16_branch,1.0,0.0,8.5,1.0,2.44660109860208,2.52065041083834,36
planted_3sat,maat_v16_heavy,1.0,0.0,9.0,1.0,2.465976386030894,2.5790941571091235,36
planted_3sat,jeroslow_wang,1.0,0.0,8.5,1.0,2.4785293465964315,2.5265498026585096,36
planted_3sat,degree,1.0,0.0,9.0,1.0,2.5351120427539566,2.6403537143466456,36
planted_3sat,random,1.0,0.0,10.0,1.0,2.5552855613544274,2.823590756708867,36
planted_3sat,first,1.0,0.0,13.5,2.5,2.9266756224891735,3.176199883351495,36
random_3sat,moms,1.0,0.0,9.5,4.0,2.9060605257422925,2.805902104917771,36
random_3sat,jeroslow_wang,1.0,0.0,12.5,5.5,3.2297702692014454,2.9104697842717417,36
random_3sat,degree,1.0,0.0,14.0,6.0,3.256455534462951,3.066297959222738,36
random_3sat,maat_v16_heavy,1.0,0.0,14.5,6.0,3.3180323294742013,3.0491448755469444,36
random_3sat,maat_v16_branch,1.0,0.0,14.0,6.0,3.339164767979434,2.9874981168386254,36
random_3sat,random,1.0,0.0,22.5,8.5,3.593838030191944,3.599056678252163,36
random_3sat,first,1.0,0.0,27.5,11.5,3.8650467544950176,3.751610070683122,36
xor3_cnf,moms,1.0,0.0,6.0,4.0,2.5277087184340745,2.5199935024210713,18
xor3_cnf,maat_v16_heavy,1.0,0.0,6.0,4.0,2.595143311167166,2.7134803603774005,18
xor3_cnf,maat_v16_branch,1.0,0.0,6.0,4.0,2.624642336485363,2.7130383092208943,18
xor3_cnf,jeroslow_wang,1.0,0.0,6.0,4.0,2.626476912398253,2.6546084258516363,18
xor3_cnf,degree,1.0,0.0,6.5,4.0,2.6795180507913714,2.745682568027412,18
xor3_cnf,first,1.0,0.0,18.0,9.0,3.5221560452041736,3.5161779702187106,18
xor3_cnf,random,1.0,0.0,27.0,13.5,3.8764715287844465,3.6037848302815974,18
