H,B,A_raw,S_eff,V,R_resp_soc,R_rob_soc,R_sig_soc,CCI_soc,ASI_soc,regime
0.7316297615,0.4777575183,0.008783901145,0.004260429494,0.8020996693,0.6544991351,0.1859067477,0.0679209911,0.003997418011,0.06765056352,"mixed regime"
0.7765396768,0.2579992546,0.377927945,0.1165012165,0.6414960372,0.5046520324,0.3498055011,0.2609121609,0.1865536554,0.2198907396,"constrained stability"
0.5277693459,0.838130664,0.9398334633,0.9800897023,0.8126837169,0.711037463,0.711037463,0.8215055231,0.3252445221,0.6198897708,"constructive transformation"
0.3706269693,0.5500153242,0.790609563,0.7838169636,0.377716833,0.4254279796,0.4254279796,0.5600811074,0.458646871,0.3839730633,"mixed regime"
0.421491742,0.5221090398,0.5691083212,0.3564765276,0.2361691159,0.3731852433,0.3689360395,0.3655715387,0.3674734545,0.267333554,"mixed regime"
0.785019285,0.6079268565,0.6473440493,0.5011131064,0.6764757166,0.6860060655,0.6342053586,0.5955955831,0.2394353944,0.4805378205,"mixed regime"
0.4816296855,0.3093860074,0.4266857969,0.1610482974,0.4926159826,0.4187043482,0.3297384846,0.2723826063,0.2644686304,0.2154127036,"constrained stability"
0.8157940132,0.4843530088,0.6291960826,0.4658627856,0.3338438888,0.5090518055,0.4978929667,0.4891422746,0.2951361887,0.3776763239,"mixed regime"
0.5558567615,0.4646772509,0.593287488,0.3989286912,0.7217973439,0.5712723371,0.5222232629,0.486033976,0.2619885971,0.3851334134,"mixed regime"
0.6885085704,0.0718977273,0.6768832766,0.5598846276,0.1809315699,0.2076728015,0.2076728015,0.3244913591,0.5891009493,0.2041980777,"mixed regime"
0.6131621984,0.8526545804,1.741906472,0.04698542406,0.6930764388,0.7129239627,0.3612211717,0.2096800854,0.6912013513,0.1239829221,"mixed regime"
0.5652041175,0.6564033948,1.066332853,0.9758516444,0.3272187172,0.4951514909,0.4951514909,0.6719371598,0.521694949,0.4415715254,"fragmentation risk"
0.567514236,0.7542069062,1.254324835,0.6981372475,0.769012644,0.6904521429,0.6904521429,0.693899915,0.4510035887,0.4782206746,"mixed regime"
0.7359417574,0.3672148897,1.344648274,0.5169017799,0.2539710919,0.4094328377,0.4094328377,0.4547095564,0.7611673727,0.2581864526,"polarization risk"
0.959258218,0.3627406489,0.1086275088,0.01210497887,0.5603216584,0.579859871,0.2204110177,0.1016626664,0.05166018891,0.09666874098,"constrained stability"
0.3669273371,0.3459614096,1.611453475,0.1252948784,0.3006469486,0.3366832487,0.262965916,0.2157952215,1.262398308,0.09538339059,"polarization risk"
0.1758788769,0.6100951746,1.527579279,0.2130277688,0.1189382285,0.2336922158,0.2283453854,0.2241561372,1.347954066,0.09546870634,"fragmentation risk"
0.8993896374,0.7511540718,0.5719131749,0.3612800598,0.3520402126,0.6195690668,0.5414125181,0.4860479839,0.2248089524,0.3968357538,"mixed regime"
0.6462403257,0.3862305075,0.07340159135,0.00848110522,0.6771202505,0.5528858526,0.1945762015,0.08438264135,0.03854786913,0.08125060371,"constrained stability"
0.4718680075,0.778028754,1.226230144,0.752515438,0.4040126955,0.5293428661,0.5293428661,0.6201365399,0.5616529663,0.3971026555,"mixed regime"
0.7864401794,0.5202736493,1.113450567,0.9309909448,0.3844766443,0.5398285246,0.5398285246,0.689868256,0.4990771335,0.4601953032,"mixed regime"
0.3332607516,0.2831413922,1.716103583,0.05790723128,0.4172847292,0.3402044641,0.2185184977,0.1533510538,1.370464959,0.0646923943,"polarization risk"
0.7916386659,0.5664695845,0.5620648365,0.3445608794,0.1731536548,0.4266238059,0.4044364653,0.387520322,0.2903679854,0.3003176818,"mixed regime"
0.5627506717,0.5534919078,1.520120317,0.2224801336,0.6791032811,0.5958281836,0.4657615044,0.3824702236,0.6722901973,0.2287104381,"mixed regime"
0.8792554154,0.7489288617,0.5761235646,0.368551982,0.5699173237,0.7213108959,0.6098409133,0.533202048,0.20517641,0.4424265557,"mixed regime"
0.4490031613,0.3820483243,1.150738946,0.8814080349,0.1674330392,0.306245432,0.306245432,0.4927968726,0.881974802,0.2618509409,"fragmentation risk"
0.8650689047,0.3504834517,1.578474697,0.1558171487,0.7464550887,0.6094068065,0.4333454976,0.3298951108,0.6589737438,0.1988549319,"polarization risk"
0.08464014323,0.5198667192,0.884611448,0.9286999778,0.5940226934,0.2967726085,0.2967726085,0.4958805149,0.5915937718,0.3115622364,"mixed regime"
0.8136313586,0.2720875915,0.8532566113,0.8872475632,0.5354730696,0.4912373158,0.4912373158,0.6409592348,0.4039219663,0.4565490463,"mixed regime"
0.5223489404,0.283748314,0.139967872,0.0164209734,0.6027441297,0.447035829,0.1957070514,0.1010689577,0.08723193943,0.09295988646,"constrained stability"
0.9296347988,0.3311604355,0.4025820168,0.1376799359,0.6565306196,0.5868610248,0.408431392,0.3056231109,0.1730971783,0.2605266781,"constrained stability"
0.4229406711,0.2264207439,1.30477795,0.5968715624,0.6763253695,0.4015908235,0.4015908235,0.4799847936,0.7553956257,0.2734339693,"polarization risk"
0.6260538392,0.4564731533,1.250421351,0.7058209915,0.6264060025,0.5635869712,0.5635869712,0.6236502148,0.5502355837,0.4022938329,"mixed regime"
0.6067057355,0.542079829,1.475094136,0.2853698847,0.4444750795,0.5267803762,0.4519331784,0.3997881676,0.7212490664,0.232266309,"mixed regime"
0.6755701733,0.5320202639,0.9177245565,0.9630914224,0.4830711137,0.5578745763,0.5578745763,0.713256101,0.4081431225,0.5065224476,"mixed regime"
0.5799776031,0.5809675427,1.777902368,0.03467123274,0.5208888751,0.5598900183,0.2792989896,0.1601189289,0.9065689869,0.0839827617,"mixed regime"
