galaxy,Q_bar
CamB,0.4249307962
D512-2,0.7113813478
D564-8,0.821887355
D631-7,1.127862555
DDO064,0.2438914301
DDO154,0.9317721744
DDO161,0.5946845043
DDO168,0.6259899882
DDO170,0.7463921895
ESO079-G014,0.3556302907
ESO116-G012,0.5779746176
ESO444-G084,0.7673822248
ESO563-G021,0.6771345662
F561-1,0.6055931294
F563-1,0.6454057104
F563-V1,0.5165785648
F563-V2,0.2204692023
F565-V2,0.5077303722
F567-2,0.6313850358
F568-1,0.4599071333
F568-3,0.393327938
F568-V1,0.5722100872
F571-8,1.312591361
F571-V1,0.7813225316
F574-1,0.5689277604
F574-2,0.5063350882
F579-V1,0.5422551172
F583-1,0.3427328742
F583-4,0.441064388
IC2574,0.4501435667
IC4202,0.9148541529
KK98-251,0.2357798748
NGC0024,0.5718598753
NGC0055,0.7388883814
NGC0100,0.7529627442
NGC0247,0.5834428083
NGC0289,2.388579456
NGC0300,0.971923807
NGC0801,1.172764314
NGC0891,1.618331009
NGC1003,1.716232375
NGC1090,0.9339969516
NGC1705,1.927776305
NGC2366,0.5984157671
NGC2403,1.101144579
NGC2683,2.085957588
NGC2841,2.048506557
NGC2903,1.670170084
NGC2915,1.729662672
NGC2955,1.12139055
NGC2976,0.2609469052
NGC2998,0.6034261523
NGC3109,0.3553855624
NGC3198,1.007435986
NGC3521,1.153328816
NGC3726,1.469739967
NGC3741,0.985611322
NGC3769,2.176892691
NGC3877,0.5825123451
NGC3893,1.587438497
NGC3917,0.539794157
NGC3949,1.037123807
NGC3953,0.9232420963
NGC3972,0.5511253606
NGC3992,1.429962125
NGC4010,0.6400202734
NGC4013,1.945887367
NGC4051,0.8586054486
NGC4068,0.4039416734
NGC4085,0.7661967109
NGC4088,1.054699253
NGC4100,1.276903965
NGC4138,1.958751964
NGC4157,1.658881832
NGC4183,0.9013259863
NGC4214,1.582909734
NGC4217,1.520567351
NGC4389,0.6884510188
NGC4559,1.126255906
NGC5005,1.068331836
NGC5033,2.425280147
NGC5055,2.127064195
NGC5371,1.187530973
NGC5585,0.7118431486
NGC5907,1.49490353
NGC5985,0.8071059873
NGC6015,1.050959689
NGC6195,1.12214603
NGC6503,2.123540389
NGC6674,1.862398578
NGC6789,0.3320943074
NGC6946,1.351018184
NGC7331,1.939156879
NGC7793,0.4525338207
NGC7814,2.110448347
PGC51017,0.8364869372
UGC00128,1.014401829
UGC00191,0.5242279875
UGC00634,1.037443143
UGC00731,0.3346366729
UGC00891,0.7831385111
UGC01230,0.7530119908
UGC01281,0.2574242731
UGC02023,0.4239697656
UGC02259,0.7097103899
UGC02455,0.7247694653
UGC02487,1.825640023
UGC02885,1.48434496
UGC02916,1.539301725
UGC02953,1.747121047
UGC03205,1.227428664
UGC03546,2.353240993
UGC03580,1.52663027
UGC04278,0.3545002059
UGC04305,0.475888822
UGC04325,0.4933682286
UGC04483,0.4951187256
UGC04499,0.7190272241
UGC05005,0.6456795303
UGC05253,1.689055809
UGC05414,0.6151389282
UGC05716,0.8726546164
UGC05721,1.28002408
UGC05750,0.3789346524
UGC05764,0.3917003232
UGC05829,0.3447734016
UGC05918,0.4302915394
UGC05986,0.78440432
UGC05999,0.7098848659
UGC06399,0.5497638988
UGC06446,0.7688801209
UGC06614,1.618256751
UGC06628,0.6022234045
UGC06667,0.2609956964
UGC06786,1.688261712
UGC06787,2.308759868
UGC06818,0.8077239764
UGC06917,0.8568917133
UGC06923,0.9005045644
UGC06930,0.8475768621
UGC06973,1.815578983
UGC06983,1.02609337
UGC07089,0.6400787628
UGC07125,0.850042873
UGC07151,0.7230792338
UGC07232,0.5800787475
UGC07261,0.8633149297
UGC07323,0.4224046848
UGC07399,0.8902278894
UGC07524,0.4261233702
UGC07559,0.5926570358
UGC07577,0.3379737029
UGC07603,1.032452595
UGC07608,0.4515688372
UGC07690,1.213377402
UGC07866,0.542449055
UGC08286,0.7112995974
UGC08490,1.481549413
UGC08550,1.006348491
UGC08699,1.920629118
UGC08837,0.4255744618
UGC09037,1.229707974
UGC09133,2.51581989
UGC09992,0.7555097259
UGC10310,0.6013935667
UGC11455,0.6883074589
UGC11557,0.503457234
UGC11820,0.2827404517
UGC11914,0.8859737
UGC12506,0.8916710309
UGC12632,0.4934577029
UGC12732,0.6910358414
UGCA281,0.4155862137
UGCA442,0.5655082909
UGCA444,0.2857596788
