galaxy,family,n_points,mean_residual_fraction,outer_residual_fraction,mean_D_struct,peak_D_struct,mean_R_rob,mean_V,nfw_like_rmse_v2,nfw_like_chi2,nfw_like_rs_kpc,rar_mean_sigma_residual,morphology_proxy,vobs_max,median_gas_fraction_proxy,median_bulge_fraction_proxy,outer_residual_fraction_proxy
CamB,unknown,9,0.1170858548996235,0.2107545388193223,0.0307463819040257,0.1206737813361447,0.2563743399486155,0.3997212472889415,84.79831527931198,4.276791417463128,40.0,10.165368869467835,dwarf_proxy,20.1,0.32977308797666544,0.0,0.21075453881932232
D512-2,unknown,4,0.780753803968407,0.7999763182109649,0.4212373603372488,0.5944903691759528,0.7765872891570097,0.6918570719554064,119.80355434494574,0.2070657332080626,8.145065361059286,1.6162579444300529,dwarf_proxy,37.2,0.17783329060701347,0.0,0.7999763182109649
D564-8,unknown,6,0.7687234713093049,0.8505715372976393,0.3577252399352148,0.4239815313953557,0.7307718726354365,0.6509097545960526,51.082365423533446,1.4363438117192888,40.0,4.185455481630336,dwarf_proxy,25.0,0.522285135044618,0.0,0.8505715372976393
D631-7,unknown,16,0.6298819549650516,0.8567699541154948,0.1652368469533615,0.2824787024981588,0.6027939394372146,0.4717590767776169,1449.666552709827,48.67278310163303,40.0,4.300338378587724,dwarf_proxy,58.5,0.7699496792933318,0.0,0.8567699541154948
DDO064,unknown,14,0.783910843208294,0.7440886465185123,0.2702503641216848,0.6333794905264057,0.644112163772076,0.5224909983078051,252.77175232388672,0.7457809092643799,38.27021939503432,0.5476803793623327,dwarf_proxy,46.9,0.4619064243221044,0.0,0.7440886465185123
DDO154,unknown,12,0.79184251893252,0.8544011944629651,0.2761620680361102,0.3823582744422586,0.6167113254970155,0.5619009954412079,211.8587344963721,15.572869518731087,20.60982957919629,3.745294408732919,dwarf_proxy,48.2,0.8802907084147752,0.0,0.8544011944629651
DDO161,unknown,31,0.593571249470044,0.7227428773554028,0.1832092615044242,0.3013603940674842,0.6214922823109909,0.5206135602249954,249.47144227488243,3.1917799720614757,40.0,10.45254991486097,dwarf_proxy,67.5,0.7942427640663955,0.0,0.7227428773554028
DDO168,unknown,10,0.6119135039934067,0.7672640123555527,0.1919113948725688,0.3254341620280333,0.6279434445672119,0.518337904831344,486.3241961825344,23.186582626985363,40.0,4.1667301203178955,dwarf_proxy,55.0,0.7788520934241496,0.0,0.7672640123555527
DDO170,unknown,8,0.7526470310534505,0.7627729043332068,0.3073159932992643,0.542365406960386,0.6971764508964431,0.5753860056144864,189.14199786139565,2.420711803375259,13.844683957602468,11.378548823204666,dwarf_proxy,62.2,0.786463005884801,0.0,0.7627729043332068
ESO079-G014,unknown,15,0.61214491886949,0.6939503863195893,0.1953983776249151,0.4172257816417147,0.6177786729768319,0.5005756507063134,1969.2079912651636,10.469987836716312,40.0,2.425402822571809,disk_proxy,178.0,0.025020384412908887,0.0,0.6939503863195893
ESO116-G012,unknown,15,0.714507478341006,0.7868963605274129,0.2208351832469685,0.5153525965826035,0.6065908826396389,0.5004806079152353,834.4445327690295,3.1933996837358745,30.68073468374589,2.886760757788167,dm_dominated_disk_proxy,112.0,0.18455810475947765,0.0,0.7868963605274129
ESO444-G084,unknown,7,0.8596999697226797,0.8858599750166412,0.3317601645007726,0.6784084891973058,0.6501408917032988,0.5950223084907379,308.80876141847085,0.6070565677427996,13.844683957602468,3.9918445463158654,dwarf_proxy,63.1,0.7951474040304436,0.0,0.8858599750166412
ESO563-G021,unknown,30,0.5699259984228351,0.6942031212963673,0.1357746449143381,0.2843096359031041,0.5385650555726348,0.4032345045836258,56143.894285204806,234.8176683892916,40.0,5.9782794874117915,disk_proxy,321.0,0.009627888161589312,0.0,0.6942031212963673
F561-1,unknown,6,0.3483463525691286,0.2905654855971699,0.1284348431160174,0.2167585447580572,0.7068210148638822,0.531732391005774,282.47841911341163,1.0937005364942858,4.19671022507117,5.77900752808386,dwarf_proxy,50.4,0.277864787826115,0.0,0.2905654855971699
