galaxy,n_points,rho_Dstruct_nfw_radius,rho_Dstruct_rar_radius,rho_Dstruct_radius
CamB,9,0.7525121326622725,-0.19802950859533489,0.8218224606706397
D564-8,6,0.2571428571428572,-0.3142857142857143,0.2571428571428572
D631-7,16,0.06470588235294117,-0.3382352941176471,0.43529411764705883
DDO064,14,0.2043956043956044,-0.8593406593406594,-0.221978021978022
DDO154,12,-0.5034965034965035,-0.06993006993006995,-0.41958041958041964
DDO161,31,-0.28709677419354845,0.09435483870967742,0.09677419354838711
DDO168,10,-0.13939393939393938,-0.4545454545454545,0.04242424242424241
DDO170,8,0.4285714285714286,-0.880952380952381,-0.9047619047619048
ESO079-G014,15,-0.4035714285714285,0.05714285714285713,0.25357142857142856
ESO116-G012,15,0.35357142857142854,-0.27499999999999997,-0.3
ESO444-G084,7,0.5714285714285715,-0.25,-0.42857142857142866
ESO563-G021,30,0.17471624254899773,0.047852219296859254,0.2250167149261614
F561-1,6,0.7714285714285715,-0.942857142857143,-0.942857142857143
F563-1,17,0.4387254901960785,0.44117647058823534,-0.5465686274509804
F563-V1,6,0.8857142857142858,-0.8285714285714287,-0.8285714285714287
F563-V2,10,0.7696969696969697,-0.35757575757575755,-0.5151515151515151
F565-V2,7,0.4642857142857144,-0.642857142857143,-0.6071428571428572
F567-2,5,0.7,-0.7999999999999999,-0.9999999999999999
F568-1,12,-0.2447552447552448,-0.08391608391608392,0.0979020979020979
F568-3,18,-0.36429308565531476,-0.4757481940144479,0.3457172342621259
F568-V1,15,-0.15357142857142855,-0.035714285714285705,-0.35
F571-8,13,0.9137376515901295,-0.09750249330992238,0.9137376515901295
F571-V1,7,0.3571428571428572,-0.42857142857142866,-0.8571428571428573
F574-1,14,0.4241758241758242,0.14725274725274726,0.07692307692307693
F574-2,5,0.49999999999999994,0.39999999999999997,0.39999999999999997
F579-V1,14,0.5648351648351648,0.7406593406593407,-0.7362637362637363
F583-1,25,-0.18461538461538463,0.32923076923076927,0.6269230769230768
F583-4,12,0.3706293706293707,-0.6783216783216784,-0.6993006993006995
IC2574,34,-0.2571428571428571,0.20794499618029028,-0.6293353705118411
IC4202,32,0.17455080014821467,-0.12504584632466642,0.1334800236427524
KK98-251,15,0.4928571428571427,-0.3214285714285714,-0.2285714285714285
NGC0024,29,-0.2389162561576354,0.2532019704433497,-0.13743842364532016
NGC0055,21,-0.09480519480519481,-0.26233766233766237,-0.1064935064935065
NGC0100,21,-0.31428571428571433,-0.31428571428571433,0.17922077922077922
NGC0247,26,0.24649572649572649,0.3716239316239316,-0.6519658119658119
NGC0289,28,-0.21565407772304324,0.37055281882868085,0.26655719759168034
NGC0300,25,0.15000000000000002,-0.26615384615384613,-0.5138461538461538
NGC0801,13,0.5804682245141696,0.6382399435416463,0.6519951147386644
NGC0891,18,0.864119507203826,-0.5093429508248243,0.845447056868089
NGC1003,36,0.17889317889317893,0.2733590733590734,-0.15546975546975547
NGC1090,24,0.5953468285987569,-0.08175690560742607,0.30658839602784776
