target,n,pearson_Qbar,spearman_Qbar,spearman_perm_p_two_sided
vobs_max,175,0.6328315764892285,0.6174746260305056,0.0001999600079984003
median_bulge_fraction_proxy,175,0.5165974709542924,0.5583531190961413,0.0001999600079984003
mean_V,175,-0.6039640892994583,-0.5468607254814152,0.0001999600079984003
nfw_like_rmse_v2,175,0.464050431135172,0.545884460367219,0.0001999600079984003
peak_D_struct,175,-0.45723226726459165,-0.4783004926108375,0.0001999600079984003
mean_D_struct,175,-0.4464461347221936,-0.434525302283923,0.0001999600079984003
nfw_like_chi2,175,0.4582484554314944,0.39432377966860727,0.0001999600079984003
median_gas_fraction_proxy,175,-0.3508790178021013,-0.37250335871025525,0.0001999600079984003
rho_Dstruct_radius,171,0.4129936252738489,0.3673936652192827,0.0001999600079984003
mean_residual_fraction,175,-0.27800194044272086,-0.3346394984326019,0.0001999600079984003
rho_Dstruct_rar_radius,171,0.3243955906479513,0.29671296263732067,0.0003999200159968006
mean_R_rob,175,-0.22465973793693095,-0.20756381549485,0.0057988402319536095
rar_mean_sigma_residual,175,0.18643056559758298,0.18451858486341247,0.014997000599880024
outer_residual_fraction,175,-0.022308439315515967,-0.12963725929243172,0.08838232353529295
outer_residual_fraction_proxy,175,-0.02230843931551597,-0.12963725929243172,0.08838232353529295
rho_Dstruct_nfw_radius,171,0.1323593225437826,0.10190361276717026,0.19356128774245152
