galaxy,family,n_points,mean_residual_fraction,outer_residual_fraction,mean_D_struct,peak_D_struct,mean_R_rob,mean_V,nfw_like_rmse_v2,nfw_like_chi2,nfw_like_rs_kpc,rar_mean_sigma_residual
CamB,unknown,9,0.11708585489962352,0.21075453881932232,0.030746381904025774,0.12067378133614479,0.2563743399486155,0.39972124728894154,84.79831527931198,4.276791417463128,40.0,10.165368869467835
D512-2,unknown,4,0.780753803968407,0.7999763182109649,0.4212373603372488,0.5944903691759528,0.7765872891570097,0.6918570719554064,119.80355434494574,0.20706573320806265,8.145065361059286,1.6162579444300527
D564-8,unknown,6,0.7687234713093049,0.8505715372976393,0.3577252399352148,0.42398153139535577,0.7307718726354365,0.6509097545960526,51.082365423533446,1.4363438117192888,40.0,4.185455481630336
D631-7,unknown,16,0.6298819549650516,0.8567699541154948,0.16523684695336155,0.2824787024981588,0.6027939394372146,0.47175907677761697,1449.666552709827,48.67278310163303,40.0,4.300338378587724
DDO064,unknown,14,0.783910843208294,0.7440886465185123,0.27025036412168485,0.6333794905264057,0.644112163772076,0.5224909983078051,252.77175232388672,0.7457809092643799,38.27021939503432,0.5476803793623327
DDO154,unknown,12,0.79184251893252,0.8544011944629651,0.27616206803611026,0.3823582744422586,0.6167113254970155,0.5619009954412079,211.8587344963721,15.572869518731087,20.60982957919629,3.745294408732919
DDO161,unknown,31,0.593571249470044,0.7227428773554028,0.18320926150442424,0.30136039406748427,0.6214922823109909,0.5206135602249954,249.47144227488243,3.1917799720614757,40.0,10.45254991486097
DDO168,unknown,10,0.6119135039934067,0.7672640123555527,0.19191139487256886,0.3254341620280333,0.6279434445672119,0.518337904831344,486.3241961825344,23.186582626985363,40.0,4.1667301203178955
DDO170,unknown,8,0.7526470310534505,0.7627729043332068,0.3073159932992643,0.542365406960386,0.6971764508964431,0.5753860056144864,189.14199786139565,2.420711803375259,13.844683957602468,11.378548823204666
ESO079-G014,unknown,15,0.61214491886949,0.6939503863195893,0.19539837762491513,0.41722578164171475,0.6177786729768319,0.5005756507063134,1969.2079912651636,10.469987836716312,40.0,2.425402822571809
ESO116-G012,unknown,15,0.714507478341006,0.7868963605274129,0.22083518324696857,0.5153525965826035,0.6065908826396389,0.5004806079152353,834.4445327690295,3.1933996837358745,30.68073468374589,2.886760757788167
ESO444-G084,unknown,7,0.8596999697226797,0.8858599750166412,0.3317601645007726,0.6784084891973058,0.6501408917032988,0.5950223084907379,308.80876141847085,0.6070565677427996,13.844683957602468,3.9918445463158654
ESO563-G021,unknown,30,0.5699259984228351,0.6942031212963673,0.1357746449143381,0.28430963590310415,0.5385650555726348,0.40323450458362586,56143.894285204806,234.81766838929158,40.0,5.9782794874117915
F561-1,unknown,6,0.34834635256912866,0.29056548559716994,0.12843484311601747,0.21675854475805725,0.7068210148638822,0.531732391005774,282.47841911341163,1.0937005364942858,4.19671022507117,5.77900752808386
F563-1,unknown,17,0.8786044605731597,0.8861425963233375,0.18537566965754984,0.3864200552770249,0.43570628560899616,0.47706333171975596,1738.4707192581118,1.4746435244515683,33.51689924209389,1.37604386273497
F563-V1,unknown,6,0.3399295284578969,0.22741342728225403,0.1278806392344243,0.3031400067092958,0.6272558282372672,0.5428263263575931,119.705699021968,0.6298305821125623,2.26007281638971,5.534556084041185
F563-V2,unknown,10,0.8660490645861547,0.8497385827344572,0.35178899228933763,0.6530048912448336,0.6947438942812185,0.5791564829179453,2062.8365515300106,1.5416343188674748,25.708077326713163,1.6081712239468218
F565-V2,unknown,7,0.8592289083212826,0.8759770312938702,0.3789258792494697,0.5394404521286673,0.6823437362552319,0.6429702244288953,494.78412791727914,0.649897784778896,38.27021939503432,0.942832836881833
F567-2,unknown,5,0.6969725627988301,0.6604235055678095,0.2695113660779304,0.464615700580958,0.6996701854496382,0.5392901528381656,329.98399272595844,0.5585612223122136,7.455838546382704,2.1630586434352823
F568-1,unknown,12,0.8605706560321389,0.8635162111221901,0.3277640429941745,0.42419042558566417,0.6893016746412459,0.5588201521781083,2131.3153814160437,1.466846503341219,30.68073468374589,2.344870152253866
F568-3,unknown,18,0.7471211498002152,0.7963560485837807,0.24394807421282202,0.41907445956925965,0.5894184341002183,0.5609891884479843,2609.986885892557,5.290355113792038,40.0,1.1559010599351998
