galaxy,r_kpc,v_obs_km_s,e_v_obs_km_s,v_gas_km_s,v_disk_km_s,v_bulge_km_s,upsilon_disk,upsilon_bulge,v_baryon_km_s,v_residual_km_s,residual_fraction,H,B,S_eff,V,R_resp,R_rob,D_struct,v_nfw_like_km_s,v_rar_km_s,nfw_fractional_residual,rar_sigma_residual
CamB,0.16,1.99,1.5,1.86,3.75,0.0,0.5,0.7,3.2389581658304882,0.0,0.0,0.05717102945677345,0.5082904616521655,1.0806258158635042e-91,0.32500000000011736,0.21137669888485744,5.6521238291162104e-24,0.0,0.7854779968178506,9.175997575458123,0.15579800598090532,4.790665050305415
CamB,0.41,4.84,1.5,4.24,9.47,0.0,0.5,0.7,7.925783872904939,0.0,0.0,0.05612937435500793,0.4872184701560184,1.0806258158635042e-91,0.32500000000019214,0.20714085700140042,5.5669607737171435e-24,0.0,1.252183953606811,18.474017468051787,0.06693380974960657,9.089344978701192
CamB,0.57,6.79,1.5,5.61,11.76,0.0,0.5,0.7,10.03099695942532,0.0,0.0,0.0779744215903304,0.4859825623515671,1.0806258158635042e-91,0.3250000000001853,0.23093268398758207,6.0399436514669205e-24,0.0,1.4725442954623804,22.648993623709487,0.047032404972633626,10.572662415806326
CamB,0.73,8.87,1.5,6.77,13.72,0.0,0.5,0.7,11.830135248592892,0.0,0.0,0.11378885088546337,0.4844926653356747,1.0806258158635042e-91,0.3250000000001232,0.2616717023453881,6.633403330137424e-24,0.0,1.6620773715986001,26.223784644309255,0.03511197300834313,11.569189762872838
CamB,0.9,10.9,1.5,7.77,14.8,0.0,0.5,0.7,13.034297065818317,0.0,0.0,0.18869542706217374,0.48440137953619467,1.0806258158635042e-91,0.400518642587085,0.33204465531375,7.93078552398005e-24,0.0,1.8403613393073432,28.992850675998742,0.028507111011001753,12.061900450665826
CamB,1.06,12.9,1.5,8.44,15.24,0.0,0.5,0.7,13.68803857387902,0.0,0.0,0.4426574877505096,0.4557855283576186,0.8690460260053794,0.44416113217945047,0.4474964894866124,0.4474964894866124,0.0,1.992058430481,30.897265210856496,0.023846504359416053,11.998176807237664
CamB,1.22,14.7,1.5,8.64,15.11,0.0,0.5,0.7,13.740656825639741,5.223442351553232,0.12626382525799418,1.0,0.48660738594813663,0.9997920063464735,0.5554879851856134,0.6465733330512141,0.6465733330512141,0.0453493849350491,2.1315738717591106,31.95546992422033,0.10523736789871738,11.503646616146888
CamB,1.47,16.8,1.5,8.08,15.9,0.0,0.5,0.7,13.84526633907777,9.515702811668723,0.32082128684807265,1.0,0.5344449989118214,0.9998030041002403,0.5617415580591721,0.6695965242727336,0.6695965242727336,0.12067378133614479,2.3303631924072192,33.47106699319919,0.3015802416081124,11.114044662132791
CamB,1.79,20.1,1.5,6.91,14.91,0.0,0.5,0.7,12.60563961090432,15.65592060531734,0.6066875819905448,1.0,0.47894535001933797,0.9971563315144985,0.3355819075885343,0.5437027127269798,0.5437027127269798,0.11069427086503811,2.55834133088022,33.28303362201238,0.5904872147588179,8.788689081341587
D512-2,0.96,22.9,2.71,4.08,14.85,0.0,0.5,0.7,11.265329555765334,19.937460971748635,0.7579991800308918,1.0,0.6092577414716557,0.8776509305011654,0.9433151330163516,0.8314177382944252,0.8314177382944252,0.5944903691759528,21.12026629395084,27.149670083182222,0.09260559166948776,1.568143942133662
D512-2,1.92,33.5,2.71,6.24,21.2,0.0,0.5,0.7,16.237536759003813,29.301747388167826,0.7650633994208064,1.0,0.6326607639867596,0.9183475228292038,0.7246319847575341,0.771074132041311,0.771074132041311,0.4274753328106882,27.912544325556443,38.79641820577138,0.07082403143136269,1.954397861908259
D512-2,2.88,37.2,4.19,7.45,20.56,0.0,0.5,0.7,16.33582872094342,33.42126119702846,0.8071602930974678,1.0,0.7900138583059373,0.9997244222182854,0.5832260900429025,0.7723673102759606,0.7723673102759606,0.3635972729172201,32.12915359354054,42.70714612165393,0.06120518944580352,1.314354682972297
D512-2,3.83,35.9,5.98,8.09,20.08,0.0,0.5,0.7,16.3417043174817,31.964960503651493,0.7927923433244621,1.0,0.7581598806232115,0.9997410938398841,0.5162550800048371,0.7314899760163417,0.7314899760163417,0.2993864664451341,35.00894459320264,45.63624903842184,0.15818274340665606,1.628135290705993
D564-8,0.51,8.54,1.53,3.47,6.36,0.0,0.5,0.7,5.680290485529768,6.3769820448233965,0.5575895770831847,1.0,0.5343958949495581,0.6471960154203945,0.9074294787100303,0.7856431573769,0.7484761357530187,0.3787088799512848,9.463288513133106,16.227372501861957,0.6703257501932908,5.024426471805201
D564-8,1.02,15.1,1.41,5.33,8.66,0.0,0.5,0.7,8.11829415579406,12.731979421912367,0.7109482040261392,1.0,0.5332031622552464,0.7638652312960719,0.6494080211150141,0.7022150314419656,0.7022150314419656,0.32420949637877133,13.271777348830552,23.078095336461995,0.06156209814013308,5.658223642880849
D564-8,1.53,19.8,1.8,6.34,9.09,0.0,0.5,0.7,9.028269490882513,17.62187135351975,0.7920884348535864,1.0,0.6089336951587014,0.9838019450441496,0.5782965315183306,0.7061660991561484,0.7061660991561484,0.3234678518500735,16.12084645732599,26.85351174294921,0.12919258111243792,3.918617634971782
D564-8,2.04,21.9,1.82,6.86,8.75,0.0,0.5,0.7,9.238011149592753,19.85621187437322,0.8220619878651404,1.0,0.6665422876766359,0.9717141440728763,0.572334619057927,0.7252580777944959,0.7252580777944959,0.3412299618252573,18.46334945056786,29.09162262826889,0.11128599709392105,3.951441004543347
D564-8,2.56,24.0,1.89,7.05,8.17,0.0,0.5,0.7,9.114655780664457,22.201870416701382,0.8557691840277778,1.0,0.6939570006011705,0.924695744775042,0.6470078968460875,0.7657389072715463,0.7657389072715463,0.42398153139535577,20.51348778236461,30.489346351483388,0.12520810590760037,3.4335165880864484
D564-8,3.07,25.0,2.05,7.04,7.65,0.0,0.5,0.7,8.878223358307675,23.370433243737693,0.87388344,1.0,0.7258899051972947,0.8098716314809018,0.5509819803289261,0.7367769843954438,0.7367769843954438,0.3547537182105464,22.285392829451407,31.409340472363485,0.07926146629925715,3.1265075474943833
D631-7,0.45,8.41,1.58,8.4,9.99,0.0,0.5,0.7,10.975429376566549,0.0,0.0,0.12451086845539,0.46979190298480944,0.9996637324826192,0.8056030949917793,0.3611974191859374,0.3611974191859374,0.0,8.152738311027383,22.604025802096388,0.9397557967497164,8.98356063423822
D631-7,0.9,17.8,2.22,13.51,15.52,0.0,0.5,0.7,17.405611164219426,3.7262179217002416,0.04382243403610676,1.0,0.4668057501268709,0.6934211668654491,0.6907014629484731,0.6857126967188056,0.6857126967188056,0.020755302280189073,11.444869549195376,34.115550009156934,0.3695882432713657,7.349346850971591
D631-7,1.35,26.0,2.35,16.7,20.76,0.0,0.5,0.7,22.234630646808597,13.476690988517916,0.2686704142011834,1.0,0.5103553447862857,0.5752541105372234,0.4969555920311091,0.6329898552402426,0.6180341811857025,0.08251823339428704,13.914929603450991,42.80374989492295,0.017757493889048483,7.150531870179979
D631-7,1.8,30.9,2.22,18.72,21.37,0.0,0.5,0.7,24.057781485415482,19.391574201183357,0.39383034320964383,1.0,0.6127597630723308,0.7463773443661609,0.4367237626690627,0.6444150692006207,0.6444150692006207,0.1108362145107496,15.951680484957407,47.61989357413716,0.1273311336347849,7.531483591953675
D631-7,2.25,34.7,1.82,19.9,19.92,0.0,0.5,0.7,24.38059064091762,24.691634210801038,0.5063382305309405,1.0,0.6155580015996778,0.7989495089488116,0.41123573596426855,0.6325865340662599,0.6325865340662599,0.13171993561297,17.70713853912024,50.356604109006284,0.24594012470529852,8.602529730223232
D631-7,2.69,38.8,1.81,20.61,18.76,0.0,0.5,0.7,24.510016319864008,30.078216369991086,0.6009532761186098,1.0,0.6088647067089606,0.8658072969560824,0.4743648077185895,0.6610146541356383,0.6610146541356383,0.18843616483637216,19.227314729323986,52.52444082825568,0.3553841191276442,7.5825639935114255
D631-7,3.14,42.5,1.57,20.73,17.36,0.0,0.5,0.7,24.091859621042126,35.01188798108437,0.6786614809688581,1.0,0.6199072712740435,0.9494575355864456,0.5418877924112229,0.6951502756185188,0.6951502756185188,0.2556473334599135,20.627827732468244,53.84030821882598,0.4430865179458071,7.223126254029287
